food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
142498,23082,Texas Pu Pu Platter,,486,28,9,0,92,825,33,0,0,28,0,0,0,0,0,0,0
142499,23082,Loaded Skins,,320,14,5,0,27,620,34,0,0,15,0,0,0,0,0,0,0
142500,23082,Willie's Cheese Fries,,453,33,13,0,47,640,29,3,0,12,0,0,0,0,0,0,0
142501,23082,Willie's Cheese Fries,,640,44,17,0,80,927,43,7,0,24,0,0,0,0,0,0,0
142502,23082,Con Queso Dip,,307,19,3,0,7,693,35,1,0,5,0,0,0,0,0,0,0
142503,23082,Texas Wings,,520,45,9,0,80,840,5,1,0,23,0,0,0,0,0,0,0
142504,23082,Onion Creek Blossom,,736,56,12,0,10,1058,51,0,0,8,0,0,0,0,0,0,0
142505,23082,Our Famous Mushrooms,,33,3,1,0,0,32,1,0,0,1,0,0,0,0,0,0,0
142506,23083,Grilled Chicken House Salad,,406,16,9,0,153,585,14,4,0,54,0,0,0,0,0,0,0
142507,23083,Fried Chicken Tender House Salad,,803,62,14,0,202,928,32,4,0,79,0,0,0,0,0,0,0
142508,23083,Grilled Chicken Caesar Salad,,796,57,15,0,178,815,17,3,0,57,0,0,0,0,0,0,0
142509,23083,Fried Chicken Tender Caesar Salad,,1193,82,20,0,227,1158,35,3,0,82,0,0,0,0,0,0,0
142510,23083,Steak Fajita Salad,,759,44,19,0,119,2530,31,5,0,35,0,0,0,0,0,0,0
142511,23083,Chicken Fajita Salad,,1018,65,19,0,164,2860,43,6,0,56,0,0,0,0,0,0,0
142512,23083,House Salad,,218,12,7,0,30,508,17,5,0,14,0,0,0,0,0,0,0
142513,23083,Caesar Salad,,363,28,9,0,35,408,15,2,0,16,0,0,0,0,0,0,0
142514,23083,Ranch Hand Salad,,190,8,4,0,50,1040,10,3,0,20,0,0,0,0,0,0,0
142515,23083,French Onion Soup,,170,8,4,0,15,1200,19,2,0,8,0,0,0,0,0,0,0
142516,23083,Willie's Chili,cup,140,8,3,0,25,215,10,3,0,9,0,0,0,0,0,0,0
142517,23083,Willie's Chili,bowl,280,15,6,0,50,430,19,5,0,17,0,0,0,0,0,0,0
142518,23083,Potato Soup,bowl,230,14,7,0,35,680,21,0,0,6,0,0,0,0,0,0,0
142519,23083,Potato Soup,cup,115,7,4,0,18,340,11,0,0,3,0,0,0,0,0,0,0
142520,23083,House Salad & Loaded Potato,,953,48,28,0,125,2698,88,9,0,45,0,0,0,0,0,0,0
142521,23083,1/2 Club Sandwich & 4oz. Potato Soup,,390,20,9,0,80,1660,30,6,0,27,0,0,0,0,0,0,0
142522,23083,Blazin' Chicken Tender Salad,,618,56,16,0,205,2048,36,6,0,79,0,0,0,0,0,0,0
142523,23083,Flame Roasted Shrimp and Pineapple Salad,,513,14,6,0,205,918,60,5,0,43,0,0,0,0,0,0,0
142524,23084,Create Your Own Burger,,790,36,13,0,205,930,44,2,0,17,0,0,0,0,0,0,0
142525,23084,Create Your Own Chicken Sandwich,,580,11,3,0,170,670,46,2,0,70,0,0,0,0,0,0,0
142526,23084,Burger,,913,45,17,0,220,1243,51,3,0,22,0,0,0,0,0,0,0
142527,23084,Burger,,903,44,17,0,220,1003,50,3,0,22,0,0,0,0,0,0,0
142528,23084,Burger,,901,44,17,0,220,1237,48,3,0,23,0,0,0,0,0,0,0
142529,23084,Burger,,891,43,17,0,220,997,47,3,0,23,0,0,0,0,0,0,0
142530,23084,Burger,,1170,72,26,0,265,1770,46,2,0,29,0,0,0,0,0,0,0
