food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
143050,23144,Garden,12 oz,190,12,8,0,30,260,10,5,6,13,0,0,0,0,0,0,0
143051,23144,Tossed,14 oz,290,19,10,0,50,480,15,6,7,19,0,0,0,0,0,0,0
143052,23144,Cobb-Veggie,19 oz,370,23,10,0,335,680,20,8,10,24,0,0,0,0,0,0,0
143053,23144,Greek,23 oz,400,18,6,0,25,2060,49,9,17,14,0,0,0,0,0,0,0
143054,23144,Caesar,small - 10 oz,400,33,8,0,40,980,18,5,7,13,0,0,0,0,0,0,0
143055,23144,Chef Salad,18 oz,420,23,11,0,385,1670,15,5,9,40,0,0,0,0,0,0,0
143056,23144,Baby Spinach,11 oz,460,33,13,0,350,630,12,6,4,31,0,0,0,0,0,0,0
143057,23144,Cobb-Turkey,20 oz,500,29,11,0,400,1740,19,6,10,45,0,0,0,0,0,0,0
143058,23144,Southwest,18 oz,530,19,8,0,100,1260,48,11,10,44,0,0,0,0,0,0,0
143059,23144,Cobb-Shrimp,21 oz,550,30,12,0,585,1190,17,6,9,55,0,0,0,0,0,0,0
143060,23144,Cobb-Chicken,21 oz,560,31,13,0,465,1270,17,6,9,56,0,0,0,0,0,0,0
143061,23144,Thai,18 oz,580,20,3.5,0,95,890,57,11,10,50,0,0,0,0,0,0,0
143062,23144,Tuna,19 oz,580,41,13,0,385,1160,21,5,7,38,0,0,0,0,0,0,0
143063,23144,Oriental Chicken,18 oz,640,36,6,0,95,760,49,10,19,39,0,0,0,0,0,0,0
143064,23144,Caesar,large - 14 oz,650,54,13,0,65,1570,30,7,11,20,0,0,0,0,0,0,0
143065,23144,Summer,20 oz,660,35,11,0,110,1560,53,8,38,39,0,0,0,0,0,0,0
143066,23144,Caesar-Shrimp,17 oz,760,55,12,0,290,1810,30,7,11,46,0,0,0,0,0,0,0
143067,23144,Caesar-Chicken,18 oz,780,57,14,0,155,2030,31,7,11,45,0,0,0,0,0,0,0
143068,23144,Harvest Cobb Ham,19 oz,800,29,12,0,90,2580,101,11,84,41,0,0,0,0,0,0,0
143069,23144,Harvest Cobb Turkey,19 oz,810,31,12,0,90,1720,97,11,79,43,0,0,0,0,0,0,0
143070,23144,Chicken Salad,22 oz,840,67,10,0,450,950,27,8,16,46,0,0,0,0,0,0,0
143071,23145,Roasted Garden Vegetable,10 oz,90,3,0.5,0,0,1280,19,2,7,5,0,0,0,0,0,0,0
143072,23145,Vegetarian Vegetable,10 oz,100,0.5,0,0,0,1240,21,3,6,3,0,0,0,0,0,0,0
143073,23145,Chicken Noodle,10 oz,110,3,0,0,35,1010,13,1,1,8,0,0,0,0,0,0,0
143074,23145,Moms Ham And Barley,10 oz,130,1.5,0,0,10,840,22,5,3,8,0,0,0,0,0,0,0
143075,23145,Shiitake Rice,10 oz,130,4,0,0,5,1150,20,1,1,3,0,0,0,0,0,0,0
143076,23145,Tuscan Onion,10 oz,160,4.5,1.5,0,10,2140,22,2,10,7,0,0,0,0,0,0,0
143077,23145,Potato Bacon,10 oz,210,9,3,0,15,1250,25,2,24,7,0,0,0,0,0,0,0
143078,23145,Pasta Fagioli,10 oz,220,8,1.5,0,30,940,23,5,2,15,0,0,0,0,0,0,0
143079,23145,Chicken Dumpling,10 oz,250,17,3.5,3.5,5,1150,20,1,3,5,0,0,0,0,0,0,0
143080,23145,Chicken Wild Rice,10 oz,270,17,10,0.5,65,1230,20,2,2,7,0,0,0,0,0,0,0
143081,23145,Steak Chili,10 oz,280,8,2.5,0,50,1380,28,6,7,23,0,0,0,0,0,0,0
143082,23145,Broccoli Cheddar,10 oz,280,14,8,0.5,45,1230,25,1,14,13,0,0,0,0,0,0,0
143083,23145,Black Bean And Sausage,10 oz,290,10,3,0,15,1050,35,9,1,16,0,0,0,0,0,0,0
143084,23145,Clam Chowder,10 oz,300,17,9,0,65,1190,24,1,8,13,0,0,0,0,0,0,0
143085,23145,Jambalaya,10 oz,350,17,4.5,0,40,1400,30,1,2,15,0,0,0,0,0,0,0
143086,23145,Lobster Chowder,10 oz,360,23,14,0.5,95,1000,24,1,8,14,0,0,0,0,0,0,0
