food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
143367,23193,Burrito Grande,,579,19,7,0,29,1354,81,14,0,23,0,0,0,0,0,0,0
143368,23193,Burrito Grande,,484,16,6,0,29,1934,64,21,0,30,0,0,0,0,0,0,0
143369,23193,Burrito Grande,,352,13,6,0,29,1218,43,9,0,17,0,0,0,0,0,0,0
143370,23193,Burrito Grande,,465,9,1,0,0,1178,81,14,0,16,0,0,0,0,0,0,0
143371,23193,Chicken Burrito Grande,,20,20,7,0,78,1441,82,14,0,43,0,0,0,0,0,0,0
143372,23193,Chicken Burrito Grande,,16,16,7,0,78,1795,52,20,0,46,0,0,0,0,0,0,0
143373,23193,Chicken Burrito Grande,,13,13,7,0,78,1079,31,8,0,33,0,0,0,0,0,0,0
143374,23193,Chicken Burrito Grande,,10,10,1,0,49,1265,82,14,0,36,0,0,0,0,0,0,0
143375,23193,Great Caesar Wrap,,639,36,10,0,59,998,61,8,0,25,0,0,0,0,0,0,0
143376,23193,Great Caesar Wrap,,503,36,10,0,59,868,30,5,0,19,0,0,0,0,0,0,0
143377,23193,Great Caesar Wrap,,528,34,9,0,59,800,41,7,0,22,0,0,0,0,0,0,0
143378,23193,Great Caesar Wrap,,523,23,8,0,40,904,60,8,0,24,0,0,0,0,0,0,0
143379,23193,Great Caesar Wrap,,427,10,5,0,22,1260,63,8,0,22,0,0,0,0,0,0,0
143380,23193,Green Grocer Wrap,,449,21,7,0,34,696,52,7,0,17,0,0,0,0,0,0,0
143381,23193,Green Grocer Wrap,,307,21,7,0,34,566,21,4,0,11,0,0,0,0,0,0,0
143382,23193,Green Grocer Wrap,,204,5,5,0,26,780,28,4,0,16,0,0,0,0,0,0,0
143383,23193,Green Grocer Wrap,,341,14,2,0,9,643,51,7,0,9,0,0,0,0,0,0,0
143384,23193,Green Grocer Wrap,,346,11,5,0,26,910,49,7,0,16,0,0,0,0,0,0,0
143385,23193,Green Grocer w/Turkey Wrap,,540,23,7,0,65,1651,54,8,0,33,0,0,0,0,0,0,0
143386,23193,Green Grocer w/Turkey Wrap,,398,23,7,0,65,1508,24,4,0,26,0,0,0,0,0,0,0
143387,23193,Green Grocer w/Turkey Wrap,,295,7,5,0,57,1722,31,4,0,31,0,0,0,0,0,0,0
143388,23193,Green Grocer w/Turkey Wrap,,432,16,2,0,40,1585,54,8,0,24,0,0,0,0,0,0,0
143389,23193,Green Grocer w/Turkey Wrap,,437,13,5,0,57,1852,52,8,0,31,0,0,0,0,0,0,0
143390,23193,Farmer's Market Wrap,,510,23,8,0,41,697,59,7,0,19,0,0,0,0,0,0,0
143391,23193,Farmer's Market Wrap,,350,23,8,0,41,537,26,6,0,12,0,0,0,0,0,0,0
143392,23193,Farmer's Market Wrap,,356,10,6,0,30,952,53,9,0,17,0,0,0,0,0,0,0
143393,23193,Tuscany Wrap,,428,24,7,0,30,414,39,5,0,20,0,0,0,0,0,0,0
143394,23193,Tuscany Wrap,,288,24,7,0,30,284,8,2,0,14,0,0,0,0,0,0,0
143395,23193,Tuscany Wrap,,304,9,5,0,30,563,40,5,0,20,0,0,0,0,0,0,0
143396,23193,Tuscany Wrap,,370,18,6,0,30,555,38,5,0,20,0,0,0,0,0,0,0
