food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
144685,23309,Asparagus(Cream of),12 oz,540,39,15,0,30,0,42,0,0,9,0,0,0,0,0,0,0
144686,23309,Bean & Ham,12 oz,450,6,3,0,60,0,69,0,0,27,0,0,0,0,0,0,0
144687,23309,Beef Stew,12 oz,600,24,12,0,60,0,45,0,0,36,0,0,0,0,0,0,0
144688,23309,Beef & Cheese,12 oz,720,51,24,0,75,0,45,0,0,24,0,0,0,0,0,0,0
144689,23309,Black Bean,12 oz,450,4.5,3,0,15,0,81,0,0,24,0,0,0,0,0,0,0
144690,23309,Broccoli & Cheese,12 oz,450,24,6,0,15,0,30,0,0,9,0,0,0,0,0,0,0
144691,23309,Chili (Beef),12 oz,390,15,5,0,60,0,29,0,0,26,0,0,0,0,0,0,0
144692,23309,Chicken Dumpling,12 oz,420,9,4.5,0,100,0,60,0,0,21,0,0,0,0,0,0,0
144693,23309,Chicken Gumbo,12 oz,210,1.5,0,0,15,0,36,0,0,9,0,0,0,0,0,0,0
144694,23309,Chicken Noodle,12 oz,240,1.5,3,0,30,0,33,0,0,15,0,0,0,0,0,0,0
144695,23309,Chicken & Wild Rice,12 oz,360,9,6,0,30,0,51,0,0,18,0,0,0,0,0,0,0
144696,23309,Clam Chowder,12 oz,270,6,3,0,15,0,45,0,0,9,0,0,0,0,0,0,0
144697,23309,Corn Chowder,12 oz,330,10.5,4.5,0,30,0,57,0,0,9,0,0,0,0,0,0,0
144698,23309,Green Chile Chowder,12 oz,450,15,6,0,30,0,48,0,0,6,0,0,0,0,0,0,0
144699,23309,Hearty Vegetable,12 oz,180,1.5,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
144700,23309,Lobster Bisque,12 oz,300,13.5,9,0,15,0,36,0,0,6,0,0,0,0,0,0,0
144701,23309,Mediterranean Veg.,12 oz,270,6,1.5,0,0,0,45,0,0,6,0,0,0,0,0,0,0
144702,23309,Mexican Tortilla,12 oz,380,9,3,0,15,0,54,0,0,9,0,0,0,0,0,0,0
144703,23309,Minestrone,12 oz,240,1.5,1.5,0,0,0,48,0,0,12,0,0,0,0,0,0,0
144704,23309,Mushroom (Cream of),12 oz,630,45,18,0,90,0,45,0,0,9,0,0,0,0,0,0,0
144705,23309,Pasta Fagioli,12 oz,420,9,3,0,15,0,57,0,0,21,0,0,0,0,0,0,0
144706,23309,Potato & Bacon (Cream of),12 oz,600,33,12,0,45,0,63,0,0,12,0,0,0,0,0,0,0
144707,23309,Potato & Leek (Cream of),12 oz,420,24,4.5,0,0,0,54,0,0,6,0,0,0,0,0,0,0
144708,23309,Split Pea,12 oz,480,13.5,3,0,30,0,66,0,0,27,0,0,0,0,0,0,0
144709,23309,Tomato Basil Bisque,12 oz,300,13.5,9,0,60,0,42,0,0,6,0,0,0,0,0,0,0
144710,23309,Tomato Florentine,12 oz,360,3,1.5,0,0,0,51,0,0,12,0,0,0,0,0,0,0
144711,23309,Vegetable,12 oz,180,1.5,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
144712,23309,Wedding Soup,12 oz,300,6,3,0,15,0,51,0,0,12,0,0,0,0,0,0,0
