food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
147502,23443,Rocky Road,1 cookie - 85 g,300,7,1.5,0,0,230,54,5,22,6,2,6,4,15,0,0,0
147503,23444,Fruit & Nut,1/2 cup - 45 g,190,8,2,0,0,0,27,4,10,4,0,0,0,6,0,0,0
147504,23444,Peanut Butter,1/2 cup - 45 g,200,9,1,0,0,90,26,4,7,5,0,0,0,6,0,0,0
147505,23444,Oatmeal Raisin,1/2 cup - 45 g,180,6,0.5,0,0,0,30,4,11,4,0,0,0,6,0,0,0
147506,23444,Double Chocolate Chunk,1/2 cup - 45 g,190,7,1,0,0,35,29,4,10,4,0,0,0,8,0,0,0
147507,23445,Fruit & Nut,1 cookie - 28 g,100,2,0,0,0,75,18,2,8,2,0,0,2,4,0,0,0
147508,23445,Oatmeal Raisin,1 cookie - 28 g,100,1.5,0,0,0,80,18,2,8,2,0,0,2,4,0,0,0
147509,23445,Peanut Butter,1 cookie - 28 g,110,3,0,0,0,115,16,2,6,3,0,0,0,4,0,0,0
147510,23446,Double Chocolate,1 cookie - 28 g,90,2,0,0,0,70,18,3,9,2,0,0,0,4,0,0,0
147511,23446,Chocolate Chip Mint,1 cookie - 28 g,90,2,0,0,0,70,18,3,9,2,0,0,0,4,0,0,0
147512,23446,Peanut Butter,1 cookie - 28 g,90,2.5,0,0,0,85,17,3,8,2,0,0,0,2,0,0,0
147513,23447,Linguini,"small - 3,642 g",7610,482.5,172,0,860,4650,591,43,54,218,0,0,0,0,0,0,0
