food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
147551,23452,Alada Colada - FC 1,14 oz,200,5,0,0,0,30,37,0,24,0,30,0,0,0,0,0,0
147552,23452,Strawberry Frost - FC 3,14 oz,240,0,0,0,0,55,59,0,25,0,0,0,0,0,0,0,0
147553,23452,Peaches-N-Cream - FC 4,14 oz,230,2,0,0,0,5,52,0,47,0,0,0,0,0,0,0,0
147554,23452,Purple Paradise - FC 8,14 oz,250,1,0,0,0,45,58,0,35,1,0,0,0,0,0,0,0
147555,23452,Island Sunrise - FC 7,14 oz,290,2,0,0,0,50,68,0,45,1,125,70,0,0,0,0,0
147556,23452,Jamaica-Me-Crazy - FC 8,14 oz,250,2,0,0,0,25,54,0,48,0,60,40,0,0,0,0,0
147557,23452,Bananas-N-Berries - FC 9,14 oz,240,0,0,0,0,25,45,0,31,0,15,10,0,0,0,0,0
147558,23452,Frosted Lemonade - FC 10,14 oz,240,0,0,0,0,45,59,0,29,0,0,0,0,0,0,0,0
147559,23452,Rico-Rita (Limeade) - FC 11,14 oz,230,0,0,0,0,35,56,0,37,0,0,0,0,0,0,0,0
147560,23452,Fun-Key Lime - FC 12,14 oz,250,4,0,0,0,10,52,0,50,0,110,0,0,0,0,0,0
147561,23452,ManGo Loco - FC 15,14 oz,160,0,0,0,0,0,38,0,31,0,250,20,0,0,0,0,0
147562,23452,MaliBlue - FC 16,14 oz,190,0,0,0,0,5,40,0,36,0,260,25,0,0,0,0,0
147563,23452,Electric Parrot-Ice,,190,0,0,0,0,200,44,0,0,0,0,0,0,0,0,0,0
147564,23452,Optimal Sports Beverage,,88,0,0,0,0,175,25,0,0,0,0,0,0,0,0,0,0
147565,23452,Gatorade,,88,0,0,0,0,193,25,0,0,0,0,0,0,0,0,0,0
147566,23452,Electric Lime - IS 1,14 oz,190,0,0,0,0,50,44,0,27,0,2,0,0,0,0,0,0
147567,23452,Orange Shock - IS 2,14 oz,190,0,0,0,0,50,44,0,27,0,2,0,0,0,0,0,0
147568,23452,Mocha Cappuccino - JF 01,12 oz,280,8,0,0,0,35,50,0,36,1,0,0,0,0,0,0,0
147569,23452,French Vanilla - JF 02,12 oz,270,9,0,0,0,35,49,0,35,1,0,0,0,0,0,0,0
147570,23452,Cappaccino - JF 03,12 oz,270,8,0,0,0,35,49,0,35,1,0,0,0,0,0,0,0
