food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
141943,23019,Low Fat Vanilla,160 ml - 100 g,130,2.5,1.5,0,10,65,23,0,22,4,0,0,0,0,0,0,0
141944,23019,Non Fat Vanilla,160 ml - 100 g,120,0,0,0,4,65,25,0,23,4,0,0,0,0,0,0,0
141945,23020,No Fat/No Sugar Added Vanilla,160 ml - 100 g,90,0,0,0,4,60,21,0,8,4,0,0,11,0,0,0,0
141946,23021,Natural Yogurt & Fruit Cup,125 g,140,2,1.5,0,10,55,25,0,21,4,0,2,10,0,0,0,0
141947,23022,Blueberry Breeze,503 ml - 465 g,250,3,1.5,0.1,10,20,55,3,48,4,95,3,10,3,0,0,0
141948,23022,Strawberry Banana,503 ml - 463 g,220,2.5,1.5,0.1,10,30,47,2,40,5,125,5,11,4,0,0,0
141949,23022,Peach Berry Sunset,532 ml - 491 g,220,2.5,1.4,0.1,10,20,48,2,43,4,48,7,11,7,0,0,0
141950,23023,Tropical Strom,471 ml - 497 g,270,0.5,0.1,0,0,20,66,2,56,2,160,8,0,0,0,0,0
141951,23023,Very Berry,473 ml - 499 g,270,0.5,0,0,0,10,65,3,55,1,168,0,0,4,0,0,0
141952,23023,Raspberry Blast,472 ml - 497 g,260,0.5,0,0,0,20,64,4,53,1,0,0,0,0,0,0,0
