food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
103463,20189,Asian Zing,1 tbsp - 21 g,45,0,0,0,0,290,11,0,10,0,0,0,0,0,0,0,0
103464,20189,Blazin' ™,1 tbsp - 16 g,30,2.5,0,0,4,650,1,0,0,0,4,4,0,0,0,0,0
103465,20189,Caribbean Jerk,2 tbsp - 37 g,80,3,0.5,0,0,490,12,0,11,0,6,6,0,2,0,0,0
103466,20189,Honey BBQ Sauce,1 tbsp - 19 g,35,0,0,0,0,200,9,0,7,0,0,0,0,0,0,0,0
103467,20189,Hot,1 tbsp - 16 g,25,2,0,0,4,550,1,0,0,0,4,6,0,0,0,0,0
103468,20189,Hot BBQ,1 tbsp - 16 g,20,1,0,0,0,380,3,0,2,0,4,6,0,0,0,0,0
103469,20189,Mango Habanero Sauce,1 tbsp - 21 g,40,0,0,0,0,230,10,0,7,0,0,0,0,0,0,0,0
103470,20189,Medium,1 tbsp - 16 g,20,2,0,0,4,550,1,0,0,0,4,4,0,0,0,0,0
103471,20189,Mild,1 tbsp - 16 g,25,2.5,0,0,4,500,1,0,0,0,4,4,0,0,0,0,0
103472,20189,Parmesan Garlic,1 tbsp - 15 g,60,6,1,0,5,340,1,0,1,1,0,2,0,0,0,0,0
103473,20189,Spicy Garlic,1 tbsp - 16 g,25,2,0,0,4,600,2,0,0,0,4,4,0,0,0,0,0
103474,20189,Sweet BBQ,1 tbsp - 18 g,20,0,0,0,0,290,4,0,4,0,4,2,0,0,0,0,0
103475,20189,Teriyaki,1 tbsp - 19 g,35,0,0,0,0,540,7,0,6,0,0,0,0,0,0,0,0
103476,20189,Wild™,1 tbsp - 16 g,25,2,0,0,4,540,2,0,0,0,4,8,0,0,0,0,0
103477,20190,Popcorn Shrimp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103478,20190,Mozzarella Sticks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103479,20190,Mini Corn Dogs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103480,20190,Crispy Southwest Dippers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103481,20190,Ultimate Nachos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103482,20190,Potato Wedges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103483,20190,Roasted Garlic Mushrooms,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103484,20190,Dynamic Sauce Trio™,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103485,20190,Onion Rings,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103486,20190,Chicken Quesadilla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103487,20190,Three-Cheese Quesadilla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103488,20190,Buffalo Chips™,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103489,20190,Chili Con Queso Dip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103490,20190,Blue Corn Chips & Salsa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103491,20190,Side Salad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103492,20191,Traditional Wings,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103493,20191,Boneless Wings,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103494,20192,Chicken Tenders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103495,20192,Naked Tenders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103496,20193,Chicken Tenders Salad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103497,20193,Grilled Blackened Chicken Salad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103498,20193,Grilled Chicken Salad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103499,20193,Popcorn Shrimp Caesar Salad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103500,20193,Chicken Caesar Salad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103501,20193,Garden Salad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103502,20194,Chicken Tenders Wrap,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103503,20194,Naked Tenders Wrap,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103504,20194,Chicken Caesar Wrap,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103505,20194,Buffalo Ranch Chicken Wrap,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103506,20194,Southwest Chicken Queso Wrap,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103507,20194,Popcorn Shrimp Queso Wrap,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103508,20194,Grilled Chicken Buffalitos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103509,20195,Grilled Chicken Sandwich,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103510,20195,Jerk Chicken Sandwich,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103511,20195,Buffalo Ranch Chicken Sandwich,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103512,20195,Bacon Swiss Chicken Sandwich,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103513,20195,Chicken Parmesan Sandwich,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103514,20195,Spicy Chicken Sandwich,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103515,20195,Honey BBQ™ Bacon Chicken Sandwich,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103516,20195,Fish Sandwich,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103517,20196,Chicken Tenders & Popcorn Shrimp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103518,20196,Ribs & Chicken Tenders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103519,20196,Ribs & Popcorn Shrimp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103520,20196,Popcorn Shrimp & Fish,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103521,20196,Ribs & More Ribs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103522,20196,Cheeseburger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103523,20196,Classic Burger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103524,20196,Black & Bleu Burger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103525,20196,Bacon Cheddar Burger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103526,20196,Swiss & 'Shroom Burger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103527,20196,Gardenburger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103528,20196,Honey BBQ™ Bacon Burger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103529,20197,Marvelous Martinis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103530,20197,Classic Cocktails,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103531,20197,Margaritas Magnifico!,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103532,20197,Specialty Drinks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103533,20197,Divine Wine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103534,20197,Beer & Malt Beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103535,20198,New York Cheesecake,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103536,20198,Chocolate Fudge Cake,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103537,20198,Deep-dish Apple Pie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103538,20199,Mini Corn Dogs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103539,20199,Boneless Wings,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103540,20199,Popcorn Shrimp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103541,20199,Naked Tenders (no skewers),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103542,20199,Traditional Wings,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103543,20199,Macaroni & Cheese,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103544,20199,Chicken Tenders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103545,20199,Kids' Ice Cream,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
