food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
108860,20699,Farmers Skillet,,966.7,30,0,0,0,2675.8,84,0,10.7,51.8,0,0,0,0,0,0,0
108861,20699,Meat Skillet,,1112.5,54.8,0,0,0,3020,84.1,0,9.6,59.5,0,0,0,0,0,0,0
108862,20699,Country Fried Steak Skillet,,853,37.6,0,0,0,2182.5,92,0,9.5,31.9,0,0,0,0,0,0,0
108863,20699,Steak Skillet,,873.8,46,0,0,0,1520,71.3,0,8,47.3,0,0,0,0,0,0,0
108864,20699,Cakes,,750,11.7,0,0,0,170.5,83.7,0,81.8,11.3,0,0,0,0,0,0,0
108865,20699,French Toast,,931.7,37.2,0,0,0,797.5,138.2,0,76.8,9.5,0,0,0,0,0,0,0
108866,20699,Cinnama-Sation French Toast,,1424.3,69.6,0,0,0,1050.9,187.4,0,116.8,11.6,0,0,0,0,0,0,0
108867,20699,Waffle,,635,10,0,0,0,1117.5,129,0,84.5,5,0,0,0,0,0,0,0
108868,20699,Strawberry Crepes,,970,39,0,0,0,1160.6,101.8,0,47.8,24.4,0,0,0,0,0,0,0
108869,20699,Pancake Griddle,,940,35.4,0,0,0,1877.5,84.4,0,77.3,22.8,0,0,0,0,0,0,0
108870,20699,French Toast Griddle,,1171.7,62.2,0,0,0,1367.5,122.2,0,74.8,28.5,0,0,0,0,0,0,0
108871,20699,Waffle Griddle,,1055,46,0,0,0,1677.5,125,0,76.5,30,0,0,0,0,0,0,0
108872,20699,Cinnama-Sation Griddle,,1500.1,83.8,0,0,0,1536.5,155,0,101.5,29.9,0,0,0,0,0,0,0
108873,20699,Strawberry Crepes Griddle,,1310,65,0,0,0,1910.6,104.8,0,47.8,46.4,0,0,0,0,0,0,0
108874,20699,Bacon & Eggs Hashbrown Griddle,,825.5,54.1,0,0,0,1453,55.5,0,4.5,28,0,0,0,0,0,0,0
108875,20699,Sausage & Eggs Hashbrown Griddle,,985.5,70.1,0,0,0,1533,57.5,0,4.5,32,0,0,0,0,0,0,0
108876,20699,Ham & Eggs Hashbrown Griddle,,892.2,56.1,0,0,0,2106.3,58.2,0,7.2,37.3,0,0,0,0,0,0,0
108877,20699,Denver Omelette,,965.9,63,0,0,0,1863.7,76.4,0,8.2,39.9,0,0,0,0,0,0,0
108878,20699,Ham & Cheese Omelette,,960.9,63,0,0,0,1861.2,75.1,0,7.2,39.9,0,0,0,0,0,0,0
108879,20699,BMP Omelette,,1118.4,78,0,0,0,2113.7,59.3,0,7.2,43.2,0,0,0,0,0,0,0
108880,20699,Fajita Steak Omelette,,1009.3,64.8,0,0,0,1497.5,59.9,0,8.1,45.2,0,0,0,0,0,0,0
108881,20699,Veggie Omelette,,783.6,47.6,0,0,0,1088.9,62.2,0,8,25.8,0,0,0,0,0,0,0
108882,20699,T Bone Steak & Eggs,,1220,52,0,0,0,2285,63,0,7,113,0,0,0,0,0,0,0
108883,20699,Big Start,,1243.4,48.4,0,0,0,3039.2,111.7,0,81.5,39.5,0,0,0,0,0,0,0
108884,20699,Barn Buster,,1475.1,75.2,0,0,0,2529.2,149.5,0,79.1,45.2,0,0,0,0,0,0,0
108885,20699,Ultimate Country Fried Steak & Eggs,,1136,51.3,0,0,0,2947,113,0,8.5,48.9,0,0,0,0,0,0,0
108886,20699,Cinnama-Sation Platter,,1803.5,96.8,0,0,0,2698.2,182.3,0,105.8,46.6,0,0,0,0,0,0,0
108887,20699,Hearty Country,,1063.4,62,0,0,0,3011.7,76.3,0,7.3,44.7,0,0,0,0,0,0,0
108888,20699,Breakfast Sampler,,1380.5,64,0,0,0,2640.5,113.4,0,78.3,36.8,0,0,0,0,0,0,0
108889,20699,Potato Pancake Platter,,1219.4,65,0,0,0,1987,109.3,0,12.5,46.8,0,0,0,0,0,0,0
108890,20699,Ranch House Platter,,1181.2,70.3,0,0,0,1467.2,88.9,0,10.5,42.1,0,0,0,0,0,0,0
108891,20699,Hash Plate,,770.9,36.4,0,0,0,1332.1,72.1,0,23.4,35.7,0,0,0,0,0,0,0
108892,20699,Western Scramble,,1303.9,90.2,0,0,0,1992.6,84,0,7.2,53.6,0,0,0,0,0,0,0
108893,20699,Eggs Benedict,,791.7,42.5,0,0,0,2458.3,62.2,0,10.2,37.3,0,0,0,0,0,0,0
108894,20699,Oatmeal,,210,7,0,0,0,60,32.5,0,6.5,9,0,0,0,0,0,0,0
108895,20699,Cinnama-Sation,,855.1,37.8,0,0,0,826.9,116.3,0,56,11.3,0,0,0,0,0,0,0
108896,20699,Biscuits & Gravy,,420,23,0,0,0,1100,46,0,3,6,0,0,0,0,0,0,0
108897,20699,Short Stack Starter,,590,22.3,0,0,0,1150,55.8,0,52,15.5,0,0,0,0,0,0,0
108898,20699,Burst O' Berry Breakfast,,759.1,39.6,0,0,0,649.6,89.7,0,67.2,12.1,0,0,0,0,0,0,0
108899,20699,Potato Pancake Breakfast,,530.5,23,0,0,0,520.7,65,0,9.2,15.2,0,0,0,0,0,0,0
108900,20699,Morning Favorite,,480.5,29.1,0,0,0,883,38,0,2.5,16,0,0,0,0,0,0,0
108901,20699,Benedict Scramble Skillet,,538,24.9,0,0,0,1070.5,52.3,0,4.3,24.5,0,0,0,0,0,0,0
108902,20700,Mega Melt Panini,,885,56.1,0,0,0,3202.8,74.9,0,3.7,50.5,0,0,0,0,0,0,0
108903,20700,Bistro Sandwiches,,699.5,38.1,0,0,0,2794.1,50.2,0,6.4,41.6,0,0,0,0,0,0,0
108904,20700,Prime Rib Sand,,904.2,44.5,0,0,0,2352.5,69,0,2.3,45.7,0,0,0,0,0,0,0
108905,20700,Southwestern Chipolte Flatbread,,1030.3,55.8,0,0,0,1714.1,99.2,0,4.7,27.2,0,0,0,0,0,0,0
108906,20700,Southern Fried Chicken Sandwich,,1119.7,55.3,0,0,0,2461.8,119.2,0,12.6,35.7,0,0,0,0,0,0,0
108907,20700,Club,,846.5,31.1,0,0,0,2393.6,97.8,0,7.3,40.9,0,0,0,0,0,0,0
108908,20700,BLT,,716.5,33.1,0,0,0,1753.6,80.8,0,5.3,19.9,0,0,0,0,0,0,0
108909,20700,Philly,,1184.5,64.6,0,0,0,792,95.2,0,5.5,54.1,0,0,0,0,0,0,0
108910,20700,Prime Rib Dip,,1170,62.5,0,0,0,2250,91.5,0,2,49,0,0,0,0,0,0,0
108911,20700,Foccacia Chicken,,1066.5,65.4,0,0,0,2641.6,78.4,0,4.3,39.3,0,0,0,0,0,0,0
