food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
111174,20887,Loaded Breakfast Burrito,258 g,780,51,20,0,495,1620,38,2,2,40,0,0,0,0,0,0,0
111175,20887,Steak 'N' Egg Breakfast Burrito,193 g,470,22,8,0,255,1280,38,1,1,26,0,0,0,0,0,0,0
111176,20887,Made from Scratch Biscuit,109 g,370,23,5,0,0,890,35,0,3,5,0,0,0,0,0,0,0
111177,20887,Egg Biscuit,152 g,450,29,6,0,205,940,35,0,4,11,0,0,0,0,0,0,0
111178,20887,Bacon Biscuit,120 g,430,28,7,0,10,1110,35,0,4,8,0,0,0,0,0,0,0
111179,20887,Sausage Biscuit,142 g,530,38,10,0,30,1240,36,0,4,11,0,0,0,0,0,0,0
111180,20887,Country Ham Biscuit,144 g,440,26,6,0,35,1710,36,0,3,14,0,0,0,0,0,0,0
111181,20887,Chicken Fillet Biscuit,226 g,600,34,7,0,55,1680,50,1,3,24,0,0,0,0,0,0,0
111182,20887,Country Steak Biscuit,180 g,620,41,11,0,35,1360,44,0,3,16,0,0,0,0,0,0,0
111183,20887,Breaded Pork Chop Biscuit,222 g,690,42,8,0,40,1330,48,1,4,29,0,0,0,0,0,0,0
111184,20887,Grilled Pork Chop Biscuit,208 g,560,35,9,0,45,1530,37,0,4,22,0,0,0,0,0,0,0
111185,20887,Sausage & Egg Biscuit,185 g,610,44,11,0,235,1290,36,0,4,17,0,0,0,0,0,0,0
111186,20887,Country Steak & Egg Biscuit,223 g,690,47,11,0,235,1800,44,0,4,22,0,0,0,0,0,0,0
111187,20887,"Bacon, Egg & Cheese Biscuit",174 g,560,38,11,0,225,1360,37,0,4,16,0,0,0,0,0,0,0
111188,20887,"Ham, Egg & Cheese Biscuit",220 g,560,35,10,0,245,1800,37,0,5,23,0,0,0,0,0,0,0
111189,20887,Loaded Omelet Biscuit,198 g,640,44,14,0,245,1510,37,0,5,21,0,0,0,0,0,0,0
111190,20887,Biscuits 'N' Gravy,251 g,530,34,8,0,10,1550,47,0,6,8,0,0,0,0,0,0,0
111191,20887,Sunrise Croissant with Ham,164 g,430,26,10,0,250,1050,28,0,5,23,0,0,0,0,0,0,0
111192,20887,Sunrise Croissant,138 g,450,29,12,0,240,900,28,0,5,19,0,0,0,0,0,0,0
111193,20887,Sunrise Croissant,161 g,550,38,15,0,265,1030,29,0,5,22,0,0,0,0,0,0,0
111194,20887,Tortilla Scrambler,68 g,230,13,6,0,30,520,18,0,1,9,0,0,0,0,0,0,0
111195,20887,Sunrise Croissant,57 g,210,10,4,0,5,200,26,0,4,4,0,0,0,0,0,0,0
111196,20887,Frisco Breakfast Sandwich,181 g,410,17,7,0,245,870,39,2,4,27,0,0,0,0,0,0,0
111197,20887,Loaded Omelet,89 g,270,21,9,0,245,620,2,0,2,16,0,0,0,0,0,0,0
111198,20887,Loaded Biscuit 'N' Gravy Breakfast Bowl,326 g,770,54,14,0,245,1950,49,1,7,20,0,0,0,0,0,0,0
111199,20887,Low Carb Breakfast Bowl,208 g,620,50,21,0,325,1380,6,2,2,36,0,0,0,0,0,0,0
111200,20887,Pancake Platter,135 g,300,5,1,0,25,830,55,2,12,8,0,0,0,0,0,0,0
111201,20887,Big Country Breakfast Platter - Country Ham,377 g,970,53,12,0,460,2600,90,3,12,33,0,0,0,0,0,0,0
