food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
111325,20891,Original Hamburger,146 g,380,18,7,0.4,60,900,35,2,6,18,0,8,5,25,0,0,0
111326,20891,Original Cheeseburger,160 g,440,23,10,0.5,75,995,35,2,6,21,0,12,13,25,0,0,0
111327,20891,Original Patty By Itself,80 g,210,16,7,0.4,55,540,4,1,3,13,0,2,2,15,0,0,0
111328,20891,Hot Dog,1 bun - 117 g,320,14,5,0.5,45,890,34,2,4,8,0,0,8,20,0,0,0
111329,20891,Hot Dog By Itself,57 g,160,12,5,0.5,45,600,3,1,0,5,0,0,4,10,0,0,0
111330,20891,Grilled Chicken,183 g,340,6,2,0,125,1110,32,1,3,37,2,0,4,20,0,0,0
111331,20891,Grilled Chicken By Itself,117 g,170,4,1.5,0,125,750,1,2,0,32,2,0,2,10,0,0,0
111332,20891,Veggieburger,142 g,317,9,1.5,0,0,730,39,5,3,20,8,2,10,30,0,0,0
111333,20891,Veggieburger By Itself,73 g,150,7,1,0,0,370,7,4,0,15,8,2,8,20,0,0,0
111334,20891,Chicken Strips,3 pieces - 114 g,310,16,2,1,40,880,24,1,1,19,0,0,2,10,0,0,0
111335,20891,Entrée Garden Salad,366 g,70,0.5,0.1,0,0,70,16,5,8,4,80,60,8,15,0,0,0
111336,20891,Entrée Chicken Salad,429 g,140,1.5,0.4,0.1,60,500,16,5,8,19,80,60,8,15,0,0,0
111337,20891,Side Garden Salad,198 g,40,0.2,0,0,0,20,8,3,4,2,30,35,2,4,0,0,0
111338,20892,Hamburger Meal,,780,28,8,0.6,55,1775,110,4,45,21,0,2,8,30,0,0,0
111339,20892,Cheeseburger Meal,,830,35,11,0.7,75,2145,112,4,47,25,2,12,20,30,0,0,0
111340,20892,Hot Dog Meal,,720,24,6,0.5,45,1765,110,4,46,8,2,0,10,24,0,0,0
111341,20892,Chicken Strip Meal,3 pieces,610,21,1.5,0.5,25,1465,92,3,42,16,2,0,4,12,0,0,0
111342,20893,Real Canadian Cheddar Cheese,14 g,60,4.5,3,0.1,15,95,0,0,0,3,0,4,8,0,0,0,0
111343,20893,Bacon,2 slices - 5.3 g,25,1.5,0.5,0,5,100,0,0,0,3,0,0,0,0,0,0,0
111344,20893,Ketchup,8 ml,10,0,0,0,2,0,0,0.1,0,0,0,0,0,0,0,0,0
111345,20893,Mustard,7 ml,5,0.2,0,0,0,75,0,0,0,0.3,0,0,0,10,0,0,0
111346,20893,Relish,20 g,20,0,0,0,0,105,5,0,4,0.1,0,0,0,2,0,0,0
111347,20893,Light Mayonnaise,15 g,45,5,0.3,0,0,140,1,0,0,0,0,0,0,0,0,0,0
111348,20893,Barbecue Sauce,28 g,50,0.1,0,0,0,390,12,0,10,0.3,2,0,0,2,0,0,0
111349,20893,Spicy Buffalo Sauce,28 g,50,3.5,0.5,0.1,0,600,5,1,4,0,0,0,0,0,0,0,0
111350,20893,Pickle,2 slices - 40 g,5,0,0,0,0,150,0,0,0,0.1,0,6,6,0,0,0,0
111351,20893,Lettuce,28 g,4,0,0,0,0,3,1,0,1,0.3,2,0,0,0,0,0,0
111352,20893,Tomato,2 slices - 50 g,10,0,0,0,0,3,2,1,1,0.4,10,4,0,0,0,0,0
111353,20893,Onions,50 g,10,0,0,0,0,2,5,0,2,1,5,0,2,0,0,0,0
111354,20893,Hot Peppers,14 g,0,0,0,0,0,115,1,1,1,0.2,25,0,4,0,0,0,0
111355,20894,Honey Mustard,43 g,160,12,2,0.1,15,250,13,0,12,1,0,0,0,0,0,0,0
111356,20894,Barbecue Sauce,43 g,90,0,0,0,0,715,21,1,19,1,6,0,2,0,0,0,0
111357,20894,Plum Sauce,43 g,80,0,0,0,0,430,21,0,16,0,0,0,0,0,0,0,0
111358,20894,Sweet N' Sour Sauce,43 g,80,0.5,0,0,0,190,17,0,16,0.1,4,0,0,0,0,0,0
111359,20895,Creamy Garlic Peppercorn Ranch Dressing,29 ml,140,14,2,0,10,250,2,0,2,0.2,0,0,0,0,0,0,0
111360,20895,Creamy Caesar Dressing,29 ml,140,14,2,0,10,290,2,0,0,1,0,0,0,0,0,0,0
111361,20895,Light Italian Dressing,28 ml,60,4,0.5,0,0,320,6,0,2,0.2,0,0,0,0,0,0,0
111362,20895,Fat Free Honey Dijon Dressing,28 ml,50,0,0,0,0,170,12,0,9,0.2,0,0,0,0,0,0,0
111363,20896,Fries,regular - 120 g,320,13,1,0.2,0,1150,46,3,1,3,2,0,2,6,0,0,0
111364,20896,Fries,large - 150 g,400,17,1.5,0.3,0,1440,58,4,1,4,2,0,2,8,0,0,0
111365,20896,Onion Rings,regular - 81 g,280,14,1.5,0.5,0,890,34,1,3,3,0,0,2,6,0,0,0
111366,20896,Onion Rings,large - 122 g,420,21,2.5,1,0,1340,52,2,5,5,0,0,4,10,0,0,0
111367,20896,Poutine,284 g,640,33,12,0,30,2360,67,0,0,18,0,0,8,8,0,0,0
111368,20896,Gravy,92 g,35,1,0.3,0,0,630,5,0,0,1,0,0,2,2,0,0,0
111369,20897,Pepsi 20 oz,large - 591 ml,260,0,0,0,0,30,70,0,70,0,0,0,0,0,0,0,0
111370,20897,Pepsi 15 oz,medium - 473 ml,194,0,0,0,0,25,52,0,25,0,0,0,0,0,0,0,0
111371,20897,Diet Pepsi Large 20 oz,large - 591 ml,0,0,0,0,0,40,0,0,0,0.2,0,0,0,0,0,0,0
111372,20897,Diet Pepsi 15 oz,medium - 473 ml,0,0,0,0,0,30,0,0,0,0.1,0,0,0,0,0,0,0
111373,20897,Seven-Up 20 oz,large - 591 ml,260,0,0,0,0,105,67,0,70,0,0,0,0,0,0,0,0
111374,20897,Seven-Up 15 oz,medium - 473 ml,194,0,0,0,0,80,50,0,52,0,0,0,0,0,0,0,0
111375,20897,Mug Root Beer 20 oz,large - 591 ml,270,0,0,0,0,80,70,0,70,0,0,0,0,0,0,0,0
111376,20897,Mug Root Beer 15 oz,medium - 473 ml,200,0,0,0,0,60,52,0,52,0,0,0,0,0,0,0,0
111377,20897,Lipton Lemon Brisk Ice Tea 20 oz,large - 591 ml,210,0,0,0,0,135,57,0,56,0,0,0,0,0,0,0,0
111378,20897,Lipton Lemon Brisk Ice Tea 15 oz,medium - 473 ml,160,0,0,0,0,100,42,0,42,0,0,0,0,0,0,0,0
111379,20897,Orange Juice,473 ml,230,0,0,0,0,30,55,0,45,2,160,0,4,0,0,0,0
111380,20897,Apple Juice,473 ml,220,0,0,0,0,20,53,0,47,1,120,0,0,0,0,0,0
111381,20897,2% Partially Skimmed Milk,250 ml,125,5,3,0.2,20,100,11,0,11,8,0,15,25,0,0,0,0
111382,20897,2% Partially Skimmed Chocolate Milk,250 ml,185,5,3,0.2,20,130,14,0,13,8,0,15,25,0,0,0,0
111383,20897,Coffee,375 ml,10,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
111384,20897,Tea,375 ml,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111385,20898,Breakfast Club,256 g,440,22,9,0.3,225,770,33,2,4,29,8,20,20,20,0,0,0
111386,20898,Breakfast Club Deluxe,264 g,478,24,10,0.3,235,920,33,2,4,34,8,20,20,20,0,0,0
111387,20898,Bacon,3 strips - 8 g,38,2,0.5,0,10,150,0,0,0,5,0,0,0,0,0,0,0
111388,20898,Extra Egg,50 g,90,6,1.5,0.2,175,70,0,0,0,12,0,15,4,4,0,0,0
111389,20898,Homefries,116 g,300,19,2.5,0.4,5,530,29,3,0,3,4,0,2,6,0,0,0
111390,20898,Sausage,45 g,130,9,3.5,0,35,280,3,0,0,9,6,0,0,4,0,0,0
111391,20898,Toast,2 slices - 71 g,180,2,0,0,0,320,35,1,2,6,0,0,4,15,0,0,0
111392,20898,Toast,2 slices - 71 g,170,2,0.2,0,0,320,32,3,2,7,0,0,4,15,0,0,0
