food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
124912,21793,Asiago Cheese Bagel,1 bagel - 4.6 oz,360,8,4,0,20,710,57,2,5,16,0,6,20,4,0,0,0
124913,21793,Cinnamon Crisp Bagel,1 bagel - 4.6 oz,400,6,0.5,0,0,440,88,3,16,11,0,0,4,10,0,0,0
124914,21793,Cinnamon Raisin Bagel,1 bagel - 4.3 oz,290,1,0,0,0,420,62,3,4,10,0,0,2,6,0,0,0
124915,21793,Dutch Apple Bagel,1 bagel - 4.8 oz,450,3.5,1,0,0,500,93,4,28,13,0,0,4,8,0,0,0
124916,21793,Everything Bagel,1 bagel - 4.5 oz,330,3,0,0,0,760,65,3,5,13,0,0,6,6,0,0,0
124917,21793,French Toast Bagel,1 bagel - 4.6 oz,400,7,2,0,0,420,72,3,14,10,0,0,4,6,0,0,0
124918,21793,Honey 9 Grain Bagel,1 bagel - 4.8 oz,340,2,0,0,0,530,72,6,5,13,0,0,2,10,0,0,0
124919,21793,Jalapeno Cheddar Bagel,1 bagel - 4.8 oz,350,6,3.5,0,15,690,56,2,5,18,0,8,25,4,0,0,0
124920,21793,Plain Bagel,1 bagel - 3.9 oz,280,1,0,0,0,440,57,2,4,11,0,0,2,4,0,0,0
124921,21793,Sesame Seed Bagel,1 bagel - 4.1 oz,320,4.5,0.5,0,0,440,59,3,4,12,0,0,8,10,0,0,0
124922,21794,Almond Croissant,1 croissant - 4.7 oz - 133 g,510,25,10,0,95,440,63,3,18,13,8,10,10,8,0,0,0
124923,21794,Apple Croissant,1 croissant - 3.6 oz - 101 g,230,10,6,0,25,230,31,2,11,4,75,6,2,8,0,0,0
124924,21794,Chocolate Croissant,1 croissant - 3.2 oz - 91 g,340,17,10,0,30,190,42,3,17,7,6,8,4,15,0,0,0
124925,21794,Cinnamon Raisin Croissant,1 croissant - 3.8 oz - 108 g,340,5,2.5,0,20,350,69,3,15,9,15,4,8,8,0,0,0
