food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
126665,21981,Hot Grilled Italian Chicken Panini,1 sandwich - 315 g,690,27,100,5,95,1460,68,3,4,47,40,40,35,8,0,0,0
126666,21981,Hot Grilled Country Grilled Cheese Panini,1 sandwich - 223 g,540,20,11,5,50,440,49,3,2,27,10,20,50,6,0,0,0
126667,21981,Hot Grilled Cheese Steak Panini,1 sandwich - 305 g,690,29,10,0.5,75,1890,69,2,2,40,2,10,35,15,0,0,0
126668,21981,Tasty Turkey on Asiago Bagel,1 sandwich - 347 g,600,18,10,5,85,710,81,3,6,36,20,20,15,30,0,0,0
126669,21981,Veg Out on Sesame Bagel,1 sandwich - 273 g,500,13,7,0,30,690,82,4,10,17,25,20,15,60,0,0,0
126670,21981,Club Mex™ on Challah,1 sandwich - 354 g,730,38,11,0,100,1390,60,3,10,36,30,10,20,20,0,0,0
126671,21981,Einstein Club on Grilled Rustic White,1 sandwich - 326 g,670,29,6,0,80,640,54,4,4,31,15,8,8,6,0,0,0
126672,21982,Bros Bistro™,1 salad - 326 g,810,69,13,0,25,530,37,4,23,15,50,70,25,15,0,0,0
126673,21982,Chicken Chipotle,1 salad - 432 g,630,40,9,0,80,1410,38,7,19,31,100,110,25,10,0,0,0
126674,21982,Asiago Chicken Caesar,1 salad - 383 g,740,54,11,1,90,1400,25,3,6,33,50,70,25,15,0,0,0
126675,21982,Broccoli Sharp Cheddar,14 oz - 397 g,380,23,14,0,80,1500,43,1,10,7,10,310,8,10,0,0,0
126676,21982,Crab Chowder,1 bowl - 397 g,370,25,14,0,85,1120,25,1,2,13,20,20,20,35,0,0,0
126677,21983,Spicy Elmo Egg Sandwich,1 sandwich - 279 g,650,35,17,0,460,1060,50,2,10,31,15,25,35,25,0,0,0
126678,21983,Turkey Sausage & Cheddar Hot Bagel Omelet Sandwich,1 sandwich - 300 g,660,23,10,0,445,1170,74,2,7,42,0,20,35,30,0,0,0
126679,21983,Black Forest Ham & Swiss Hot Bagel Omelet Sandwich,1 sandwich - 304 g,660,21,10,0,445,1350,76,2,9,41,0,20,40,30,0,0,0
126680,21983,Smoked Bacon & Cheddar Hot Bagel Omelet Sandwich,1 sandwich - 273 g,680,26,13,0,440,1090,75,2,7,38,0,20,35,30,0,0,0
