menu_id,menu_name,restaurant_id
21981,Lunch Sandwiches,1248
21982,Lunch - Soups & Entree Salads,1248
21983,Breakfast Sandwiches,1248
21984,Bagels,1248
21985,Bagels Top Shelf,1248
21986,Bread Specialty,1248
21987,Cream Cheese,1248
21988,Coffee,1248
21989,"Coffee, Specialty",1248
21990,Other Beverages,1248
21991,Iced Specialty Coffee,1248
21992,Coffee Extras,1248
21993,Cold Beverages,1248
21994,Condiments,1248
21995,Hot Tea & Chocolate,1248
21996,Retail Food,1248
21997,Salad Dressings & Spreads,1248
21998,Salad Extras & Side Salads,1248
21999,Salads,1248
22000,Sandwich Fillings,1248
22001,Sandwich Breakfast Frittata's/Panini's,1248
22002,Naked Eggs,1248
22003,Sandwiches,1248
22004,Bagel Dogs,1248
22005,Paninis,1248
22006,Sweets,1248
22007,Soups,1248
