food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
136214,22784,Zesty Orange Poppyseed,1 mmmuffin® - 4 oz - 113 g,259.7,2.6,0,0,1.5,0,55,2.1,0,5.2,0,0,0,0,0,0,0
136215,22784,Apple Crunch,1 mmmuffin® - 4 oz - 113 g,329.3,2.8,0,0,1.5,0,71.8,1.9,0,6.3,0,0,0,0,0,0,0
136216,22784,Strawberry Orange,1 mmmuffin® - 4 oz - 113 g,314.1,2.6,0,0,1.3,0,68.7,1.9,0,6,0,0,0,0,0,0,0
136217,22784,Real Rasberry,1 mmmuffin® - 4 oz - 113 g,261.6,2.1,0,0,1.4,0,56.7,2.6,0,5,0,0,0,0,0,0,0
136218,22784,Wild Blueberry & Cranberry,1 mmmuffin® - 4 oz - 113 g,261.4,2.2,0,0,1.4,0,56.7,1.8,0,4.9,0,0,0,0,0,0,0
136219,22784,Wild Blueberry,1 mmmuffin® - 4 oz - 113 g,286.3,2.3,0,0,1.4,0,63,2,0,4.9,0,0,0,0,0,0,0
136220,22784,Fresh Banana,1 mmmuffin® - 4 oz - 113 g,323.7,2.6,0,0,1.4,0,70.9,2,0,6.2,0,0,0,0,0,0,0
136221,22784,Cranberry,1 mmmuffin® - 4 oz - 113 g,260.8,2.2,0,0,1.4,0,56.5,1.7,0,4.9,0,0,0,0,0,0,0
136222,22784,Strawberry Rhubarb,1 mmmuffin® - 4 oz - 113 g,332.2,2.8,0,0,1.4,0,73.3,1.9,0,6.4,0,0,0,0,0,0,0
136223,22784,Peach,1 mmmuffin® - 4 oz - 113 g,311.3,2.2,0,0,1.4,0,58.6,1.8,0,5.1,0,0,0,0,0,0,0
136224,22784,Tropical Lemon Dream,1 mmmuffin® - 4 oz - 113 g,285.5,2.5,0,0,1.6,0,61,1.4,0,5.2,0,0,0,0,0,0,0
136225,22784,Cherries 'n Chocolate,1 mmmuffin® - 4 oz - 113 g,329.7,2.7,0,0,1.4,0,72.3,1.4,0,6.4,0,0,0,0,0,0,0
136226,22784,Rum & Raisin,1 mmmuffin® - 4 oz - 113 g,292.4,2.2,0,0,1.6,0,62.9,3.5,0,5.3,0,0,0,0,0,0,0
136227,22784,Chocolate Banana,1 mmmuffin® - 4 oz - 113 g,268.9,2.1,0,0,1.3,0,68,1.2,0,5.3,0,0,0,0,0,0,0
136228,22785,Cranberry Peach,1 mmmuffin® - 4 oz - 113 g,259.4,2.1,0,0,4,0,56.8,1.8,0,4.7,0,0,0,0,0,0,0
136229,22785,Strawberry Banana,1 mmmuffin® - 4 oz - 113 g,274.4,2.1,0,0,1.4,0,60.5,1.9,0,4.9,0,0,0,0,0,0,0
136230,22785,Blackberry Strawberry,1 mmmuffin® - 4 oz - 113 g,286.7,2.2,0,0,1.4,0,63.1,2.5,0,5.2,0,0,0,0,0,0,0
136231,22785,Strawberry,1 mmmuffin® - 4 oz - 113 g,279.5,2.1,0,0,1.4,0,62,1.9,0,4.9,0,0,0,0,0,0,0
136232,22785,Summer Berry,1 mmmuffin® - 4 oz - 113 g,287.8,2.1,0,0,1.3,0,58.8,2.5,0,4.9,0,0,0,0,0,0,0
136233,22785,Cranberry Strawberry,1 mmmuffin® - 4 oz - 113 g,265.1,2.1,0,0,1.4,0,57.6,2.7,0,5,0,0,0,0,0,0,0
136234,22785,Rasberry Peach,1 mmmuffin® - 4 oz - 113 g,250.2,2,0,0,1.3,0,54.5,2.4,0,4.7,0,0,0,0,0,0,0
136235,22785,Cranberry Rasberry,1 mmmuffin® - 4 oz - 113 g,265.4,2.1,0,0,1.3,0,58.5,1.8,0,4.7,0,0,0,0,0,0,0
136236,22785,Strawberry Kiwi,1 mmmuffin® - 4 oz - 113 g,279.8,2.2,0,0,1.4,0,59.1,1.6,0,4.9,0,0,0,0,0,0,0
136237,22785,Caramel Sensation,1 mmmuffin® - 4 oz - 113 g,283.2,2.7,0,0,1.5,0,62.8,1.6,0,5,0,0,0,0,0,0,0
136238,22785,Coffee Mocha,1 mmmuffin® - 4 oz - 113 g,287.3,2.7,0,0,1.5,0,62.6,1.6,0,4.7,0,0,0,0,0,0,0
136239,22785,Cranberry Banana,1 mmmuffin® - 4 oz - 113 g,271,2.1,0,0,1.4,0,50.5,1.8,0,5,0,0,0,0,0,0,0
136240,22786,Cranberry Peach,1 mmmuffin® - 4 oz - 113 g,259.4,2.1,0,0,4,0,56.8,1.8,0,4.7,0,0,0,0,0,0,0
136241,22786,Strawberry Banana,1 mmmuffin® - 4 oz - 113 g,274.4,2.1,0,0,1.4,0,60.5,1.9,0,4.9,0,0,0,0,0,0,0
136242,22786,Blackberry Strawberry,1 mmmuffin® - 4 oz - 113 g,286.7,2.2,0,0,1.4,0,63.1,2.5,0,5.2,0,0,0,0,0,0,0
136243,22786,Strawberry,1 mmmuffin® - 4 oz - 113 g,279.5,2.1,0,0,1.4,0,62,1.9,0,4.9,0,0,0,0,0,0,0
136244,22786,Summer Berry,1 mmmuffin® - 4 oz - 113 g,287.8,2.1,0,0,1.3,0,58.8,2.5,0,4.9,0,0,0,0,0,0,0
136245,22786,Cranberry Strawberry,1 mmmuffin® - 4 oz - 113 g,265.1,2.1,0,0,1.4,0,57.6,2.7,0,5,0,0,0,0,0,0,0
136246,22786,Rasberry Peach,1 mmmuffin® - 4 oz - 113 g,250.2,2,0,0,1.3,0,54.5,2.4,0,4.7,0,0,0,0,0,0,0
136247,22786,Cranberry Rasberry,1 mmmuffin® - 4 oz - 113 g,265.4,2.1,0,0,1.3,0,58.5,1.8,0,4.7,0,0,0,0,0,0,0
136248,22786,Strawberry Kiwi,1 mmmuffin® - 4 oz - 113 g,279.8,2.2,0,0,1.4,0,59.1,1.6,0,4.9,0,0,0,0,0,0,0
136249,22786,Caramel Sensation,1 mmmuffin® - 4 oz - 113 g,283.2,2.7,0,0,1.5,0,62.8,1.6,0,5,0,0,0,0,0,0,0
136250,22786,Coffee Mocha,1 mmmuffin® - 4 oz - 113 g,287.3,2.7,0,0,1.5,0,62.6,1.6,0,4.7,0,0,0,0,0,0,0
136251,22786,Cranberry Banana,1 mmmuffin® - 4 oz - 113 g,271,2.1,0,0,1.4,0,50.5,1.8,0,5,0,0,0,0,0,0,0
136252,22787,Cranberry Lemon,1 mmmuffin® - 4 oz - 113 g,242.5,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136253,22787,Peach,1 mmmuffin® - 4 oz - 113 g,241,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136254,22787,Pineapple,1 mmmuffin® - 4 oz - 113 g,247.5,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136255,22787,Orange,1 mmmuffin® - 4 oz - 113 g,251,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136256,22787,Raisin & Spice,1 mmmuffin® - 4 oz - 113 g,311,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
