food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
136307,22795,Butter,1 cookie - 65 g,290,12,8,0,50,250,39,1,21,3,0,0,0,0,0,0,0
136308,22795,Butter Toffee,1 cookie - 65 g,290,13,8,0,55,190,40,1,24,3,0,0,0,0,0,0,0
136309,22795,Chewy Fudge,1 cookie - 65 g,300,14,9,0,35,80,40,3,27,3,0,0,0,0,0,0,0
136310,22795,Cinnamon Sugar,1 cookie - 65 g,300,12,8,0,50,250,41,1,23,3,4,10,0,10,0,0,0
136311,22795,Coconut & Macadamias,1 cookie - 65 g,280,13,5,0,20,220,39,1,23,3,2,2,0,8,0,0,0
136312,22795,Debra's Special,1 cookie - 50 g,210,9,4,0,30,160,29,1,18,3,2,6,0,6,0,0,0
136313,22795,Egg Nog,1 cookie - 65 g,300,13,9,0,55,250,41,1,22,3,0,0,0,0,0,0,0
136314,22795,Gingersnap,1 cookie - 65 g,250,5,3.5,0,35,230,46,1,29,3,0,0,0,0,0,0,0
136315,22795,Ginger Spice Cookies,65 g,270,6,3.5,0,35,250,49,1,30,3,6,4,0,8,0,0,0
136316,22795,M&M,1 cookie - 65 g,330,14,9,0,50,255,45,1,27,2,0,0,0,0,0,0,0
136317,22795,Milk Chocolate w/o Nuts,1 cookie - 65 g,280,13,8,0,40,180,38,1,18,3,2,6,0,6,0,0,0
136318,22795,Milk Chocolate Macadamia,1 cookie - 65 g,320,18,9,0,40,180,36,1,25,4,6,6,0,8,0,0,0
136319,22795,Milk Chocolate & Walnuts,1 cookie - 65 g,320,17,9,0,40,180,37,1,26,4,6,6,0,8,0,0,0
136320,22795,Oatmeal Chocolate Chip,1 cookie - 65 g,280,13,8,0,35,140,40,1,17,3,4,6,0,10,0,0,0
136321,22795,Oatmeal Raisin,1 cookie - 49 g,180,7,4,0,26,165,29,0,19,1.5,2,4,0,4,0,0,0
136322,22795,Peanut Butter,1 cookie - 50 g,220,12,4.5,0,30,190,25,1,14,4,2,4,0,4,0,0,0
136323,22795,Peanut Butter w/ Milk Chocolate Chips,1 cookie - 65 g,300,17,8,0,40,160,35,1,16,5,0,0,0,0,0,0,0
136324,22795,Pumpkin Harvest,1 cookie - 65 g,260,14,7,0,40,270,32,1,18,4,0,0,0,0,0,0,0
136325,22795,Semi-Sweet Chocolate,1 cookie - 50 g,220,10,6,0,20,140,31,1,20,2,2,4,0,6,0,0,0
136326,22795,Semi-Sweet Chocolate w/ Pecans,1 cookie - 65 g,300,16,8,0,30,160,37,2,25,3,0,0,0,0,0,0,0
136327,22795,Semi-Sweet Chocolate with Walnuts,1 cookie - 65 g,310,16,8,0,35,170,38,2,25,3,4,6,0,10,0,0,0
136328,22795,White Chunk Macadamia,1 cookie - 50 g,240,13,6,0,20,150,28,1,19,3,4,4,0,4,0,0,0
136329,22795,Triple Chocolate,1 cookie - 50 g,220,11,6,0,25,140,30,2,20,2,4,4,0,4,0,0,0
136330,22796,Chewy Fudge,1 cookie - 95 g,450,25,15,0,40,90,57,3,28,5,0,0,0,0,0,0,0
136331,22796,Peanut Butter,1 cookie - 95 g,470,25,14,0,55,280,53,1,35,8,0,0,0,0,0,0,0
136332,22797,Snickerdoodle,2 cookies - 143 g,640,29,17,0,110,540,90,2,49,7,0,0,0,0,0,0,0
136333,22798,Butter,2 cookies - 25 g,110,4.5,3,0,15,90,15,0,9,1,0,0,0,0,0,0,0
136334,22798,Chewy Chocolate Fudge,2 cookies - 25 g,110,5,3.5,0,10,30,15,1,10,1,0,0,0,0,0,0,0
136335,22798,Milk Chocolate,2 cookies - 25 g,110,5,3,0,15,70,15,1,10,1,0,0,0,0,0,0,0
