menu_id,menu_name,restaurant_id
23310,Bakery - Bagels,1430
23311,Bakery - Muffins,1430
23312,Bakery - Croissants,1430
23313,Bakery - Dessert Bars,1430
23314,Bakery - Scones,1430
23315,Bakery - Breads,1430
23316,Bakery - Rolls,1430
23317,Bakery - Loaf & Skillet Breads,1430
23318,Meat - Beef,1430
23319,Meat - Chicken,1430
23320,Meat - Lamb,1430
23321,Meat - Pork,1430
23322,Meat - Ready To Cook Meat,1430
23323,Meat - Turkey,1430
23324,Produce - Fruits,1430
23325,Produce - Vegetables,1430
23326,Kosher Deli - Kosher Specialties,1430
23327,Kosher Deli - Cream Cheese,1430
23328,Deli - Beef & Pork,1430
23329,Deli - Bologna,1430
23330,Deli - Cheese,1430
23331,Deli - Chicken,1430
23332,Deli - Ham,1430
23333,Deli - Hot Dogs & Sausage,1430
23334,Deli - Italian Specialties,1430
23335,Deli - Liverwurst,1430
23336,Deli - Loaves & Cooked Salami,1430
23337,Seafood - Fresh,1430
23338,Seafood - Ready To Cook,1430
23339,Mediterranean Olive Bar - Antipasto,1430
23340,Mediterranean Olive Bar - Dips & Spreads,1430
23341,Mediterranean Olive Bar - Olive Bar,1430
23342,Cheese Shop - Blue Cheese,1430
23343,Cheese Shop - Bries & Soft Ripened,1430
23344,Cheese Shop - Cheddar & Snacking,1430
23345,Cheese Shop - Neal's Yard Cheeses,1430
23346,Cheese Shop - Feta,1430
23347,Cheese Shop - Goat,1430
23348,Cheese Shop - Italian Cheeses,1430
23349,Cheese Shop - Meats & Pates,1430
23350,Cheese Shop - Processed Cheese & Spreadables,1430
23351,Cheese Shop - In-Store Made Cheese Spreads,1430
23352,Cheese Shop - Sheeps Milk,1430
23353,Cheese Shop - Swiss,1430
23354,Cheese Shop - Washed Rind,1430
23355,Hot Chef's Creations - Cold Side Dishes - Hot Line,1430
23356,Hot Chef's Creations - Entrees with Sauce - Hot Line,1430
23357,Hot Chef's Creations - Hot Side Dishes - Hot Line,1430
23358,Hot Chef's Creations - Sandwiches - Hot Line,1430
23359,Prepared Food - Breakfast Sandwiches,1430
23360,Prepared Food - Coffee Bar - Café Au Lait,1430
23361,Prepared Food - Coffee Bar - Café Caramel,1430
23362,Prepared Food - Coffee Bar - Café Latte,1430
23363,Prepared Food - Coffee Bar - Cappuccino,1430
23364,Prepared Food - Coffee Bar - Frappe Freeze,1430
23365,Prepared Food - Coffee Bar - Fruit Smoothies,1430
23366,Prepared Food - Coffee Bar - Bubble Teas,1430
23367,Prepared Food - Coffee Bar - Hot Chocolate,1430
23368,Prepared Food - Coffee Bar - Mocha,1430
23369,Prepared Food - Coffee Bar - White Hot Chocolate,1430
23370,Prepared Food - Coffee Bar - White Mocha,1430
23371,Prepared Food - Heat & Serve Entrees,1430
23372,Prepared Food - Holiday Dinners,1430
23373,Prepared Food - Pizza - Gourmet,1430
23374,Prepared Food - Pizza - Pizza - Traditional,1430
23375,Prepared Food - Pizza - Calzones,1430
23376,Prepared Food - Pizza - Incredi - Burgers,1430
23377,Prepared Food - Pizza - Chicken Wings,1430
23378,Prepared Food - Rotisserie Products,1430
23379,Prepared Food - Salads - Grain Salads,1430
23380,Prepared Food - Salads - Green Salads,1430
23381,"Prepared Food - Salads - Dressings, Add",1430
23382,Prepared Food - Salads - Salad Plates,1430
23383,Prepared Food - Salads - Service Salads - Pasta & Potato,1430
23384,Prepared Food - Salads - Service Salads - Other,1430
23385,Prepared Food - Sauces,1430
23386,Prepared Food - Soups,1430
23387,Prepared Food - Starch Side Dishes,1430
23388,Prepared Food - Subs & Sandwiches - Fresh Sandwiches,1430
23389,Prepared Food - Subs & Sandwiches - Wheat Wraps,1430
23390,Prepared Food - Subs & Sandwiches - Old Fashioned Subs,1430
23391,Prepared Food - Subs & Sandwiches - Old Fashioned Subs - Cheese & Condiments,1430
23392,Prepared Food - Subs & Sandwiches - Old Fashioned Subs - Hot Subs,1430
23393,Prepared Food - Subs & Sandwiches - Old Fashioned Subs - Other,1430
23394,Prepared Food - Sushi (NY & PA Stores),1430
23395,Prepared Food - Roll N' Wrap (NY & PA Stores),1430
23396,"Prepared Food - Sushi (NJ, VA, MD Stores)",1430
23397,Prepared Food - Vegetables,1430
23398,Prepared Food - Wokery Entrees,1430
23399,Prepared Food - Wokery - Appetizers Sides,1430
