food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
8923,687,Plain,490,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8924,687,Honey Bran,425,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8925,687,Blueberry,425,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8926,687,Banana,520,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8927,688,NSA Wildberry Pie-unbaked,390,16.5,0,0,0,0,66,0,6,0,0,0,0,0,0,0,0
8928,688,NSA Apple Pie-unbaked,375,15,0,0,0,0,55.5,0,13.5,0,0,0,0,0,0,0,0
8929,688,Low Fat Brownie,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8930,688,Blueberry Muffin,425,19.5,0,0,0,0,68,0,3,0,0,0,0,0,0,0,0
8931,689,Cake,317.3,15.9,0,0,23.3,616,48.5,7.5,0,4.7,0,0,0,0,0,0,0
8932,689,Icing,66.1,1.1,0,0,0,35,21.8,0.3,0,0.2,0,0,0,0,0,0,0
8933,689,Cake w/ Icing,383.4,17,0,0,23.3,651,70.4,7.7,0,4.8,0,0,0,0,0,0,0
8934,690,Apple Muffin,550,23,0,0,0,0,78,2,0,6.5,0,0,0,0,0,0,0
8935,690,Banana Nut Muffin,650,32.5,0,0,0,0,78,3,0,10,0,0,0,0,0,0,0
8936,690,Blueberry Muffin,550,26,0,0,0,0,78,3,0,10,0,0,0,0,0,0,0
8937,690,Bran Muffin,550,16,0,0,0,0,94,6.5,0,10,0,0,0,0,0,0,0
8938,690,Carrot Muffin,455,26,0,0,0,0,55,3,0,10,0,0,0,0,0,0,0
8939,690,Chocolate Chip Muffin,620,26,0,0,0,0,81,3,0,10,0,0,0,0,0,0,0
8940,690,Cranberry Nut Muffin,585,29,0,0,0,0,75,3,0,10,0,0,0,0,0,0,0
8941,690,Oat Bran Muffin,455,15,0,0,0,0,68,3,0,10,0,0,0,0,0,0,0
8942,690,Peaches & Cream Muffin,520,23,0,0,0,0,72,2,0,6.5,0,0,0,0,0,0,0
8943,690,Lemon Poppyseed Muffin,685,33,0,0,0,0,88,3,0,10,0,0,0,0,0,0,0
8944,690,Pumpkin Muffin,550,26,0,0,0,0,78,3,0,10,0,0,0,0,0,0,0
8945,690,Raspberry & Cream Muffin,585,26,0,0,0,0,81,3,0,10,0,0,0,0,0,0,0
