food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
8946,691,"Docaffeinated Coffee, Brewed",5,0,0,0,0,5,1,0,1,0,0,0,1,1,0,0,0
8947,691,"Coffee, Brewed",9,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
8948,691,Iced Tea,4,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0
8949,691,Iced Coffee,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
8950,691,Raspberry Nestea Iced Tea,117,0,0,0,0,12,31,0,31,0,0,0,0,0,0,0,0
8951,691,Lemonade,166,0,0,0,0,0,39,0,39,1,20,0,0,0,0,0,0
8952,691,Coke,154,0,0,0,0,8,40,0,40,0,0,0,1,1,0,0,0
8953,691,Diet Coke,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
8954,691,Mr Pibb,146,0,0,0,0,11,39,0,39,0,0,0,0,0,0,0,0
8955,691,Bargs Root Beer,167,0,0,0,0,36,45,0,45,0,0,0,0,0,0,0,0
8956,691,Sprite,144,0,0,0,0,35,39,0,39,0,0,0,0,0,0,0,0
8957,691,Flavored Soft Drink (Coke),303,0,0,0,0,57,77,0,76,0,0,0,1,1,0,0,0
8958,691,"Milk, 2%",130,5,3,0,25,150,13,0,13,10,2,10,35,0,0,0,0
8959,691,"Milk, 2%",195,8,5,0,37,225,20,0,20,15,3,15,53,0,0,0,0
8960,691,"Milk, Whole",156,9,6,0,34,120,11,0,0,8,6,7,29,1,0,0,0
8961,691,"Milk, Whole",234,13,8,0,51,179,17,0,0,12,9,10,44,1,0,0,0
8962,691,Apple Juice,140,0,0,0,0,10,35,0,31,1,0,0,0,0,0,0,0
8963,691,Apple Juice,210,0,0,0,0,15,52,0,47,2,0,0,0,0,0,0,0
8964,691,Ocean Sparay Cranberry Juice,130,0,0,0,0,35,33,0,33,0,100,0,0,2,0,0,0
8965,691,Ocean Sparay Cranberry Juice,195,0,0,0,0,51,50,0,50,0,150,0,0,3,0,0,0
8966,691,100% Orange Juice,110,0,0,0,0,0,26,0,22,1,50,0,2,0,0,0,0
8967,691,100% Orange Juice,165,0,0,0,0,0,39,0,33,2,75,0,3,0,0,0,0
8968,691,100% Ruby Red Grapefruit Juice,90,0,0,0,0,0,22,0,17,1,50,0,2,0,0,0,0
8969,691,100% Ruby Red Grapefruit Juice,135,0,0,0,0,0,33,0,26,2,75,0,3,0,0,0,0
8970,691,Tomata Juice,50,0,0,0,0,860,9,1,7,2,40,20,2,8,0,0,0
8971,691,Tomato Juice,75,0,0,0,0,"1,290",14,2,11,3,60,30,3,11,0,0,0
8972,691,Bud Light,110,0,0,0,0,9,7,0,0,1,0,0,1,0,0,0,0
8973,691,Budweiser,145,0,0,0,0,9,11,0,0,1,0,0,2,1,0,0,0
8974,691,"O' douls, malt beverage",70,0,0,0,0,9,15,0,0,1,0,0,2,0,0,0,0
8975,691,"Wine, all table types",144,0,0,0,0,11,6,0,3,0,0,0,1,4,0,0,0
8976,692,Vanilla Shake,691,27,17,0,108,285,97,1,93,13,1,19,4,3,0,0,0
8977,692,Vanilla Shake,497,19,12,0,76,204,70,1,68,10,1,14,3,2,0,0,0
8978,692,Strawberry Shake,649,27,17,0,108,298,86,1,83,14,26,20,4,4,0,0,0
8979,692,Strawberry Shake,465,19,12,0,76,214,62,1,60,10,19,14,3,3,0,0,0
8980,692,Chocolate Shake,714,27,18,0,108,304,101,1,95,14,1,19,5,6,0,0,0
8981,692,Chocolate Shake,514,19,12,0,76,218,73,1,69,10,1,14,3,4,0,0,0
8982,692,Banana Shake,662,27,17,0,108,286,90,2,81,14,9,20,4,3,0,0,0
8983,692,Banana Shake,475,19,12,0,76,205,65,1,58,10,7,14,3,3,0,0,0
8984,692,Banana Cream Shake,827,29,19,0,123,353,125,2,109,17,9,23,19,3,0,0,0
8985,692,Banana Cream Shake,585,21,13,0,86,250,88,1,77,12,7,16,13,3,0,0,0
8986,692,Coffee Shake,432,19,12,0,76,195,55,1,53,9,0,13,1,2,0,0,0
8987,692,Coffee Shake,595,26,17,0,104,272,76,1,74,13,0,18,1,3,0,0,0
8988,692,Peanut Butter Shake,708,35,19,0,108,365,80,1,75,17,1,19,5,4,0,0,0
8989,692,Peanut Butter Shake,509,25,13,0,76,264,58,1,54,13,1,14,4,3,0,0,0
8990,692,Pineapple Shake,660,27,17,0,108,290,89,1,85,14,4,19,4,3,0,0,0
8991,692,Pineapple Shake,473,19,12,0,76,208,65,1,62,10,3,14,3,2,0,0,0
8992,692,Mocha Shake,697,26,17,0,104,292,100,1,95,13,0,18,1,6,0,0,0
8993,692,Mocha Shake,509,19,12,0,76,209,73,1,69,10,0,13,1,5,0,0,0
8994,692,Chocolate Banana Shake,764,27,18,0,108,305,114,3,101,15,9,20,5,7,0,0,0
8995,692,Chocolate Banana Shake,552,19,13,0,76,219,83,2,74,11,7,14,4,5,0,0,0
8996,692,Chocolate Peanut Butter Cup Shake,810,36,19,0,108,384,104,2,96,18,1,19,5,8,0,0,0
8997,692,Chocolate Peanut Butter Cup Shake,586,26,14,0,76,278,76,2,70,13,1,14,4,6,0,0,0
8998,692,Winter Mint Shake,651,29,19,0,117,315,80,0,74,15,2,21,11,3,0,0,0
8999,692,Winter Mint Shake,474,21,14,0,85,227,58,0,53,11,2,15,8,2,0,0,0
9000,692,Strawberry Pineapple Shake,697,27,17,0,108,302,98,1,94,14,29,20,5,4,0,0,0
9001,692,Strawberry Pineapple Shake,501,19,12,0,76,217,72,1,68,10,22,14,3,3,0,0,0
9002,692,Orange 50/50 Shake,620,32,17,0,104,271,82,1,79,13,40,20,1,3,0,0,0
9003,692,Orange 50/50 Shake,451,23,12,0,76,193,60,1,57,9,30,14,1,2,0,0,0
9004,692,Oreo Cookie Shake,752,29,18,0,108,545,100,1,84,15,1,19,4,13,0,0,0
9005,692,Oreo Cookie Shake,542,21,13,0,76,399,73,1,60,11,1,14,3,9,0,0,0
9006,692,Dulce de Leche Shake,777,35,19,0,123,353,112,1,102,16,1,22,19,3,0,0,0
9007,692,Dulce de Leche Shake,547,25,13,0,86,249,79,1,72,12,1,16,13,2,0,0,0
9008,692,Peanut Butler and Jelly Shake,745,35,19,0,108,378,89,2,84,18,26,20,5,6,0,0,0
9009,692,Peanut Butler and Jelly Shake,537,25,13,0,76,274,65,1,61,13,19,14,4,4,0,0,0
9010,692,Cranberry Shake,712,27,17,0,108,300,103,1,91,13,1,19,4,3,0,0,0
9011,692,Cranberry Shake,512,19,12,0,76,215,75,1,66,10,1,14,3,2,0,0,0
9012,692,Black Forest Shake,808,28,18,0,108,307,124,2,117,15,6,21,5,7,0,0,0
9013,692,Black Forest Shake,584,20,13,0,76,220,91,1,86,11,4,15,4,5,0,0,0
9014,692,Black Cherry Shake,706,27,17,0,108,288,100,1,96,14,6,21,5,4,0,0,0
9015,692,Black Cherry Shake,508,19,12,0,76,206,73,1,70,10,4,15,3,3,0,0,0
9016,692,Strawberry Banana Shake,674,27,17,0,108,298,93,2,86,14,30,20,5,5,0,0,0
9017,692,Strawberry Banana Shake,490,19,12,0,76,214,69,1,63,10,23,14,4,3,0,0,0
9018,692,Pumpkin Shake,717,27,18,0,109,440,103,1,97,14,1,82,7,6,0,0,0
9019,692,Pumpkin Shake,522,20,13,0,80,320,75,1,71,10,1,61,5,4,0,0,0
9020,692,Pineapple Orange Shake,674,27,17,0,108,290,93,1,88,14,24,20,4,3,0,0,0
9021,692,Pineapple Orange Shake,484,19,12,0,76,208,67,1,64,10,18,14,3,2,0,0,0
9022,692,Root Beer Freeze,535,22,14,0,87,222,75,1,73,9,1,16,2,2,0,0,0
9023,692,Root Beer Freeze,415,18,11,0,70,168,57,1,56,7,1,13,2,2,0,0,0
9024,692,ButterFinger Shake,850,36,23,0,108,392,113,1,100,16,1,19,6,5,0,0,0
9025,692,ButterFinger Shake,616,26,16,0,76,284,83,1,73,12,1,14,4,3,0,0,0
9026,692,Float (Root Beer),280,9,5,0,35,112,44,0,43,4,0,9,13,0,0,0,0
9027,692,Malt Powder,30,1,1,0,2,680,5,1,3,1,0,0,1,0,0,0,0
9028,693,Double Hot Fudge Brownie Sundae,"1,108",47,25,0,112,418,159,3,125,14,0,13,7,11,0,0,0
9029,693,Banana Split,680,17,12,0,68,183,121,5,103,9,31,12,2,9,0,0,0
9030,693,Ruby Sundaes (Strawberry),450,17,11,0,67,180,64,1,63,8,50,11,2,4,0,0,0
9031,693,Old-Fashioned Vanilla Soft Server Cone,223,9,6,0,35,108,30,0,25,5,0,7,0,2,0,0,0
9032,693,Old-Fashioned Vanilla Soft Server Cone - Kids,93,4,2,0,14,45,13,0,10,2,0,3,1,1,0,0,0
9033,693,Soft Serve Cup,324,14,9,0,57,154,42,0,40,7,0,11,1,1,0,0,0
9034,693,Itsy Bitsy Sundae (Hot Fudge),384,17,12,0,45,161,51,0,42,6,0,7,3,1,0,0,0
9035,693,Fresh Baked Apple Pie,"1,001",49,19,0,25,648,132,4,96,9,4,11,19,13,0,0,0
9036,693,Fresh Baked Apple Pie a La Mode,"1,269",61,25,0,70,783,167,4,130,15,4,20,20,14,0,0,0
9037,694,Ruby's Omelette,346,27,9,0,727,326,2,0,2,21,1,30,9,14,0,0,0
9038,694,Ruby's Omelette (Ham),754,53,24,0,858,"2,122",10,1,6,58,6,42,57,22,0,0,0
9039,694,Denver Omeletts,674,49,22,0,822,"1,385",9,1,5,48,53,49,57,20,0,0,0
9040,694,"Shrimp, Avocado & Salsa Omelette",902,67,27,0,971,"1,345",12,4,5,62,38,62,63,35,0,0,0
9041,694,Veggie Omelette,656,51,23,0,792,762,8,2,5,40,40,104,59,23,0,0,0
9042,694,Deluxe Omelette,788,62,24,0,810,"1,626",13,3,3,41,10,43,10,16,0,0,0
9043,694,Egg White Omelette,338,20,9,0,34,"1,104",11,2,7,31,28,85,35,7,0,0,0
9044,694,Two Eggs Breakfast,264,22,7,0,503,258,1,0,1,14,0,23,6,9,0,0,0
9045,694,Two Eggs,350,28,10,0,521,640,2,0,2,21,0,23,6,11,0,0,0
9046,694,Two Eggs,511,44,15,0,559,860,2,0,2,26,0,23,7,16,0,0,0
9047,694,Two Eggs,325,23,8,0,537,946,2,0,2,25,0,23,6,12,0,0,0
9048,694,Two Eggs,435,33,11,0,586,851,2,0,2,31,0,23,9,19,0,0,0
9049,694,Two Eggs and Veggie Sausage,423,27,8,0,505,775,9,4,3,34,0,23,9,31,0,0,0
9050,694,Skinny Eggs,283,14,5,0,504,650,13,1,7,26,60,68,15,12,0,0,0
9051,694,"The ""Really"" Big Egg Breakfast",805,60,21,0,891,"2,692",5,0,5,60,0,30,10,28,0,0,0
9052,694,"Low-Carb ""Really"" Big Breakfast",805,60,21,0,891,"2,692",5,0,5,60,0,30,10,28,0,0,0
9053,695,Awesome Egg Sandwich (meatless),736,41,17,0,540,"1,560",60,2,13,30,0,38,26,24,0,0,0
9054,695,Ruby's Breakfast Burrito,"1,439",70,32,0,607,"2,311",146,11,11,52,77,60,78,49,0,0,0
9055,695,Ruby's Skillet (Turkey Sausage),942,71,31,0,920,"1,659",14,2,9,61,79,70,77,31,0,0,0
9056,695,Ruby's Skillet (Ground Beef),914,71,33,0,887,"1,462",10,1,6,57,47,60,73,27,0,0,0
