food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
9906,759,Original Chili,270,12,5,0,40,650,25,5,7,17,8,15,2,4,0,0,0
9907,759,Original Chili,340,15,6,0,50,810,31,6,8,22,10,20,2,6,0,0,0
9908,759,Original Chili,400,13,5,0,40,650,53,5,7,20,8,15,2,15,0,0,0
9909,759,Original Chili,470,22,8,0,70,"1,140",43,9,12,30,15,25,2,8,0,0,0
9910,759,Original Chili,500,16,6,0,50,810,67,7,9,25,10,20,2,15,0,0,0
9911,759,Vegetarian Chili,390,9,1,0,0,"1,680",63,15,8,19,35,20,8,20,0,0,0
9912,759,Chili Burrito,380,13,4.5,0,30,900,49,10,8,22,25,70,4,6,0,0,0
9913,759,Chili Dog Plate,710,43,17,0,105,"1,890",48,6,9,34,8,15,10,20,0,0,0
9914,760,Fried Chicken Plate,"1,340",68,15,0,250,"1,250",110,2,2,64,0,10,6,45,0,0,0
9915,760,Fried Chicken,710,43,11,0,240,740,23,1,0,56,0,4,4,20,0,0,0
9916,760,Korean Style Chicken,610,29,8,0,180,"1,860",33,1,25,52,2,4,4,20,0,0,0
9917,760,Chicken Katsu - Katsu Sauce,290,16,4.5,0,105,100,3,0,0,30,0,2,2,8,0,0,0
9918,761,Spaghetti Plate,"1,220",42,10,0,65,"1,700",167,8,9,38,10,20,4,45,0,0,0
9919,761,Spaghetti Plate,"1,090",36,17,0,95,"2,080",148,10,8,41,10,25,15,40,0,0,0
9920,761,Mini Spaghetti Meat Sauce,540,18,8,0,45,"1,040",74,5,4,20,6,10,6,20,0,0,0
9921,762,Oxtail Stew,560,24,10,0,195,"1,870",27,3,6,58,25,170,6,45,0,0,0
9922,762,Hawaiian Style Stew,480,27,11,0,125,"1,450",17,3,4,40,35,180,8,25,0,0,0
9923,762,Tripe Stew,290,9,2.5,0,225,"1,630",22,2,5,28,15,150,15,10,0,0,0
9924,762,Beef Stew,520,25,9,0,105,"1,100",39,4,10,35,40,170,8,25,0,0,0
9925,762,Lamb Curry,380,15,4,0,95,"1,820",26,3,4,34,25,190,6,20,0,0,0
9926,763,Pot O' Gold Soup,230,14,8,0,50,500,21,2,2,5,25,10,4,4,0,0,0
9927,763,Large Pot O' Gold Soup,320,20,11,0,70,700,29,3,3,7,35,15,6,6,0,0,0
9928,763,Chicken Noodle Soup,180,7,2,0,45,"1,290",15,1,1,13,8,100,2,6,0,0,0
9929,763,Large Chicken Noodle Soup,250,10,2.5,0,60,"1,810",21,1,2,19,10,140,4,8,0,0,0
9930,763,Portuguese Bean Soup,460,27,10,0,105,870,23,3,4,30,15,35,4,10,0,0,0
9931,763,Large Portuguese Bean Soup,650,38,14,0,150,"1,220",32,5,5,42,20,50,6,15,0,0,0
9932,763,Vegetable Beef Soup,200,10,4,0,40,880,14,1,2,13,10,80,2,8,0,0,0
9933,763,Large Vegetable Beef Soup,280,14,6,0,55,"1,230",20,2,2,18,15,110,4,10,0,0,0
9934,764,Potato Corn Chowder,190,2.5,0,0,0,620,38,3,3,6,25,4,4,6,0,0,0
9935,764,Large Potato Corn Chowder,270,3.5,0.5,0,0,870,53,4,5,8,35,6,6,10,0,0,0
9936,764,Clam Chowder,280,17,3.5,0,15,"1,300",23,1,1,10,15,8,4,4,0,0,0
9937,764,Large Clam Chowder,400,23,5,0,20,"1,810",32,2,2,14,20,10,6,6,0,0,0
9938,764,Seafood Chowder,330,19,4,0,45,"1,290",21,1,1,19,15,10,6,4,0,0,0
9939,764,Large Seafood Chowder,470,26,6,0,60,"1,810",29,2,2,27,20,15,8,6,0,0,0
9940,765,Rice,330,0.5,0,0,0,0,73,1,1,6,0,0,0,20,0,0,0
9941,765,Brown Rice,290,2,0,0,0,0,60,5,0,6,0,0,2,8,0,0,0
9942,765,Mashed Potato,210,13,7,0,30,460,26,3,3,4,45,6,2,6,0,0,0
9943,765,Garlic Bread,490,19,11,0,40,890,67,4,0,12,0,10,10,20,0,0,0
9944,765,Macaroni Salad,290,25,3.5,0,10,510,14,1,0,2,0,6,0,2,0,0,0
9945,766,Kalua Pork and Cabbage,390,24,7,0,95,"1,020",14,5,8,32,110,6,15,15,0,0,0
