food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
10341,805,"Beef Burger, Organic ",365,14,5.5,0,60,0,35,2,0,23,0,0,0,0,0,0,0
10342,805,"Beef Burger – The Big One, Organic ",545,26,11,0,120,0,35,2,0,41,0,0,0,0,0,0,0
10343,805,"Turkey Burger, Natural",355,8,2,0,80,0,35,2,0,32,0,0,0,0,0,0,0
10344,805,"Chicken Burger, Natural",365,8.5,2,0,55,0,35,2,0,35,0,0,0,0,0,0,0
10345,805,Soy Burger,325,3,0,0,0,880,48,8,0,25,0,0,0,0,0,0,0
10346,806,Beef Burger (4oz.pre-cooked weight),180,12,5.5,0,60,0,0,0,0,18,0,0,0,0,0,0,0
10347,806,The Big One (8oz. pre-cooked weight),370,24,11,0,120,0,0,0,0,36,0,0,0,0,0,0,0
10348,806,Turkey Burger (5oz. pre-cooked weight),170,6,2,0,80,0,0,0,0,27,0,0,0,0,0,0,0
10349,806,Chicken Burger (5oz. pre-cooked weight),180,6.5,2,0,55,0,2,0,0,30,0,0,0,0,0,0,0
10350,806,Soy Burger,140,1,0,0,0,580,13,6,0,20,0,0,0,0,0,0,0
10351,806,Hamburger Bun,170,2,0,0,0,300,32,2,0,5,0,0,0,0,0,0,0
10352,806,Low Carb Bun,90,1,0,0,0,220,16,7,0,9,0,0,0,0,0,0,0
10353,806,Tomato,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10354,806,Lettuce,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10355,806,Onion,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10356,806,Pickles,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
10357,807,"Cheddar Cheese, Organic",110,9,6,0,30,170,0,0,0,7,0,0,0,0,0,0,0
10358,807,Soy American Cheese,40,3,0.5,0,0,185,0,0,0,4,0,0,0,0,0,0,0
10359,807,Veggie Canadian Bacon  ,55,0.5,0,0,0,320,1,1,0,11,0,0,0,0,0,0,0
10360,807,"Pork Bacon, Natural & Nitrate-Free  ",60,5,2,0,0,290,0,0,0,4,0,0,0,0,0,0,0
10361,808,Beef Hot Dog,310,16.5,4.5,0,35,740,28,2,0,12,0,0,0,0,0,0,0
10362,808,Turkey Dog,230,7.5,2,0,35,610,28,2,0,16,0,0,0,0,0,0,0
10363,808,Soy Dog,250,3,0,0,0,740,35,4,0,21,0,0,0,0,0,0,0
10364,809,Beef Hot Dog,160,15,4.5,0,35,480,0,0,0,7,0,0,0,0,0,0,0
10365,809,"Turkey Dog, Organic",80,6,2,0,30,350,0,0,0,6,0,0,0,0,0,0,0
10366,809,Soy Dog,100,1.5,0,0,0,480,7,2,0,16,0,0,0,0,0,0,0
10367,809,Hot Dog Bun - Organic,150,1.5,0,0,0,260,28,2,0,5,0,0,0,0,0,0,0
10368,809,Relish,20,0,0,0,0,75,5,0,0,0,0,0,0,0,0,0,0
10369,809,Sauerkraut,5,0,0,0,0,100,1,0.5,0,0,0,0,0,0,0,0,0
10370,810,Better Fries,270,7,1,0,0,0,48,4,0,4,0,0,0,0,0,0,0
10371,810,Vegetarian Chili,180,3,0,0,0,0,27,0,0,10.5,0,0,0,0,0,0,0
10372,811,Vanilla Milk Smoothie,205,1.5,0,0,0,0,42,0,0,6,0,0,0,0,0,0,0
10373,811,Vanilla Milk Smoothie,280,2,0,0,0,0,56,0,0,8,0,0,0,0,0,0,0
10374,811,Strawberry Smoothie,230,1.5,0,0,0,0,48,0,0,6,0,0,0,0,0,0,0
10375,811,Strawberry Milk Smoothie,325,2,0,0,0,0,66,0,0,8,0,0,0,0,0,0,0
10376,811,Banana Milk Smoothie,240,1.5,0,0,0,0,50,0,0,6,0,0,0,0,0,0,0
10377,811,Banana Milk Smoothie,340,2,0,0,0,0,70,0,0,8,0,0,0,0,0,0,0
10378,811,Caramel Milk Smoothie,290,3,0,0,0,0,59,0,0,6,0,0,0,0,0,0,0
10379,811,Caramel Milk Smoothie,405,4,0,0,0,0,84,0,0,8,0,0,0,0,0,0,0
10380,811,Chocolate Milk Smoothie,260,1.5,0,0,0,0,55,0,0,6,0,0,0,0,0,0,0
10381,811,Chocolate Milk Smoothie,360,2,0,0,0,0,77,0,0,8,0,0,0,0,0,0,0
