food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
11260,886,Kid's Burger,360,14,4.5,0.5,55,590,37,1,6,22,0,0,6,20,0,0,0
11261,886,Kid's Cheeseburger,410,19,7,0.5,70,850,38,1,6,24,0,4,15,20,0,0,0
11262,886,Old Fashion Burger,360,14,4.5,0.5,55,680,38,1,7,22,0,0,6,20,0,0,0
11263,886,Mighty Deluxe Burger,410,19,5,0.5,60,710,39,1,8,22,6,4,6,20,0,0,0
11264,886,Mighty Deluxe Cheeseburger,460,23,8,0.5,75,960,39,1,8,24,6,8,15,20,0,0,0
11265,886,Double Good Time,690,39,15,1.5,140,"1,280",39,1,8,43,6,10,25,30,0,0,0
11266,886,Bacon Cheeseburger,550,31,11,0.5,85,"1,420",37,1,6,32,6,8,15,20,0,0,0
11267,886,Mammoth Burger,870,50,21,2,205,"1,620",39,1,8,63,0,8,35,35,0,0,0
11268,886,Guacamole Bacon Burger,590,29,8,0.5,70,"1,400",52,4,9,30,30,15,8,20,0,0,0
11269,886,Ranch Burger,480,27,6,0.5,65,740,38,1,5,22,4,0,6,20,0,0,0
11270,886,BBQ Burger,400,14,4.5,0.5,55,910,46,1,13,22,0,4,10,25,0,0,0
11271,886,Chili Burger,460,20,7,0.5,75,880,43,3,6,28,15,10,20,25,0,0,0
11272,886,Double Chili Burger,630,31,12,1.5,135,940,43,3,6,45,15,10,20,35,0,0,0
11273,886,Single Mushroom Swiss Burger,440,21,8,1,70,970,39,2,5,26,0,2,15,20,0,0,0
11274,886,Double Mushroom Swiss Burger,610,33,12,2,125,"1,030",39,2,5,42,0,2,20,30,0,0,0
11275,886,Big Daddy Bacon Cheeseburger,960,62,22,1.5,170,"2,550",40,1,8,60,0,8,25,30,0,0,0
11276,887,BLT Sandwich,430,22,6,0,25,"1,680",37,1,6,22,6,4,4,15,0,0,0
11277,887,Oven Roasted Chicken Sandwich,420,20,3,0,60,"1,100",40,2,7,21,8,4,4,10,0,0,0
11278,887,Crispy Chicken Sandwich,490,23,3.5,2.5,50,"1,160",46,2,5,25,8,6,6,15,0,0,0
11279,887,Teriyaki Chicken Sandwich,440,11,4,0,65,"1,550",64,3,28,24,20,2,15,15,0,0,0
11280,887,Ranch Peppercorn Chicken Sandwich,720,43,9,2.5,80,"2,250",48,2,5,37,10,8,15,20,0,0,0
11281,887,Buffalo Chicken Sandwich,570,32,4,2.5,55,"1,740",47,2,5,26,20,6,6,20,0,0,0
11282,887,Guacamole Chicken Sandwich,670,33,6,2.5,55,"2,120",61,5,8,33,30,15,6,20,0,0,0
11283,887,Chicken Dunkers,580,35,4.5,5,60,"1,820",42,0,2,27,6,4,10,25,0,0,0
11284,887,"Chicken Dunkers, Kid's",390,23,3,3,40,"1,210",28,0,1,18,4,2,6,15,0,0,0
11285,887,Honey Mustard Sauce,140,12,2,0,10,150,9,0,8,1,0,0,0,0,0,0,0
11286,888,Ranch Sauce,130,14,2,0,10,260,2,0,1,0,0,0,0,0,0,0,0
11287,888,BBQ Sauce,45,0,0,0,0,340,10,0,8,0,0,4,4,6,0,0,0
11288,888,Chili,45,1,0,0,5,210,6,1,1,3,15,6,2,6,0,0,0
11289,888,Bacon,100,7,3,0,10,650,0,0,0,8,0,0,0,2,0,0,0
11290,888,Guacamole,130,7,1,0,0,260,14,2,3,0,25,10,0,0,0,0,0
11291,888,Tomato,5,0,0,0,0,0,1,0,1,0,4,4,0,0,0,0,0
11292,888,Lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11293,888,Jalapenos,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
11294,888,Mushrooms,35,3,0.5,0.5,0,260,3,1,0,1,0,0,0,0,0,0,0
11295,888,American Cheese,50,4.5,2.5,0,15,260,0,0,0,3,0,4,8,0,0,0,0
11296,888,Hamburger Patty,170,12,4.5,0.5,55,140,0,0,0,17,0,0,2,10,0,0,0
11297,889,"Wild Fries, small",450,26,10,11,0,560,48,5,1,5,8,0,0,10,0,0,0
11298,889,"Wild Fries, large",630,37,14,15,0,780,67,7,1,7,10,0,0,15,0,0,0
11299,889,Cheese Fries,600,38,16,11,25,"1,040",53,5,1,10,10,4,15,10,0,0,0
11300,889,Chili Cheese Fries,600,33,13,11,25,"1,080",60,8,4,15,40,15,15,20,0,0,0
11301,889,Deluxe Chili Fries,600,33,13,10,25,"1,190",62,8,5,14,50,20,15,20,0,0,0
11302,889,Wild Things,680,42,11,13,0,740,68,5,6,6,10,0,0,15,0,0,0
11303,889,"Onion Rings, small",340,23,3,4.5,0,300,31,1,6,2,4,0,0,4,0,0,0
11304,889,"Onion Rings, large",510,34,4.5,7,0,450,47,2,9,4,8,0,0,8,0,0,0
