food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
11506,893,Charburger,480,27,8,0,70,930,38,2,6,22,15,10,6,20,0,0,0
11507,893,Double Charburger,700,43,14,0,135,"1,290",38,2,6,38,15,10,6,30,0,0,0
11508,893,Teriyaki Charburger,510,27,8,0,70,"1,390",43,2,11,22,15,10,6,20,0,0,0
11509,893,BBQ Bacon Charburger,640,35,11,0,85,"1,410",53,2,16,27,15,15,6,25,0,0,0
11510,894,Chicken Sandwich,730,37,8,0,105,"1,250",52,3,7,46,25,20,20,25,0,0,0
11511,894,Tri Tip Sandwich with Teriyaki Sauce,570,20,4.5,0,75,"1,650",57,3,12,41,25,15,6,35,0,0,0
11512,894,Tri Tip Sandwich without Teriyaki Sauce,540,20,4.5,0,75,950,50,3,5,41,25,15,6,35,0,0,0
11513,894,Fresh Albacore Sandwich on Seeded Bun,430,16,3,0,40,900,41,2,9,29,15,10,6,20,0,0,0
11514,894,Fresh Albacore Sandwich on Sourdough,480,18,4,0,45,"1,030",46,2,5,32,15,15,0,20,0,0,0
11515,894,Pastrami Sandwich,"1,080",56,15,0,210,"2,840",55,3,6,43,20,10,20,30,0,0,0
11516,894,Pastrami Sandwich,960,52,14,0,175,"2,470",48,2,4,37,20,15,15,25,0,0,0
11517,894,Veggie Burger,370,12,3,0,20,"1,020",57,6,10,13,10,6,6,10,0,0,0
11518,895,Grilled Chicken Salad,220,4.5,1,0,90,420,8,3,6,35,40,110,6,15,0,0,0
11519,895,Ceasar Salad,220,9,4,0,15,560,22,3,3,14,70,90,35,10,0,0,0
11520,895,BBQ Chicken Salad,350,11,3.5,0,100,870,21,3,14,40,30,35,6,20,0,0,0
11521,895,Caesar Chicken Salad,390,13,5,0,105,960,22,3,3,47,70,90,35,20,0,0,0
11522,895,Garden Salad,100,2,0,0,0,115,19,3,6,4,40,110,4,8,0,0,0
11523,895,Side Salad,45,1,0,0,0,60,9,2,2,2,15,50,2,4,0,0,0
11524,896,"French Fries, salt added",380,16,9,0,20,360,53,7,1,4,20,0,0,4,0,0,0
11525,896,"Onion Rings, salt added",470,28,2.5,0,0,860,48,1,3,5,4,0,4,0,0,0,0
11526,897,Hamburger,580,26,11,0,75,"1,210",62,4,9,23,10,2,6,20,0,0,0
11527,897,Chicken Tenders,410,23,7,0,45,730,34,4,1,15,10,0,0,4,0,0,0
11528,897,Grilled Cheese,540,24,13,0,45,"1,300",64,4,1,18,10,15,20,15,0,0,0
11529,898,Vanilla,660,22,14,0,65,240,109,0,102,13,8,10,45,0,0,0,0
11530,898,Chocolate,830,20,13,0,55,260,156,0,139,11,6,10,35,6,0,0,0
11531,899,Root Beer,460,8,5,0,30,160,96,0,91,6,4,6,20,0,0,0,0
11532,900,Sundae,640,20,11,0,40,180,113,1,101,9,4,8,25,4,0,0,0
11533,901,Vanilla,780,24,15,0,70,380,130,0,102,16,10,15,50,2,0,0,0
11534,901,Chocolate,940,22,14,0,60,400,177,0,139,14,8,10,45,6,0,0,0
11535,902,Teriyaki Sauce,34,0,0,0,0,698,8,0,7,0,0,0,0,0,0,0,0
11536,902,BBQ Sauce,60,0,0,0,0,230,15,0,10,1,0,4,0,4,0,0,0
11537,902,Tartar Sauce,160,17,2.5,0,15,190,1,0,0,0,2,4,0,0,0,0,0
11538,902,House Dressing,160,17,2.5,0,0,10,2,0,2,0,0,0,0,0,0,0,0
11539,902,Caesar Salad Dressing,150,15,2.5,0,15,320,1,0,2,0,0,0,4,0,0,0,0
11540,902,Mayonnaise,200,21,3,0,20,180,2,0,1,1,0,0,0,0,0,0,0
11541,902,Swiss Cheese,70,5,3,0,15,300,0,0,0,4,0,4,15,0,0,0,0
11542,902,American Cheese,70,6,4,0,15,340,1,0,0,4,0,6,10,0,0,0,0
