food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
13704,1042,Spaghetti,654,10.1,2.5,0,12.1,899.4,118.7,9.6,16.8,25.4,0,9,14,38,0,0,0
13705,1042,Spaghetti,"1,020",39.3,12.8,0,100.5,"1,944.9",120.4,9.6,17.9,48.1,4,9,17,47,0,0,0
13706,1042,Spaghetti,984,30.4,9.7,0,125.3,"1,365.7",132,11.3,22,48,1,13,21,55,0,0,0
13707,1042,Spaghetti,938,28.4,9.2,0,123,"1,086.8",126.5,9.9,17.9,46.2,1,10,19,52,0,0,0
13708,1042,Lasagna Dinner,830,31,14.9,0,98,"1,988.6",91.5,9,22.1,39.2,0,31,57,33,0,0,0
13709,1042,Ravioli Pasta Sauce Dinner,473,17,6.8,0,84.9,"1,472.8",60.9,6.5,14.7,22.3,0,11,15,20,0,0,0
13710,1042,Baked Ziti Dinner,962,28,14.7,0,72.8,"1,477.2",114.5,9.2,12.3,44.3,0,27,74,35,0,0,0
13711,1042,Chicken Parmigiana Dinner,"1,194",37.5,14.8,0,210.4,"2,364.4",106.1,8.4,12.3,93,0,22,60,42,0,0,0
13712,1042,Eggplant Parmigiana Dinner,955,34.5,16.1,0,426.3,"2,070.2",99,10.3,16,50.2,6,36,76,39,0,0,0
13713,1043,Pasta Bucket,573,7.3,2,0,9.3,565.4,104.9,7.5,7.4,20.9,0,6,11,31,0,0,0
13714,1043,Pasta Bucket,654,12.3,3.8,0,37.5,668,108,7.9,8.5,26.4,0,6,13,35,0,0,0
13715,1043,Ravioli,382,14.1,6.2,0,74.3,"1,092.1",47.1,4.5,9.4,18.9,0,8,17,15,0,0,0
13716,1043,Ravioli,462,19,8,0,102.5,"1,194.7",50.1,4.8,10.5,24.5,0,8,18,19,0,0,0
13717,1044,Grilled Chicken Marinara,896,42.3,6.4,0,64.6,"1,360.2",90.9,8.6,12.8,40.2,88,58,13,34,0,0,0
13718,1044,Grilled Veggie Marinara,556,12.6,2.2,0,9.8,"1,085.2",93.9,11,14.5,20.8,216,83,15,32,0,0,0
13719,1044,Grilled Eggplant Marinara,539,12.3,2.2,0,9.8,"1,063.6",91,9.6,14.2,18.7,2,51,11,28,0,0,0
13720,1044,Gr Chicken,"1,163",79.1,14.1,0,65.2,"1,425.2",77.2,6.2,2.7,38.9,138,84,20,29,0,0,0
13721,1045,Baked Ziti Luncheon,569,18.7,10,0,50.3,"1,004.3",60.6,5.3,8.2,27.4,0,18,51,19,0,0,0
13722,1045,Baked Ziti Luncheon,753,29.4,13.9,0,105.9,"1,012.6",73.4,5.5,12.8,37,19,37,53,30,0,0,0
13723,1045,Baked Ziti Luncheon,819,38,16.7,0,97.5,"1,652.6",70.1,5.4,12.3,37.7,21,36,53,27,0,0,0
13724,1045,Baked Ziti Luncheon,739,24.7,11.6,0,94.8,"1,219",74.1,5.5,12.3,43.4,19,37,52,27,0,0,0
13725,1045,Baked Ziti Luncheon,671,23.9,12,0,156.5,"1,135",72.1,6,13.3,31.2,20,41,57,26,0,0,0
13726,1045,Eggplant Parmigiana Luncheon,737,27.9,13.4,0,264.6,"1,715.3",71.3,8,14.4,38.5,3,29,64,27,0,0,0
13727,1046,"Pepperoni, Mushroom, Sausage","2,163",131.2,49.2,0,218.6,"5,026.3",123.8,5.1,8.9,83.8,18,69,134,50,0,0,0
13728,1046,All Meat Zone,"2,108",123.7,46.9,0,234.6,"4,133.5",122,4.9,7.6,87.7,17,69,134,52,0,0,0
13729,1046,All Veggie Zone,"1,734",91.8,34.4,0,126.7,"3,547.3",130,7.6,9.3,62,77,77,137,51,0,0,0
13730,1046,Grilled Chicken & Spinach,"2,011",116.5,37.6,0,170.5,"3,598.7",125.5,7.1,7.6,79.6,56,161,139,56,0,0,0
13731,1047,Cheese,171,5,2.8,0,13.5,316,19.6,0.8,1.2,7.3,1,5,14,7,0,0,0
13732,1047,All Meat,298,15.2,6.5,0,47.1,546.3,19.8,0.8,1.3,15.8,2,4,13,11,0,0,0
13733,1047,White,217,9.6,3.3,0,28.7,465.5,22.4,1.8,2.1,7.7,49,15,14,10,0,0,0
13734,1047,Veggie,173,5.1,2.6,0,11.8,368.7,21,1.3,1.6,7,11,6,13,9,0,0,0
13735,1047,Grilled Chicken & Spinach,247,12.6,3.8,0,19.1,406.8,19.9,1,1.1,9.8,7,15,13,8,0,0,0
13736,1047,Greek,153,5.4,2.4,0,12.5,475.6,21,1.5,1.5,5.1,10,20,10,11,0,0,0
13737,1047,House Specialty,226,9.5,4.2,0,24.1,511.9,21,1.2,1.6,10.1,10,6,13,9,0,0,0
13738,1047,Cheese,291,7.8,4.3,0,20.2,534.5,36.3,1.5,2,11.8,2,7,21,12,0,0,0
13739,1047,All Meat,500,24.4,10.2,0,76.2,884.9,36.5,1.5,2.3,26.1,2,7,20,19,0,0,0
13740,1047,White,339,13.9,4.4,0,33.5,720.1,38.7,2.5,2.9,11.2,29,23,18,16,0,0,0
