food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
14238,1072,Calamari Fritti,"1,000",77,13,0,0,"1,750",25,2,0,55,0,0,0,0,0,0,0
14239,1072,Mozzarella Fritti,880,63,18,0,0,"1,810",55,3,0,24,0,0,0,0,0,0,0
14240,1072,Mushroom Ravioli,820,60,24,0,0,"1,130",41,3,0,18,0,0,0,0,0,0,0
14241,1072,Mussels Tarantina,980,68,11,0,0,"1,280",56,2,0,27,0,0,0,0,0,0,0
14242,1072,Peasant Bread,500,12,1,0,0,"2,020",85,4,0,14,0,0,0,0,0,0,0
14243,1072,Romano's Sampler (All 3),"1,400",97,21,0,0,"2,650",78,5,0,55,0,0,0,0,0,0,0
14244,1072,Romano's Sampler - Fried Calamari only,350,23,4,0,0,600,9,1,0,25,0,0,0,0,0,0,0
14245,1072,Romano's Sampler - Fried Mozzarella only,480,32,10,0,0,770,32,1,0,15,0,0,0,0,0,0,0
14246,1072,Romano's Sampler - Tomato Bruschetta only,450,33,5,0,0,780,30,2,0,8,0,0,0,0,0,0,0
14247,1072,Romano's Sampler - Garnish only,60,4,1,0,0,400,5,1,0,1,0,0,0,0,0,0,0
14248,1072,Shrimp & Artichoke Dip,"1,060",52,24,0,0,"3,600",106,9,0,45,0,0,0,0,0,0,0
14249,1072,Tomato Bruschetta,830,54,6,0,0,"1,820",67,7,0,17,0,0,0,0,0,0,0
14250,1073,BBQ Chicken Pizza,970,24,14,0,0,"2,700",48,6,0,136,0,0,0,0,0,0,0
14251,1073,Pizza Margherita,"1,010",34,18,0,0,"2,070",49,7,0,123,0,0,0,0,0,0,0
14252,1073,Chicken Pesto Pizza,"1,780",94,32,0,0,"2,540",91,12,0,142,0,0,0,0,0,0,0
14253,1073,Sicilian Pizza,"1,440",69,35,0,0,"3,490",75,7,0,123,0,0,0,0,0,0,0
14254,1073,Grilled Chicken Caesar Calzonetto,"1,540",88,23,0,0,"3,740",65,8,0,125,0,0,0,0,0,0,0
14255,1073,Grilled Chicken Caesar Calzonetto,770,44,11,0,0,"1,870",32,4,0,62,0,0,0,0,0,0,0
14256,1074,Caesar della Casa (House),260,21,4,0,0,650,13,2,0,6,0,0,0,0,0,0,0
14257,1074,Caesar della Casa (House),110,5,2,0,0,380,12,2,0,5,0,0,0,0,0,0,0
14258,1074,Garden della Casa (House),240,15,3,0,0,900,20,3,0,6,0,0,0,0,0,0,0
14259,1074,Garden della Casa (House),130,5,2,0,0,460,15,3,0,6,0,0,0,0,0,0,0
14260,1074,Chicken Caesar,840,64,15,0,0,"1,660",26,6,0,43,0,0,0,0,0,0,0
14261,1074,Chicken Caesar,380,15,7,0,0,890,22,6,0,40,0,0,0,0,0,0,0
14262,1074,Chicken Florentine,840,53,9,0,0,"5,450",62,7,0,33,0,0,0,0,0,0,0
14263,1074,Chicken Florentine,490,19,4,0,0,"4,930",50,7,0,33,0,0,0,0,0,0,0
14264,1074,Insalata Blu,650,55,14,0,0,"1,460",13,5,0,18,0,0,0,0,0,0,0
14265,1074,Insalata Blu,440,36,12,0,0,970,9,5,0,18,0,0,0,0,0,0,0
14266,1074,Insalata Blu,770,57,15,0,0,"1,520",13,5,0,41,0,0,0,0,0,0,0
14267,1074,Insalata Blu,570,38,12,0,0,"1,020",9,5,0,41,0,0,0,0,0,0,0
14268,1074,Insalata Blu,380,32,8,0,0,860,8,3,0,9,0,0,0,0,0,0,0
14269,1074,"Mozzarella Alla Caprese, half order",260,21,7,0,0,360,5,1,0,11,0,0,0,0,0,0,0
14270,1074,"Mozzarella Alla Caprese, full order",460,38,12,0,0,660,9,2,0,19,0,0,0,0,0,0,0
14271,1074,Steak & Arugula Salad,990,80,23,0,0,"2,010",9,4,0,53,0,0,0,0,0,0,0
14272,1074,Steak & Arugula Salad,670,46,17,0,0,"1,260",8,3,0,53,0,0,0,0,0,0,0
14273,1075,Lentil Bean Soup,360,9,2,0,0,"1,580",48,14,0,22,0,0,0,0,0,0,0
14274,1075,Lentil Bean Soup,180,5,1,0,0,800,24,7,0,11,0,0,0,0,0,0,0
14275,1075,Minestrone Soup,510,23,4,0,0,"2,130",59,11,0,19,0,0,0,0,0,0,0
14276,1075,Minestrone Soup,380,20,4,0,0,"1,130",39,6,0,12,0,0,0,0,0,0,0
14277,1075,Pasta Fagioli Soup,760,31,5,0,0,"1,980",88,21,0,28,0,0,0,0,0,0,0
14278,1075,Pasta Fagioli Soup,450,23,4,0,0,"1,010",44,10,0,7,0,0,0,0,0,0,0
14279,1075,Pasta Salad,310,16,3,0,0,520,35,3,0,2,0,0,0,0,0,0,0
14280,1075,Grilled Asparagus,30,1,0,0,0,590,4,2,0,12,0,0,0,0,0,0,0
14281,1075,Sautéed Broccoli,260,22,4,0,0,350,12,5,0,3,0,0,0,0,0,0,0
14282,1076,Honey Mustard Dressing,130,12,2,0,0,170,0,0,0,6,0,0,0,0,0,0,0
14283,1076,Caesar Dressing Dressing,160,16,3,0,0,260,2,0,0,1,0,0,0,0,0,0,0
14284,1076,Creamy Italian Dressing,110,10,2,0,0,450,0,0,0,5,0,0,0,0,0,0,0
14285,1076,Wishbone Italian Dressing,90,8,1,0,0,470,0,0,0,2,0,0,0,0,0,0,0
14286,1076,Fat-Free Creamy Italian Dressing,30,0,0,0,0,440,0,1,0,5,0,0,0,0,0,0,0
14287,1076,Low-Fat Caesar Dressing,30,2,0,0,0,340,1,0,0,4,0,0,0,0,0,0,0
14288,1076,Roasted Garlic Lemon Vinaigrette Dressing,170,17,3,0,0,120,0,0,0,4,0,0,0,0,0,0,0
14289,1076,Balsamic Vinaigrette Dressing,100,9,1,0,0,320,0,0,0,2,0,0,0,0,0,0,0
14290,1076,Toscana Dressing,160,17,3,0,0,380,0,0,0,1,0,0,0,0,0,0,0
14291,1076,Basil Aioli Sauce,130,14,2,0,0,200,2,0,0,1,0,0,0,0,0,0,0
14292,1076,Pizzaiola Sauce,30,2,0,0,0,200,0,0,0,2,0,0,0,0,0,0,0
14293,1077,Boursin Filet,"1,120",83,37,0,0,"2,440",39,5,0,58,0,0,0,0,0,0,0
14294,1077,Honey Balsamic Chicken,"1,220",67,12,0,0,"2,750",94,10,0,57,0,0,0,0,0,0,0
14295,1077,Grilled Pork Chops,"1,800",107,43,0,0,"4,950",92,8,0,115,0,0,0,0,0,0,0
14296,1077,Tuscan Ribeye,"1,070",76,31,0,0,"4,720",36,5,0,60,0,0,0,0,0,0,0
14297,1077,Chicken Portobello,"1,030",66,11,0,0,"7,030",61,5,0,46,0,0,0,0,0,0,0
14298,1077,Grilled Salmon (Teriyaki),"1,290",81,10,0,0,"6,600",79,5,0,57,0,0,0,0,0,0,0
14299,1077,"Simple Salmon, Lunch & Dinner",580,38,6,0,0,860,5,2,0,47,0,0,0,0,0,0,0
14300,1077,Pollo Magra Skinny Chicken,310,5,1,0,0,770,23,5,0,42,0,0,0,0,0,0,0
14301,1077,Grilled Halibut,840,44,12,0,0,"1,430",56,2,0,52,0,0,0,0,0,0,0
14302,1078,"Chicken Marsala, Lunch",980,59,22,0,0,"1,820",73,4,0,26,0,0,0,0,0,0,0
14303,1078,"Chicken Marsala, Dinner","1,090",66,23,0,0,"2,060",76,4,0,33,0,0,0,0,0,0,0
14304,1078,"Chicken Parmesan, Lunch",910,37,19,0,0,"2,030",91,4,0,53,0,0,0,0,0,0,0
14305,1078,"Chicken Parmesan, Dinner","1,490",68,35,0,0,"3,510",129,5,0,91,0,0,0,0,0,0,0
14306,1078,"Chicken Scaloppine, Lunch ","1,010",64,28,0,0,"2,650",65,6,0,35,0,0,0,0,0,0,0
14307,1078,"Chicken Scaloppine, Dinner ","1,110",71,30,0,0,"2,870",68,6,0,42,0,0,0,0,0,0,0
14308,1078,"Eggplant Parmesan, Lunch","1,070",56,32,0,0,"2,150",102,17,0,39,0,0,0,0,0,0,0
14309,1078,"Eggplant Parmesan, Dinner","1,230",64,35,0,0,"2,540",118,23,0,44,0,0,0,0,0,0,0
14310,1078,Mama's Trio,"1,490",73,40,0,0,"3,540",110,6,0,95,0,0,0,0,0,0,0
14311,1078,"Shrimp Portofino, Lunch","1,090",79,29,0,0,"1,830",65,5,0,29,0,0,0,0,0,0,0
14312,1078,"Shrimp Portofino, Dinner","1,130",80,29,0,0,"1,880",66,5,0,36,0,0,0,0,0,0,0
14313,1078,Veal Marsala,"1,320",47,20,0,0,"3,160",132,4,0,39,0,0,0,0,0,0,0
14314,1078,Veal Parmesan,"1,260",63,44,0,0,"2,640",116,6,0,55,0,0,0,0,0,0,0
14315,1079,"Carmela's Chicken Rigatoni, Lunch","1,030",65,27,0,0,"1,290",64,5,0,32,0,0,0,0,0,0,0
14316,1079,"Carmela's Chicken Rigatoni, Dinner ","1,320",87,34,0,0,"1,550",84,6,0,36,0,0,0,0,0,0,0
