food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
581,52,Minced Chicken with Cool Lettuce Wraps,250,4,0,0,0,0,31,3,15,22,0,0,0,0,0,0,0
582,52,Edamame,156,8,0,0,0,0,12,5,4,14,0,0,0,0,0,0,0
583,52,Crispy Potstickers (4 Pieces),130,7,0,0,0,0,10,0,1,6,0,0,0,0,0,0,0
584,52,Pei Wei Spring Rolls (2 Rolls),90,5,0,0,0,0,11,1,3,2,0,0,0,0,0,0,0
585,52,Crab Wontons (4 Pieces),190,13,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0
586,52,Wonton Soup,110,1.5,0,0,0,0,23,3,4,5,0,0,0,0,0,0,0
587,52,Wonton Soup,260,4.5,0,0,0,0,49,6,8,12,0,0,0,0,0,0,0
588,52,Hot & Sour Soup,150,9,0,0,0,0,11,2,0,7,0,0,0,0,0,0,0
589,52,Hot & Sour Soup,500,28,0,0,0,0,37,6,1,24,0,0,0,0,0,0,0
590,53,Asian Chopped Chicken Salad,280,15,0,0,0,0,13,2,4,24,0,0,0,0,0,0,0
591,53,Asian Chopped Chicken Salad,200,8,0,0,0,0,10,2,2,23,0,0,0,0,0,0,0
592,53,Pei Wei Spicy Chicken Salad,350,16,0,0,0,0,28,2,8,22,0,0,0,0,0,0,0
593,53,Pei Wei Spicy Chicken Salad,210,2.5,0,0,0,0,23,2,3,22,0,0,0,0,0,0,0
594,53,Vietnamese Chicken Salad Rolls,80,4,0,0,0,0,9,1,3,3,0,0,0,0,0,0,0
595,54,Sweet Chile Sauce,140,0,0,0,0,0,34,2,28,0,0,0,0,0,0,0,0
596,54,Thai Peanut Sauce,168,11,0,0,0,0,15,1,11,5,0,0,0,0,0,0,0
597,54,Lettuce Wrap Sauce,70,4.5,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0
598,54,Lime Vinaigrette,230,20,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0
599,54,Sesame Ginger Dressing,170,16,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0
600,54,Rice Sticks,130,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
601,54,Fortune Cookie,30,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0
602,55,Soba Miso Bowl - Chicken,420,8,0,0,0,0,53,5,5,34,0,0,0,0,0,0,0
603,55,Soba Miso Bowl - Pork,450,13,0,0,0,0,53,5,5,31,0,0,0,0,0,0,0
604,55,Soba Miso Bowl - Beef,530,18,0,0,0,0,53,5,5,38,0,0,0,0,0,0,0
605,55,Soba Miso Bowl - Vegetables & Tofu,360,7,0,0,0,0,57,7,7,19,0,0,0,0,0,0,0
606,55,Soba Miso Bowl - Shrimp,360,6,0,0,0,0,51,5,5,26,0,0,0,0,0,0,0
607,55,Soba Miso Bowl - Scallops,350,5,0,0,0,0,52,5,5,24,0,0,0,0,0,0,0
608,55,Dan Dan Noodles - Chicken,390,7,0,0,0,0,54,3,9,26,0,0,0,0,0,0,0
609,55,Pad Thai - Chicken,560,20,0,0,0,0,61,2,19,35,0,0,0,0,0,0,0
610,55,Pad Thai - Pork,590,25,0,0,0,0,62,2,19,32,0,0,0,0,0,0,0
611,55,Pad Thai - Beef,670,30,0,0,0,0,63,2,19,40,0,0,0,0,0,0,0
612,55,Pad Thai - Vegetables & Tofu,470,17,0,0,0,0,66,4,21,18,0,0,0,0,0,0,0
613,55,Pad Thai - Shrimp,490,17,0,0,0,0,60,2,19,27,0,0,0,0,0,0,0
614,55,Pad Thai - Scallops,480,16,0,0,0,0,61,2,19,25,0,0,0,0,0,0,0
615,55,Lo Mein Noodles - Chicken,460,11,0,0,0,0,61,5,9,31,0,0,0,0,0,0,0
616,55,Lo Mein Noodles - Pork,490,16,0,0,0,0,62,5,9,28,0,0,0,0,0,0,0
617,55,Lo Mein Noodles - Beef,570,21,0,0,0,0,61,5,9,36,0,0,0,0,0,0,0
618,55,Lo Mein Noodles - Vegetables & Tofu,400,8,0,0,0,0,66,7,11,16,0,0,0,0,0,0,0
619,55,Lo Mein Noodles - Shrimp,400,8,0,0,0,0,60,5,9,23,0,0,0,0,0,0,0
620,55,Lo Mein Noodles - Scallops,390,8,0,0,0,0,61,5,9,21,0,0,0,0,0,0,0
621,55,Japanese Udon Noodles - Chicken,490,16,0,0,0,0,57,4,10,28,0,0,0,0,0,0,0
622,55,Japanese Udon Noodles - Pork,520,21,0,0,0,0,57,4,10,25,0,0,0,0,0,0,0
623,55,Japanese Udon Noodles - Beef,600,26,0,0,0,0,57,4,10,32,0,0,0,0,0,0,0
624,55,Japanese Udon Noodles - Vegetables & Tofu,440,16,0,0,0,0,63,6,13,11,0,0,0,0,0,0,0
625,55,Japanese Udon Noodles - Shrimp,460,16,0,0,0,0,57,4,10,20,0,0,0,0,0,0,0
626,55,Japanese Udon Noodles - Scallops,450,16,0,0,0,0,58,4,10,18,0,0,0,0,0,0,0
627,55,Teriyaki Bowl - Chicken,460,7,0,0,0,0,64,4,21,28,0,0,0,0,0,0,0
