food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
15562,1194,Mozzarella Sticks,535.3,22.4,12.4,0,82.1,"1,851.9",53.5,4.2,18.8,34.1,0,0,0,0,0,0,0
15563,1194,Mozzarella Sticks,66.9,2.8,1.5,0,10.3,231.5,6.7,0.5,2.3,4.3,0,0,0,0,0,0,0
15564,1194,Pizza Sauce for Mozzarella Sticks,6.9,0.3,0,0,0.3,41.5,0.8,0.5,0.4,0.3,0,0,0,0,0,0,0
15565,1194,Flautas,"1,894.9",127.2,30,0,384.7,"5,600.8",72.8,4.9,10.2,109.8,0,0,0,0,0,0,0
15566,1194,Flautas,473.7,31.8,7.5,0,96.2,"1,400.2",18.2,1.2,2.6,27.5,0,0,0,0,0,0,0
15567,1194,Hacienda Cheese Dip w/ Corn Chips,"1,348.6",97.9,46.6,0,250.4,"4,860.1",56.6,6.3,5.4,63.7,0,0,0,0,0,0,0
15568,1194,Sour Cream and Chives for Hacienda Cheese Dip,111.5,11,6.4,0,37,109.7,4,0,4,1.8,0,0,0,0,0,0,0
15569,1194,Nachos Fiesta,"1,399",139.9,54.4,0,298.8,"8,182",103.5,13.9,8.4,87.9,0,0,0,0,0,0,0
15570,1194,Nachos Fiesta,349.8,35,13.6,0,74.7,"2,045.5",25.9,3.5,2.1,22,0,0,0,0,0,0,0
15571,1194,Jalapeno Poppers,873.2,55.9,18.6,0,86.3,"2,445.3",70.1,5.7,11.5,21.5,0,0,0,0,0,0,0
15572,1194,Jalapeno Poppers,87.3,5.6,1.9,0,8.6,244.5,7,0.6,1.2,2.2,0,0,0,0,0,0,0
15573,1194,Dressing for Jalapeno Poppers,14.4,1.6,0.2,0,1.4,10.8,0,0,0,0,0,0,0,0,0,0,0
15574,1194,Guacamole,318,27.9,4.4,0,0,781.3,21,5,0,4.5,0,0,0,0,0,0,0
15575,1194,Guacamole with lettuce & tortilla,405.3,28.4,4.5,0,0,815.2,38.3,5.7,6.8,8.6,0,0,0,0,0,0,0
15576,1194,Guacamole,79.5,7,1.1,0,0,195.3,5.3,1.3,0,1.1,0,0,0,0,0,0,0
15577,1194,Chili con Queso,233.7,15.7,8.8,0,36.9,"1,469.8",11.1,0.8,6.3,13.2,0,0,0,0,0,0,0
15578,1194,Chili con Queso,571.4,38.7,21.8,0,92.3,"3,535.3",25.8,1.8,15.6,32.8,0,0,0,0,0,0,0
15579,1194,Mexican Potato Skins,"1,277.7",90.6,48.2,0,248.4,"1,952.8",63.8,7,4.5,57.2,0,0,0,0,0,0,0
15580,1194,Each Potato Skin,159.7,11.3,6,0,31.1,244.1,8,0.9,0.1,7.2,0,0,0,0,0,0,0
15581,1194,Sour Cream for Potato Skins,13.7,1.4,0.8,0,4.6,13.7,0.5,0,0.5,0.2,0,0,0,0,0,0,0
15582,1194,Hacienda Pizzas - Carne Asada,537.4,25.8,12.5,0,80.6,"1,389.9",48.6,2.6,6,27.8,0,0,0,0,0,0,0
15583,1194,Hacienda Pizzas - BBQ Chicken,647.6,21.5,10.7,0,85.7,"1,941.1",79.4,2.9,26.1,32.9,0,0,0,0,0,0,0
15584,1194,Hacienda Pizzas - Andouille Sausage,550.4,22.5,8.5,0,74.4,"1,287.4",60.1,3.4,5.8,26.8,0,0,0,0,0,0,0
15585,1194,Hacienda Pizzas - Taco Meat,874.8,54.8,20.6,0,118.1,"1,632.1",53.7,6.9,7.6,41.1,0,0,0,0,0,0,0
15586,1195,BBQ Salmon Salad,603,18.6,2.6,0,77.1,957.8,55.2,9.5,8.2,51.2,0,0,0,0,0,0,0
15587,1195,Dinner Salad,351.1,20.9,10.9,0,57.5,535.9,21.8,3.2,1.3,18,0,0,0,0,0,0,0
15588,1195,Crispy Cantina Chicken Salad,550,28,10.4,0,91.4,906.1,37.7,6.4,3.7,37.2,0,0,0,0,0,0,0
15589,1195,Border Cobb Salad,"1,025.7",59.5,19.5,0,272.5,"3,311.4",53.8,4,22.7,70,0,0,0,0,0,0,0
15590,1195,Sizzling Fajita Chicken Salad,545.8,14.4,3.1,0,118.6,"1,753.7",51.5,8,5.8,53.8,0,0,0,0,0,0,0
15591,1195,Sizzling Fajita Steak Salad,609.8,28.1,9.9,0,99.8,"1,785.6",54.8,12.5,9.9,36.1,0,0,0,0,0,0,0
15592,1195,Taco Salad,"1,226.8",75.6,25,0,218,"2,895.8",49,10,5,82,0,0,0,0,0,0,0
15593,1196,"Salad, veggies & cheese ",274.1,20.5,10.7,0,56,447.7,8,2,2,15.2,0,0,0,0,0,0,0
15594,1196,Baked Shell,280,17,3,0,0,180,25,4,0,4,0,0,0,0,0,0,0
15595,1196,Ground beef topping,363.7,30.4,8.9,0,61,483.5,4,2,2,18.6,0,0,0,0,0,0,0
15596,1196,Shredded chicken topping,142.7,4.4,1.2,0,62,805.3,0,0,0,23.6,0,0,0,0,0,0,0
15597,1196,Shredded seafood topping,80,0,0,0,0,550.3,12,2,3,7,0,0,0,0,0,0,0
15598,1196,Shredded pork topping,86.3,3.3,1.2,0,39,429,0,0,0,13.6,0,0,0,0,0,0,0
15599,1197,Ranch,143.8,15.8,2.2,0,14,108.4,0,0,0,0,0,0,0,0,0,0,0
15600,1197,Fat-Free Ranch,94.8,0.2,0.1,0,1,"1,267.3",22,2,8,0.9,0,0,0,0,0,0,0
15601,1197,Red French,390,33,4.5,0,0,780,27,0,24,0,0,0,0,0,0,0,0
15602,1197,Bleu Cheese,390,39,7.5,0,45,"1,050",9,0,9,3,0,0,0,0,0,0,0
15603,1197,Southwest Ranch,364.2,38.3,9,0,55.1,601.5,3.8,0.2,3.2,2.2,0,0,0,0,0,0,0
15604,1198,Cheese Soup,254.5,15.9,7.4,0,32.7,820.2,19,0.3,7.5,8.5,0,0,0,0,0,0,0
15605,1198,Cheese Soup,426.3,26.9,12,0,51.5,"1,478",33.1,0.3,15,13.5,0,0,0,0,0,0,0
15606,1198,Chicken Fajita Chili,162.2,8.5,4.7,0,40.8,678.8,15.3,4.2,6.2,10.4,0,0,0,0,0,0,0
15607,1198,Chicken Fajita Chili,323.6,16.9,9.4,0,81.6,"1,357.5",30.4,8.3,12.5,20.8,0,0,0,0,0,0,0
15608,1199,Smaller Ground Beef,816.5,55.2,20.8,0,117.1,"1,095.2",51.9,17.5,4.6,43.2,0,0,0,0,0,0,0
15609,1199,Regular Ground Beef,"1,509.8",108.9,41.3,0,234.2,"2,065.9",70.5,20.5,6.6,77.8,0,0,0,0,0,0,0
15610,1199,Smaller Shredded Beef,567.9,31.2,14.1,0,102.6,870,47.8,15.6,3,38.3,0,0,0,0,0,0,0
15611,1199,Regular Shredded Beef,"1,012.6",61.1,27.9,0,205.2,"1,615.5",62.3,16.6,3.5,68,0,0,0,0,0,0,0
15612,1199,Smaller Shredded Chicken,595.5,29.1,13.1,0,118,"1,417",47.6,15.5,3.1,48.2,0,0,0,0,0,0,0
15613,1199,Regular Shredded Chicken,"1,067.7",56.8,25.9,0,236,"2,709.5",61.9,16.5,3.6,87.7,0,0,0,0,0,0,0
15614,1199,Smaller Shredded Pork,538.4,28.1,13.1,0,95.5,"1,041.1",47.9,16.2,3.2,38.2,0,0,0,0,0,0,0
15615,1199,Regular Shredded Pork,954.1,54.8,25.9,0,190.9,"1,957.9",62.5,17.4,4,67.7,0,0,0,0,0,0,0
15616,1199,Smaller Black Bean,642.8,24.8,13.9,0,66.3,661,91.6,23.5,3.3,33.5,0,0,0,0,0,0,0
15617,1199,Regular Black Bean,987.7,45.7,26,0,129,"1,182.3",115.9,29.7,4.7,53,0,0,0,0,0,0,0
15618,1199,Smaller Red Potato,550.6,23.5,10.2,0,43,"1,236.1",64.8,10,8.1,19.8,0,0,0,0,0,0,0
15619,1199,Regular Red Potato,867.7,39.5,17.9,0,78.5,"1,909.6",95.1,14.2,11.4,32.8,0,0,0,0,0,0,0
15620,1200,Taste of Hacienda - Gr. Beef taco salad,917.8,67.9,22.6,0,117,"1,111.1",37,8,3.6,37.8,0,0,0,0,0,0,0
15621,1200,Taste of Hacienda - Gr. Beef wet burrito,816.5,55.2,20.8,0,117.1,"1,095.2",51.9,17.5,4.6,43.2,0,0,0,0,0,0,0
15622,1200,Taste of Hacienda - Gr. Beef chimichanga,"1,002",56.2,22.8,0,125.2,"1,252.9",90.5,18.7,3.9,48,0,0,0,0,0,0,0
15623,1200,Taste of Hacienda - Chix taco salad,696.8,41.9,14.9,0,118,"1,433",33,6,3.6,42.8,0,0,0,0,0,0,0
15624,1200,Taste of Hacienda - Chix wet burrito,595.5,29.1,13.1,0,118,"1,417",47.6,15.5,3.1,48.2,0,0,0,0,0,0,0
15625,1200,Taste of Hacienda - Chix chimichanga,781,30.1,15.1,0,126.1,"1,574.7",86.2,16.7,2.4,52.9,0,0,0,0,0,0,0
15626,1200,Taste of Hacienda - Shredded Pork taco salad,360.6,24.4,11.8,0,90.4,825,8.3,1.7,2.3,26.8,0,0,0,0,0,0,0
15627,1200,Taste of Hacienda - Shredded Pork chimi,517.4,25.4,12.7,0,89.4,"1,095",45.3,9.7,0.3,33.8,0,0,0,0,0,0,0
15628,1200,Taste of Hacienda - Shredded Pork wet burrito,442.1,27.5,12.8,0,89.4,919,20.3,2.7,2.3,28.6,0,0,0,0,0,0,0
15629,1200,Taste of Hacienda - Shredded Beef taco salad,385.9,27,12.7,0,96.7,648,9.3,2,2,27,0,0,0,0,0,0,0
15630,1200,Taste of Hacienda - Shredded Beef chimi,542.6,28,13.6,0,95.7,945,45.3,9,0,34.1,0,0,0,0,0,0,0
15631,1200,Taste of Hacienda - Shredded Beef wet burrito,467.4,30.1,13.7,0,95.7,768,21.3,2,2,28.8,0,0,0,0,0,0,0
15632,1200,Grilled Burrito - Steak,"1,181.6",47.6,20,0,239.2,"1,921.4",141.6,20.4,7,62.5,0,0,0,0,0,0,0
15633,1200,Grilled Burrito - Chicken,"1,194.9",41,16.7,0,291.8,"1,956.9",143.8,20.4,8.2,78.1,0,0,0,0,0,0,0
15634,1201,Steak (4 fajitas),275,15.9,12.3,0,47.8,583.5,21,2.5,3.8,13,0,0,0,0,0,0,0
15635,1201,Chicken (4 fajitas),266.8,12.4,5.5,0,52.3,580.2,22,2.5,4.3,17.9,0,0,0,0,0,0,0
15636,1201,Combo; Chicken & Steak (4 fajitas),308.6,16.9,7.4,0,62.3,674.8,21.8,2.5,4,18.5,0,0,0,0,0,0,0
15637,1201,Shrimp (4 fajitas),238.4,11.7,5.1,0,62.3,597.9,21.5,2.8,4.8,11.5,0,0,0,0,0,0,0
15638,1202,Each Tortilla,87.4,2.2,0.5,0,0,168.5,14.8,0.8,0.5,2.3,0,0,0,0,0,0,0
15639,1202,Vegetables,25.8,0.9,0.1,0,0,109.5,3.8,1.8,1.8,0.6,0,0,0,0,0,0,0
15640,1202,Sour Cream,27.4,2.8,1.6,0,9.3,27.4,1,0,1,0.5,0,0,0,0,0,0,0
15641,1202,Cheese,54.8,4.5,2.7,0,14,87.1,0.3,0,0,3.4,0,0,0,0,0,0,0
15642,1202,Lettuce,2.5,0,0,0,0,1.7,0.5,0,0.3,0.2,0,0,0,0,0,0,0
15643,1202,Pico de Gallo,2.1,0.2,0,0,0,3.3,0.3,0,0,0,0,0,0,0,0,0,0
