food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
16028,1238,Carnitas Guadalajara Taco,322,17,5,0,119,617,30,4,3,20,0,0,0,0,0,0,0
16029,1238,Carnitas Guadalajara Taco w/ Chips and salsa,522,27,7,0,119,797,55,5,3,23,0,0,0,0,0,0,0
16030,1238,Baja Fish Taco,451,26,6,0,52,447,42,5,4,26,0,0,0,0,0,0,0
16031,1238,Baja Fish Taco w/ Chips and salsa,651,36,8,0,52,627,67,6,4,29,0,0,0,0,0,0,0
16032,1238,Sonora Fish Taco,236,11,7,0,105,549,19,3,2,21,0,0,0,0,0,0,0
16033,1238,Sonora Fish Taco w/ Chips and salsa,436,21,9,0,105,729,44,4,2,24,0,0,0,0,0,0,0
16034,1238,Baja Style Shrimp,370,26,7,0,89,473,29,7,4,18,0,0,0,0,0,0,0
16035,1238,Baja Style Shrimp w/ Chips and salsa,570,36,9,0,89,653,54,8,4,21,0,0,0,0,0,0,0
16036,1238,Taco La Salsa No Meat,179,7,3,0,79,33,27,3,1,8,0,0,0,0,0,0,0
16037,1238,Taco La Salsa No Meat w/ Chips and salsa,379,17,5,0,79,213,52,4,1,11,0,0,0,0,0,0,0
16038,1238,Taco La Salsa With Chicken,267,10,4,0,126,416,29,3,2,24,0,0,0,0,0,0,0
16039,1238,Taco La Salsa With Chicken w/ Chips and salsa,467,20,6,0,126,596,54,4,2,27,0,0,0,0,0,0,0
16040,1238,Taco La Salsa With Steak,277,12,5,0,125,460,28,4,2,21,0,0,0,0,0,0,0
16041,1238,Taco La Salsa With Steak w/ Chips and salsa,477,22,7,0,125,640,53,5,2,24,0,0,0,0,0,0,0
16042,1238,Taco La Salsa With Carnitas,246,9,4,0,110,385,28,3,2,19,0,0,0,0,0,0,0
16043,1238,Taco La Salsa With Carnitas w/ Chips and salsa,446,19,6,0,110,565,53,4,2,22,0,0,0,0,0,0,0
16044,1238,Taquitos,"1,909",109,22,0,167,"3,084",162,35,6,89,0,0,0,0,0,0,0
16045,1238,Taquitos w/ Chips and salsa,"2,109",119,24,0,167,"3,264",187,36,6,92,0,0,0,0,0,0,0
16046,1239,The NO Rice NO Beans™ Burrito No Meat,678,36,16,0,59,"1,694",68,7,8,26,0,0,0,0,0,0,0
16047,1239,The NO Rice NO Beans™ Burrito No Meat w/ Chips and salsa,878,46,18,0,59,"1,874",93,8,8,29,0,0,0,0,0,0,0
16048,1239,The NO Rice NO Beans™ Burrito With Chicken,810,40,17,0,129,"2,269",70,7,9,49,0,0,0,0,0,0,0
16049,1239,The NO Rice NO Beans™ Burrito With Chicken w/ Chips and salsa,"1,010",50,19,0,129,"2,449",95,8,9,52,0,0,0,0,0,0,0
16050,1239,The NO Rice NO Beans™ Burrito With Steak,824,44,19,0,128,"2,334",69,8,9,46,0,0,0,0,0,0,0
16051,1239,The NO Rice NO Beans™ Burrito With Steak w/ Chips and salsa,"1,024",54,21,0,128,"2,514",94,9,9,49,0,0,0,0,0,0,0
16052,1239,The NO Rice NO Beans™ Burrito With Carnitas,779,40,18,0,106,"2,223",69,7,9,43,0,0,0,0,0,0,0
16053,1239,The NO Rice NO Beans™ Burrito With Carnitas w/ Chips and salsa,979,50,20,0,106,"2,403",94,8,9,46,0,0,0,0,0,0,0
16054,1239,Fire-Roasted Bowl No Meat Without Beans,518,30,13,0,174,"1,617",64,8,9,19,0,0,0,0,0,0,0
16055,1239,Fire-Roasted Bowl No Meat Without Beans w/ Chips and salsa,718,40,15,0,174,"1,797",89,9,9,22,0,0,0,0,0,0,0
16056,1239,Fire-Roasted Bowl No Meat With Black Beans,606,31,14,0,174,"1,827",81,12,13,25,0,0,0,0,0,0,0
16057,1239,Fire-Roasted Bowl No Meat With Black Beans w/ Chips and salsa,806,41,16,0,174,"2,007",106,13,13,28,0,0,0,0,0,0,0
16058,1239,Fire-Roasted Bowl No Meat With Pinto Beans,595,31,14,0,174,"1,827",78,12,10,24,0,0,0,0,0,0,0
16059,1239,Fire-Roasted Bowl No Meat With Pinto Beans w/ Chips and salsa,795,41,16,0,174,"2,007",103,13,10,27,0,0,0,0,0,0,0
16060,1239,Fire-Roasted Bowl With Chicken Without Beans,650,34,14,0,244,"2,192",66,8,10,42,0,0,0,0,0,0,0
16061,1239,Fire-Roasted Bowl With Chicken Without Beans w/ Chips and salsa,850,44,16,0,244,"2,372",91,9,10,45,0,0,0,0,0,0,0
16062,1239,Fire-Roasted Bowl With Chicken With Black Beans,738,35,15,0,244,"2,402",83,12,14,48,0,0,0,0,0,0,0
16063,1239,Fire-Roasted Bowl With Chicken With Black Beans w/ Chips and salsa,938,45,17,0,244,"2,582",108,13,14,51,0,0,0,0,0,0,0
16064,1239,Fire-Roasted Bowl With Chicken With Pinto Beans,727,35,15,0,244,"2,402",80,12,11,47,0,0,0,0,0,0,0
16065,1239,Fire-Roasted Bowl With Chicken With Pinto Beans w/ Chips and salsa,927,45,17,0,244,"2,582",105,13,11,50,0,0,0,0,0,0,0
16066,1239,Fire-Roasted Bowl With Steak Without Beans,664,38,16,0,243,"2,257",65,9,10,39,0,0,0,0,0,0,0
16067,1239,Fire-Roasted Bowl With Steak Without Beans w/ Chips and salsa,864,48,18,0,243,"2,437",90,10,10,42,0,0,0,0,0,0,0
