food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
16405,1251,Joey Bag of Donuts,773,26,11,0,67,"2,157",97,8,4,37,10,6,28,49,0,0,0
16406,1251,Joey Bag of Donuts,773,25,10,0,67,"2,277",96,8,4,37,0,6,28,16,0,0,0
16407,1251,Joey Bag of Donuts,713,25,8.5,0,28,"2,247",96,8,5,28,0,6,28,16,0,0,0
16408,1251,Joey Bag of Donuts,633,18,8,0,28,"1,767",94,8,4,23,0,6,28,16,0,0,0
16409,1251,Joey Bag of Donuts,783,27,11.8,0,73,"2,217",99,8,4,37,0,6,328,83,0,0,0
16410,1251,Joey Bag of Donuts,709,21,8.8,0,57,"1,894",94,8,4,36,0,6,28,16,0,0,0
16411,1251,Joey Bag of Donuts,819,26,11,0,67,"2,047",106,7,4,40,10,6,20,33,0,0,0
16412,1251,Joey Bag of Donuts,819,25,10,0,67,"2,167",105,7,4,40,0,6,20,0,0,0,0
16413,1251,Joey Bag of Donuts,759,25,8.5,0,28,"2,137",105,7,5,31,0,6,20,0,0,0,0
16414,1251,Joey Bag of Donuts,679,18,8,0,28,"1,657",103,7,4,26,0,6,20,0,0,0,0
16415,1251,Joey Bag of Donuts,829,27,11.8,0,73,"2,107",107,7,4,39,0,6,320,67,0,0,0
16416,1251,Joey Bag of Donuts,755,21,8.8,0,57,"1,785",103,7,4,38,0,6,20,0,0,0,0
16417,1251,Joey Bag of Donuts,463,17,8,0,67,"1,327",48,7,3,29,10,6,28,49,0,0,0
16418,1251,Joey Bag of Donuts,463,16,7,0,67,"1,447",47,7,3,29,0,6,28,16,0,0,0
16419,1251,Joey Bag of Donuts,403,16,5.5,0,28,"1,417",47,7,4,20,0,6,28,16,0,0,0
16420,1251,Joey Bag of Donuts,323,9,5,0,28,937,45,7,3,15,0,6,28,16,0,0,0
16421,1251,Joey Bag of Donuts,473,18,8.8,0,73,"1,387",50,7,3,29,0,6,328,83,0,0,0
16422,1251,Joey Bag of Donuts,399,12,5.8,0,57,"1,064",45,7,3,28,0,6,28,16,0,0,0
16423,1251,Joey Bag of Donuts,509,17,8,0,67,"1,217",57,6,3,32,10,6,20,33,0,0,0
16424,1251,Joey Bag of Donuts,509,16,7,0,67,"1,337",56,6,3,32,0,6,20,0,0,0,0
16425,1251,Joey Bag of Donuts,449,16,5.5,0,28,"1,307",56,6,4,23,0,6,20,0,0,0,0
16426,1251,Joey Bag of Donuts,369,9,5,0,28,827,54,6,3,18,0,6,20,0,0,0,0
16427,1251,Joey Bag of Donuts,519,18,8.8,0,73,"1,277",58,6,3,31,0,6,320,67,0,0,0
16428,1251,Joey Bag of Donuts,445,12,5.8,0,57,955,54,6,3,30,0,6,20,0,0,0,0
16429,1251,Triple Lindy,799,28,11,0,67,"2,464",100,9,5,38,10,6,28,49,0,0,0
16430,1251,Triple Lindy,799,27,10,0,67,"2,584",99,9,5,38,0,6,28,16,0,0,0
16431,1251,Triple Lindy,739,27,8.5,0,28,"2,554",99,9,6,29,0,6,28,16,0,0,0
16432,1251,Triple Lindy,659,20,8,0,28,"2,074",97,9,5,24,0,6,28,16,0,0,0
16433,1251,Triple Lindy,809,29,11.8,0,73,"2,524",102,9,5,38,0,6,328,83,0,0,0
16434,1251,Triple Lindy,736,23,8.8,0,57,"2,202",97,9,5,37,0,6,28,16,0,0,0
16435,1251,Triple Lindy,845,28,11,0,67,"2,355",109,8,5,40,10,6,20,33,0,0,0
16436,1251,Triple Lindy,845,27,10,0,67,"2,475",108,8,5,40,0,6,20,0,0,0,0
16437,1251,Triple Lindy,785,27,8.5,0,28,"2,445",108,8,5,31,0,6,20,0,0,0,0
16438,1251,Triple Lindy,705,20,8,0,28,"1,965",106,8,5,26,0,6,20,0,0,0,0
16439,1251,Triple Lindy,855,29,11.8,0,73,"2,415",110,8,5,40,0,6,320,67,0,0,0
16440,1251,Triple Lindy,782,23,8.8,0,57,"2,092",106,8,5,39,0,6,20,0,0,0,0
16441,1251,Triple Lindy,489,19,8,0,67,"1,634",51,8,4,30,10,6,28,49,0,0,0
16442,1251,Triple Lindy,489,18,7,0,67,"1,754",50,8,4,30,0,6,28,16,0,0,0
16443,1251,Triple Lindy,429,18,5.5,0,28,"1,724",50,8,5,21,0,6,28,16,0,0,0
16444,1251,Triple Lindy,349,11,5,0,28,"1,244",48,8,4,16,0,6,28,16,0,0,0
16445,1251,Triple Lindy,499,20,8.8,0,73,"1,694",53,8,4,30,0,6,328,83,0,0,0
16446,1251,Triple Lindy,426,14,5.8,0,57,"1,372",48,8,4,29,0,6,28,16,0,0,0
16447,1251,Triple Lindy,535,19,8,0,67,"1,525",60,7,4,32,10,6,20,33,0,0,0
16448,1251,Triple Lindy,535,18,7,0,67,"1,645",59,7,4,32,0,6,20,0,0,0,0
16449,1251,Triple Lindy,475,18,5.5,0,28,"1,615",59,7,4,23,0,6,20,0,0,0,0
16450,1251,Triple Lindy,395,11,5,0,28,"1,135",57,7,4,18,0,6,20,0,0,0,0
16451,1251,Triple Lindy,545,20,8.8,0,73,"1,585",61,7,4,32,0,6,320,67,0,0,0
16452,1251,Triple Lindy,472,14,5.8,0,57,"1,262",57,7,4,31,0,6,20,0,0,0,0
16453,1251,Homewrecker,892,35,17,0,97,"2,487",103,10,7,38,10,6,28,49,0,0,0
16454,1251,Homewrecker,892,34,16,0,97,"2,607",102,10,7,38,0,6,28,16,0,0,0
16455,1251,Homewrecker,832,34,14.5,0,58,"2,577",102,10,8,29,0,6,28,16,0,0,0
16456,1251,Homewrecker,752,27,14,0,58,"2,097",100,10,7,24,0,6,28,16,0,0,0
16457,1251,Homewrecker,902,36,17.8,0,103,"2,547",104,10,7,38,0,6,328,83,0,0,0
16458,1251,Homewrecker,829,30,14.8,0,87,"2,224",100,10,7,37,0,6,28,16,0,0,0
16459,1251,Homewrecker,938,35,17,0,97,"2,377",111,9,7,40,10,6,20,33,0,0,0
16460,1251,Homewrecker,938,34,16,0,97,"2,497",110,9,7,40,0,6,20,0,0,0,0
16461,1251,Homewrecker,878,34,14.5,0,58,"2,467",110,9,8,31,0,6,20,0,0,0,0
16462,1251,Homewrecker,798,27,14,0,58,"1,987",108,9,7,26,0,6,20,0,0,0,0
16463,1251,Homewrecker,948,36,17.8,0,103,"2,437",113,9,7,40,0,6,320,67,0,0,0
16464,1251,Homewrecker,875,30,14.8,0,87,"2,115",108,9,7,39,0,6,20,0,0,0,0
16465,1251,Homewrecker,582,26,14,0,97,"1,657",54,9,6,30,10,6,28,49,0,0,0
16466,1251,Homewrecker,582,25,13,0,97,"1,777",53,9,6,30,0,6,28,16,0,0,0
16467,1251,Homewrecker,522,25,11.5,0,58,"1,747",53,9,7,21,0,6,28,16,0,0,0
16468,1251,Homewrecker,442,18,11,0,58,"1,267",51,9,6,16,0,6,28,16,0,0,0
16469,1251,Homewrecker,592,27,14.8,0,103,"1,717",55,9,6,30,0,6,328,83,0,0,0
16470,1251,Homewrecker,519,21,11.8,0,87,"1,394",51,9,6,29,0,6,28,16,0,0,0
16471,1251,Homewrecker,628,26,14,0,97,"1,547",62,8,6,32,10,6,20,33,0,0,0
16472,1251,Homewrecker,628,25,13,0,97,"1,667",61,8,6,32,0,6,20,0,0,0,0
16473,1251,Homewrecker,568,25,11.5,0,58,"1,637",61,8,7,23,0,6,20,0,0,0,0
16474,1251,Homewrecker,488,18,11,0,58,"1,157",59,8,6,18,0,6,20,0,0,0,0
16475,1251,Homewrecker,638,27,14.8,0,103,"1,607",64,8,6,32,0,6,320,67,0,0,0
16476,1251,Homewrecker,565,21,11.8,0,87,"1,285",59,8,6,31,0,6,20,0,0,0,0
16477,1251,Art Vandalay,752,27,14,0,58,"2,097",100,10,7,24,0,6,28,16,0,0,0
16478,1251,Art Vandalay,798,27,14,0,58,"1,987",108,9,7,26,0,6,20,0,0,0,0
16479,1251,Art Vandalay,442,18,11,0,58,"1,267",51,9,6,16,0,6,28,16,0,0,0
16480,1251,Art Vandalay,488,18,11,0,58,"1,157",59,8,6,18,0,6,20,0,0,0,0
16481,1252,The Full Monty,210,8,4,0,34,525,19,5,2,14,5,3,14,24,0,0,0
16482,1252,The Full Monty,210,8,3.5,0,34,585,18,5,2,14,0,3,14,7,0,0,0
16483,1252,The Full Monty,180,8,2.7,0,14,570,18,5,3,9,0,3,14,7,0,0,0
16484,1252,The Full Monty,140,5,2.5,0,14,330,17,5,2,7,0,3,14,7,0,0,0
16485,1252,The Full Monty,215,9,4.4,0,36,555,20,5,2,14,0,3,164,41,0,0,0
16486,1252,The Full Monty,178,6,2.9,0,29,394,17,5,2,13,0,3,14,7,0,0,0
16487,1252,The Full Monty,240,8,4,0,34,495,24,5,2,15,5,3,10,17,0,0,0
16488,1252,The Full Monty,240,8,3.5,0,34,555,24,5,2,15,0,3,10,0,0,0,0
16489,1252,The Full Monty,210,8,2.7,0,14,540,24,5,3,11,0,3,10,0,0,0,0
16490,1252,The Full Monty,170,5,2.5,0,14,300,23,5,2,8,0,3,10,0,0,0,0
16491,1252,The Full Monty,245,9,4.4,0,36,525,25,5,2,15,0,3,160,33,0,0,0
16492,1252,The Full Monty,208,6,2.9,0,29,364,23,5,2,15,0,3,10,0,0,0,0
16493,1252,The Full Monty,240,11,4.5,0,34,525,19,5,2,14,5,3,14,24,0,0,0
16494,1252,The Full Monty,240,11,4,0,34,585,18,5,2,14,0,3,14,7,0,0,0
16495,1252,The Full Monty,210,11,3.2,0,14,570,18,5,3,9,0,3,14,7,0,0,0
16496,1252,The Full Monty,170,8,3,0,14,330,17,5,2,7,0,3,14,7,0,0,0
16497,1252,The Full Monty,245,12,4.9,0,36,555,20,5,2,14,0,3,164,41,0,0,0
16498,1252,The Full Monty,208,9,3.4,0,29,394,17,5,2,13,0,3,14,7,0,0,0
16499,1252,The Full Monty,270,11,4.5,0,34,495,24,5,2,15,5,3,10,17,0,0,0
16500,1252,The Full Monty,270,11,4,0,34,555,24,5,2,15,0,3,10,0,0,0,0
16501,1252,The Full Monty,240,11,3.2,0,14,540,24,5,3,11,0,3,10,0,0,0,0
16502,1252,The Full Monty,200,8,3,0,14,300,23,5,2,8,0,3,10,0,0,0,0
16503,1252,The Full Monty,275,12,4.9,0,36,525,25,5,2,15,0,3,160,33,0,0,0
16504,1252,The Full Monty,238,9,3.4,0,29,364,23,5,2,15,0,3,10,0,0,0,0
16505,1252,The Other Lewinsky,282,15,8,0,54,717,21,5,4,14,5,3,13,23,0,0,0
16506,1252,The Other Lewinsky,282,14,7.5,0,54,777,20,5,4,14,0,3,13,6,0,0,0
16507,1252,The Other Lewinsky,252,14,6.7,0,34,762,20,5,4,10,0,3,13,6,0,0,0
16508,1252,The Other Lewinsky,212,11,6.5,0,34,522,19,5,4,7,0,3,13,6,0,0,0
16509,1252,The Other Lewinsky,287,15,8.4,0,56,747,21,5,4,14,0,3,163,39,0,0,0
16510,1252,The Other Lewinsky,250,12,6.9,0,49,586,19,5,4,14,0,3,13,6,0,0,0
16511,1252,The Other Lewinsky,299,15,8,0,54,676,24,5,4,15,5,3,10,17,0,0,0
16512,1252,The Other Lewinsky,299,14,7.5,0,54,736,23,5,4,15,0,3,10,0,0,0,0
16513,1252,The Other Lewinsky,269,14,6.7,0,34,721,23,5,4,10,0,3,10,0,0,0,0
16514,1252,The Other Lewinsky,229,11,6.5,0,34,481,22,5,4,8,0,3,10,0,0,0,0
16515,1252,The Other Lewinsky,304,15,8.4,0,56,706,25,5,4,15,0,3,160,33,0,0,0
16516,1252,The Other Lewinsky,267,12,6.9,0,49,545,22,5,4,14,0,3,10,0,0,0,0
16517,1252,The Other Lewinsky,312,18,8.5,0,54,717,21,5,4,14,5,3,13,23,0,0,0
16518,1252,The Other Lewinsky,312,17,8,0,54,777,20,5,4,14,0,3,13,6,0,0,0
16519,1252,The Other Lewinsky,282,17,7.2,0,34,762,20,5,4,10,0,3,13,6,0,0,0
16520,1252,The Other Lewinsky,242,14,7,0,34,522,19,5,4,7,0,3,13,6,0,0,0
16521,1252,The Other Lewinsky,317,18,8.9,0,56,747,21,5,4,14,0,3,163,39,0,0,0
16522,1252,The Other Lewinsky,280,15,7.4,0,49,586,19,5,4,14,0,3,13,6,0,0,0
16523,1252,The Other Lewinsky,329,18,8.5,0,54,676,24,5,4,15,5,3,10,17,0,0,0
16524,1252,The Other Lewinsky,329,17,8,0,54,736,23,5,4,15,0,3,10,0,0,0,0
16525,1252,The Other Lewinsky,299,17,7.2,0,34,721,23,5,4,10,0,3,10,0,0,0,0
16526,1252,The Other Lewinsky,259,14,7,0,34,481,22,5,4,8,0,3,10,0,0,0,0
16527,1252,The Other Lewinsky,334,18,8.9,0,56,706,25,5,4,15,0,3,160,33,0,0,0
16528,1252,The Other Lewinsky,297,15,7.4,0,49,545,22,5,4,14,0,3,10,0,0,0,0
16529,1252,The Ugly Naked Guy,212,11,6.5,0,34,522,19,5,4,7,0,3,13,6,0,0,0
16530,1252,The Ugly Naked Guy,229,11,6.5,0,34,481,22,5,4,8,0,3,10,0,0,0,0
16531,1252,The Ugly Naked Guy,242,14,7,0,34,522,19,5,4,7,0,3,13,6,0,0,0
16532,1252,The Ugly Naked Guy,259,14,7,0,34,481,22,5,4,8,0,3,10,0,0,0,0
16533,1253,Sherrnan Klump,545,34,20,0,95,"1,060",38,2,5,20,0,12,40,0,0,0,0
16534,1253,John Coctostan,763,42,23,0,135,"1,817",55,8,6,38,10,12,48,49,0,0,0
16535,1253,John Coctostan,763,41,22,0,135,"1,937",54,8,6,38,0,12,48,16,0,0,0
16536,1253,John Coctostan,703,41,20.5,0,95,"1,907",54,8,7,29,0,12,48,16,0,0,0
16537,1253,John Coctostan,623,34,20,0,95,"1,427",52,8,6,24,0,12,48,16,0,0,0
16538,1253,John Coctostan,773,43,23.8,0,140,"1,877",57,8,6,38,0,12,348,83,0,0,0
16539,1253,John Coctostan,699,37,20.8,0,125,"1,554",52,8,6,37,0,12,48,16,0,0,0
16540,1253,John Coctostan,809,42,23,0,135,"1,707",64,7,6,41,10,12,40,33,0,0,0
16541,1253,John Coctostan,809,41,22,0,135,"1,827",63,7,6,41,0,12,40,0,0,0,0
16542,1253,John Coctostan,749,41,20.5,0,95,"1,797",63,7,7,32,0,12,40,0,0,0,0
16543,1253,John Coctostan,669,34,20,0,95,"1,317",61,7,6,27,0,12,40,0,0,0,0
16544,1253,John Coctostan,819,43,23.8,0,140,"1,767",65,7,6,40,0,12,340,67,0,0,0
16545,1253,John Coctostan,745,37,20.8,0,125,"1,445",61,7,6,39,0,12,40,0,0,0,0
16546,1253,I Said Posse,675,38,20,0,95,"1,477",58,8,9,26,0,12,48,14,0,0,0
16547,1253,I Said Posse,735,38,20,0,95,"1,417",69,8,9,29,0,12,40,0,0,0,0
16548,1254,Ruprict,268,17,9,0,30,"1,577",20,7,4,10,0,0,8,16,0,0,0
16549,1254,Ruprict,314,17,9,0,30,"1,467",29,6,4,13,0,0,0,0,0,0,0
16550,1254,Billy Barou,780,30,12,0,70,"2,152",105,8,6,36,10,0,8,49,0,0,0
16551,1254,Billy Barou,780,29,11,0,70,"2,272",104,8,6,36,0,0,8,16,0,0,0
16552,1254,Billy Barou,720,29,9.5,0,30,"2,242",104,8,7,27,0,0,8,16,0,0,0
16553,1254,Billy Barou,640,22,9,0,30,"1,762",102,8,6,22,0,0,8,16,0,0,0
16554,1254,Billy Barou,790,31,12.8,0,75,"2,212",107,8,6,36,0,0,308,83,0,0,0
16555,1254,Billy Barou,716,25,9.8,0,60,"1,890",102,8,6,35,0,0,8,16,0,0,0
16556,1254,Billy Barou,826,30,12,0,70,"2,043",113,7,6,38,10,0,0,33,0,0,0
16557,1254,Billy Barou,826,29,11,0,70,"2,163",112,7,6,38,0,0,0,0,0,0,0
16558,1254,Billy Barou,766,29,9.5,0,30,"2,133",112,7,7,29,0,0,0,0,0,0,0
16559,1254,Billy Barou,686,22,9,0,30,"1,653",110,7,6,24,0,0,0,0,0,0,0
16560,1254,Billy Barou,836,31,12.8,0,75,"2,103",115,7,6,38,0,0,300,67,0,0,0
16561,1254,Billy Barou,762,25,9.8,0,60,"1,780",110,7,6,37,0,0,0,0,0,0,0
16562,1255,Pinky Tuscadero,373,18,7,0,28,"1,100",43,7,7,13,0,6,20,0,0,0,0
16563,1255,Pinky Tuscadero,183,12,5,0,28,580,12,6,6,8,0,6,20,0,0,0,0
16564,1255,Close Talker,581,26,10,0,67,"1,857",58,13,8,31,10,6,28,49,0,0,0
16565,1255,Close Talker,581,25,9,0,67,"1,977",57,13,8,31,0,6,28,16,0,0,0
16566,1255,Close Talker,521,25,7.5,0,28,"1,947",57,13,9,22,0,6,28,16,0,0,0
16567,1255,Close Talker,441,18,7,0,28,"1,467",55,13,8,17,0,6,28,16,0,0,0
16568,1255,Close Talker,591,27,10.8,0,73,"1,917",60,13,8,31,0,6,328,83,0,0,0
16569,1255,Close Talker,518,21,7.8,0,57,"1,594",55,13,8,30,0,6,28,16,0,0,0
16570,1255,Close Talker,627,26,10,0,67,"1,747",67,12,8,34,10,6,20,33,0,0,0
16571,1255,Close Talker,627,25,9,0,67,"1,867",66,12,8,34,0,6,20,0,0,0,0
16572,1255,Close Talker,567,25,7.5,0,28,"1,837",66,12,9,25,0,6,20,0,0,0,0
16573,1255,Close Talker,487,18,7,0,28,"1,357",64,12,8,20,0,6,20,0,0,0,0
16574,1255,Close Talker,637,27,10.8,0,73,"1,807",68,12,8,33,0,6,320,67,0,0,0
16575,1255,Close Talker,564,21,7.8,0,57,"1,485",64,12,8,32,0,6,20,0,0,0,0
16576,1255,Close Talker,391,20,8,0,67,"1,337",27,12,7,26,10,6,28,49,0,0,0
16577,1255,Close Talker,391,19,7,0,67,"1,457",26,12,7,26,0,6,28,16,0,0,0
16578,1255,Close Talker,331,19,5.5,0,28,"1,427",26,12,8,17,0,6,28,16,0,0,0
16579,1255,Close Talker,251,12,5,0,28,947,24,12,7,12,0,6,28,16,0,0,0
16580,1255,Close Talker,401,21,8.8,0,73,"1,397",29,12,7,26,0,6,328,83,0,0,0
16581,1255,Close Talker,328,15,5.8,0,57,"1,074",24,12,7,25,0,6,28,16,0,0,0
16582,1255,Close Talker,437,20,8,0,67,"1,227",36,11,7,29,10,6,20,33,0,0,0
16583,1255,Close Talker,437,19,7,0,67,"1,347",35,11,7,29,0,6,20,0,0,0,0
16584,1255,Close Talker,377,19,5.5,0,28,"1,317",35,11,8,20,0,6,20,0,0,0,0
16585,1255,Close Talker,297,12,5,0,28,837,33,11,7,15,0,6,20,0,0,0,0
16586,1255,Close Talker,447,21,8.8,0,73,"1,287",37,11,7,28,0,6,320,67,0,0,0
16587,1255,Close Talker,374,15,5.8,0,57,965,33,11,7,27,0,6,20,0,0,0,0
16588,1256,Alfredo Garcia,882,44,19,0,135,"2,280",73,3,4,52,20,12,40,67,0,0,0
16589,1256,Alfredo Garcia,882,42,17,0,135,"2,520",71,3,4,52,0,12,40,0,0,0,0
16590,1256,Alfredo Garcia,762,42,14,0,55,"2,460",71,3,6,34,0,12,40,0,0,0,0
16591,1256,Alfredo Garcia,602,29,13,0,55,"1,500",67,3,4,24,0,12,40,0,0,0,0
16592,1256,Alfredo Garcia,902,47,20.5,0,145,"2,400",76,3,4,51,0,13,640,133,0,0,0
16593,1256,Alfredo Garcia,755,34,14.7,0,115,"1,755",67,3,4,50,0,12,40,0,0,0,0
16594,1256,Alfredo Garcia,522,34,16,0,135,"1,290",13,3,4,43,20,12,40,67,0,0,0
16595,1256,Alfredo Garcia,522,32,14,0,135,"1,530",11,3,4,43,0,12,40,0,0,0,0
16596,1256,Alfredo Garcia,402,32,11,0,55,"1,470",11,3,6,25,0,12,40,0,0,0,0
16597,1256,Alfredo Garcia,242,18,10,0,55,510,7,3,4,15,0,12,40,0,0,0,0
16598,1256,Alfredo Garcia,542,36,17.5,0,145,"1,410",16,3,4,42,0,13,640,133,0,0,0
16599,1256,Alfredo Garcia,395,24,11.7,0,115,765,7,3,4,41,0,12,40,0,0,0,0
16600,1256,Fat Sam,"1,037",57,27,0,175,"2,720",79,5,7,53,20,12,40,67,0,0,0
16601,1256,Fat Sam,"1,037",55,25,0,175,"2,960",77,5,7,53,0,12,40,0,0,0,0
16602,1256,Fat Sam,917,55,22,0,95,"2,900",77,5,9,35,0,12,40,0,0,0,0
16603,1256,Fat Sam,757,41,21,0,95,"1,940",73,5,7,25,0,12,40,0,0,0,0
16604,1256,Fat Sam,"1,057",59,28.5,0,185,"2,840",82,5,7,52,0,13,640,133,0,0,0
16605,1256,Fat Sam,910,47,22.7,0,155,"2,195",73,5,7,51,0,12,40,0,0,0,0
16606,1256,Fat Sam,677,46,24,0,175,"1,730",19,5,7,44,20,12,40,67,0,0,0
16607,1256,Fat Sam,677,44,22,0,175,"1,970",17,5,7,44,0,12,40,0,0,0,0
16608,1256,Fat Sam,557,44,19,0,95,"1,910",17,5,9,26,0,12,40,0,0,0,0
