food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
16689,1260,Beef Empanadas,"1,150",81,30,0,0,"1,930",68,5,0,37,0,0,0,0,0,0,0
16690,1260,Chicken Empanadas,"1,090",74,30,0,0,"2,030",68,3,0,34,0,0,0,0,0,0,0
16691,1260,Border Sampler,"1,940",120,56,0,0,"4,200",110,17,0,103,0,0,0,0,0,0,0
16692,1260,Guacamole Live,570,50,10,0,0,"1,170",33,31,0,10,0,0,0,0,0,0,0
16693,1260,Guacamole Appetizer,130,10,1,0,0,400,9,6,0,2,0,0,0,0,0,0,0
16694,1260,Chile Con Queso,250,18,12,0,0,"1,210",8,1,0,15,0,0,0,0,0,0,0
16695,1260,Chile Con Queso,390,29,19,0,0,"1,930",14,1,0,25,0,0,0,0,0,0,0
16696,1260,Fajita Chicken Con Queso,"1,130",82,53,0,0,"2,420",7,1,0,86,0,0,0,0,0,0,0
16697,1260,Ultimate Loaded Queso,900,59,31,0,0,"2,980",46,16,0,49,0,0,0,0,0,0,0
16698,1260,Chicken Flautas,970,66,17,0,0,"2,020",50,7,0,38,0,0,0,0,0,0,0
16699,1260,Firecracker Stuffed Jalapenos,980,56,26,0,0,"4,730",70,4,0,58,0,0,0,0,0,0,0
16700,1260,Shaken Margarita Shrimp Cocktail,780,48,9,0,0,"2,440",60,8,0,31,0,0,0,0,0,0,0
16701,1260,Shaken Margarita Shrimp Cocktail,280,11,2,0,0,"1,280",24,8,0,25,0,0,0,0,0,0,0
16702,1260,"Grande Fajita Nachos, Chicken","1,890",113,49,0,0,"3,790",109,28,0,110,0,0,0,0,0,0,0
16703,1260,"Grande Fajita Nachos, Beef","1,970",127,54,0,0,"3,780",109,28,0,98,0,0,0,0,0,0,0
16704,1260,"Grande Fajita Nachos, combo","1,940",121,52,0,0,"3,790",109,28,0,104,0,0,0,0,0,0,0
16705,1261,Sizzling Chicken Fajita Salad,760,48,24,0,0,"2,080",23,7,0,58,0,0,0,0,0,0,0
16706,1261,Sizzling Beef Fajita Salad,910,65,31,0,0,"2,330",24,8,0,57,0,0,0,0,0,0,0
16707,1261,"Chicken Fiesta Salad, grilled","1,140",74,23,0,0,"2,640",52,7,0,66,0,0,0,0,0,0,0
16708,1261,"Chicken Fiesta Salad, blackened","1,150",75,24,0,0,"3,310",54,8,0,65,0,0,0,0,0,0,0
16709,1261,"Grande Taco Salad, Spicy Chicken","1,280",89,31,0,0,"2,300",74,10,0,43,0,0,0,0,0,0,0
16710,1261,"Grande Taco Salad, Beef","1,450",102,37,0,0,"2,410",78,13,0,54,0,0,0,0,0,0,0
16711,1261,Chicken Chopped Salad,"1,330",89,34,0,0,"2,770",54,10,0,81,0,0,0,0,0,0,0
16712,1261,House Salad,170,10,4,0,0,110,15,4,0,6,0,0,0,0,0,0,0
16713,1261,Chicken Tortilla Soup,350,22,9,0,0,"1,540",24,5,0,14,0,0,0,0,0,0,0
16714,1262,Ranch,220,23,4,0,0,440,2,0,0,1,0,0,0,0,0,0,0
16715,1262,Chipotle Honey Mustard,310,29,4,0,0,380,11,0,0,0,0,0,0,0,0,0,0
16716,1262,Sweet Pepper Vinaigrette,270,25,3,0,0,380,10,0,0,1,0,0,0,0,0,0,0
16717,1262,Smoked Jalapeno Vinaigrette,230,22,3,0,0,760,8,0,0,0,0,0,0,0,0,0,0
16718,1262,Jalapeno Caesar,300,31,5,0,0,570,3,0,0,1,0,0,0,0,0,0,0
16719,1262,Fat-free Balsamic Vinaigrette,50,0,0,0,0,610,10,0,0,0,0,0,0,0,0,0,0
16720,1262,Low Fat Ranch,110,6,1,0,0,450,11,0,0,1,0,0,0,0,0,0,0
16721,1263,Mesquite-Grilled Steak Fajitas,620,41,12,0,0,"2,120",18,3,0,42,0,0,0,0,0,0,0
16722,1263,Mesquite-Grilled Chicken Fajitas,440,18,3,0,0,"1,870",20,4,0,48,0,0,0,0,0,0,0
16723,1263,Shrimp Fajitas,750,63,18,0,0,"2,500",18,3,0,28,0,0,0,0,0,0,0
16724,1263,Carnitas,830,62,29,0,0,"2,470",19,6,0,50,0,0,0,0,0,0,0
16725,1263,Grilled Vegetable Fajitas,390,28,3,0,0,"2,340",30,7,0,7,0,0,0,0,0,0,0
16726,1263,Monterey Ranch Chicken Fajitas,840,54,21,0,0,"3,130",17,2,0,69,0,0,0,0,0,0,0
16727,1263,7-Pepper Steak Fajitas,910,62,24,0,0,"3,370",30,7,0,56,0,0,0,0,0,0,0
16728,1263,Blackened Chicken Fajitas,640,29,13,0,0,"4,000",27,6,0,70,0,0,0,0,0,0,0
16729,1263,Jalapeno BBQ Chicken Fajitas,760,32,15,0,0,"4,330",53,4,0,62,0,0,0,0,0,0,0
16730,1263,The Ultimate Fajita,"1,230",102,36,0,0,"3,230",20,4,0,58,0,0,0,0,0,0,0
16731,1263,The Ultimate Fajita,"1,410",111,36,0,0,"4,190",33,4,0,68,0,0,0,0,0,0,0
16732,1264,"Quesadilla, Fajita Beef","1,530",107,52,0,0,"3,040",59,6,0,81,0,0,0,0,0,0,0
16733,1264,"Quesadilla, Fajita Chicken","1,430",91,46,0,0,"3,030",59,6,0,93,0,0,0,0,0,0,0
16734,1264,"Quesadilla , combo beef & chicken","1,450",98,49,0,0,"2,890",59,6,0,81,0,0,0,0,0,0,0
16735,1264,"Quesadilla, Spinach & Mushroom","1,420",105,46,0,0,"2,620",66,9,0,55,0,0,0,0,0,0,0
16736,1264,Double-Stacked Club Quesadilla,"1,860",123,52,0,0,"3,440",88,15,0,101,0,0,0,0,0,0,0
16737,1264,Superior Dinner,"1,350",85,33,0,0,"2,810",80,13,0,62,0,0,0,0,0,0,0
16738,1264,Corona Extra Dinner,"2,040",126,44,0,0,"4,280",136,13,0,77,0,0,0,0,0,0,0
16739,1264,"Tres Enchiladas, beef","1,010",52,18,0,0,"2,350",80,17,0,56,0,0,0,0,0,0,0
16740,1264,"Tres Enchiladas, chicken","1,040",68,19,0,0,"2,030",64,10,0,34,0,0,0,0,0,0,0
16741,1264,"Tres Enchiladas, cheese & onion","1,210",73,36,0,0,"2,240",80,14,0,60,0,0,0,0,0,0,0
