food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
16860,1280,#12 Beef Fajita,310,12,0,0,35,410,30,2,0,19,0,0,0,0,0,0,0
16861,1280,#12 Chicken Fajita,280,9,0,0,30,500,30,2,0,18,0,0,0,0,0,0,0
16862,1280,#13 Beef Fajita with Guacamole,340,15,0,0,35,440,32,2,0,20,0,0,0,0,0,0,0
16863,1280,#13 Chicken Fajitawith Guacamole,310,12,0,0,30,540,32,2,0,19,0,0,0,0,0,0,0
16864,1280,#14 Beef Fajita with Queso,350,15,0,0,45,530,33,2,0,21,0,0,0,0,0,0,0
16865,1280,#14 Chicken Fajita with Queso,310,12,0,0,40,620,33,2,0,20,0,0,0,0,0,0,0
16866,1280,#15 Beef Burrito,300,10,0,0,45,680,34,3,0,18,0,0,0,0,0,0,0
16867,1280,#16 Bean and Cheese Burrito,320,11,0,0,35,650,43,6,0,12,0,0,0,0,0,0,0
16868,1280,#17 Combination Burrito,290,9,0,0,35,640,40,5,0,14,0,0,0,0,0,0,0
16869,1280,#18 Crispy Beef Taco,180,10,0,0,40,270,11,2,0,12,0,0,0,0,0,0,0
16870,1280,#18 Crispy Chicken Taco,170,8,0,0,50,190,10,1,0,15,0,0,0,0,0,0,0
16871,1280,#18 Soft Beef Taco,300,12,0,0,40,590,33,3,0,15,0,0,0,0,0,0,0
16872,1280,#18 Soft Chicken Taco,290,10,0,0,50,510,32,2,0,18,0,0,0,0,0,0,0
16873,1280,#19 Guacamole Salad w/ Chips,340,24,0,0,0,230,27,6,0,5,0,0,0,0,0,0,0
16874,1280,#19 Guacamole Salad w/o Chips,200,17,0,0,0,230,8,4,0,3,0,0,0,0,0,0,0
16875,1280,#20 Taco Salad Grande w/ Bowl,770,43,0,0,110,"1,210",63,11,0,35,0,0,0,0,0,0,0
16876,1280,#20 Taco Salad Grande w/o Bowl,390,19,0,0,110,910,27,9,0,29,0,0,0,0,0,0,0
16877,1280,#20 Taco Salad Grande w/o Bowl and Beans,260,15,0,0,75,540,8,3,0,22,0,0,0,0,0,0,0
16878,1280,#23 Beef Tostada,300,15,0,0,70,560,22,5,0,19,0,0,0,0,0,0,0
16879,1280,#23 Chicken Tostada,280,12,0,0,90,450,20,5,0,23,0,0,0,0,0,0,0
16880,1280,#24 Guacamole Tostada,340,22,0,0,40,470,25,7,0,12,0,0,0,0,0,0,0
16881,1280,#25 Bean and Cheese Tostada,220,11,0,0,40,320,20,5,0,10,0,0,0,0,0,0,0
16882,1280,"#27 ""Fajitas by the Pound"" Beef Fajita Meat","1,010",62,0,0,245,780,8,4,0,105,0,0,0,0,0,0,0
16883,1280,"#27 ""Fajitas by the Pound"" Chicken Fajita Meat",780,40,0,0,220,"1,430",8,4,0,98,0,0,0,0,0,0,0
16884,1280,#37 Beef Fajita Meat w/Everything,"1,030",63,0,0,155,"1,090",64,11,0,50,0,0,0,0,0,0,0
16885,1280,#37 Beef Fajita Meat w/o Bowl,650,39,0,0,155,790,28,10,0,44,0,0,0,0,0,0,0
16886,1280,#37 Beef Fajita Meat w/o Bowl & Beans,510,36,0,0,120,420,8,3,0,37,0,0,0,0,0,0,0
16887,1280,#37 Chicken Fajita Meat w/ Everything,970,57,0,0,145,"1,250",64,11,0,48,0,0,0,0,0,0,0
16888,1280,#37 Chicken Fajita Meat w/o Bowl,590,34,0,0,145,950,28,10,0,43,0,0,0,0,0,0,0
16889,1280,#37 Chicken Fajita Meat w/o Bowl and Beans,450,30,0,0,110,580,8,3,0,35,0,0,0,0,0,0,0
16890,1280,#37 Combo Beef & Chicken Fajita Salad w/ Everything,"1,000",60,0,0,150,"1,170",11,11,0,49,0,0,0,0,0,0,0
16891,1280,#37 Shredded Chicken Salad w/ Everything,900,51,0,0,165,"1,140",65,11,0,44,0,0,0,0,0,0,0
16892,1280,#37 Shredded Chicken Salad w/o Bowl,520,27,0,0,165,840,29,10,0,38,0,0,0,0,0,0,0
16893,1280,#37 Shredded Chicken Salad s/o Bowl & Beans,380,24,0,0,130,470,9,3,0,31,0,0,0,0,0,0,0
16894,1280,#39 Cheese Nachos,450,24,0,0,35,620,45,5,0,12,0,0,0,0,0,0,0
16895,1280,#42 One Tamale,190,11,0,0,25,320,16,3,0,6,0,0,0,0,0,0,0
16896,1281,Chicken Fajita Meat w/ Everything,490,32,0,0,110,590,13,5,0,37,0,0,0,0,0,0,0
16897,1281,Chicken Fajita Meat w/o Sour Cream & Guacamole,340,19,0,0,85,490,9,4,0,34,0,0,0,0,0,0,0
16898,1281,"Chicken Fajita Meat w/o Sour Cream, Guacamole,Chips and Cheese",200,8,0,0,55,320,5,3,0,27,0,0,0,0,0,0,0
