food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
17265,1317,1/4 Chicken (White),295,14,0,0,0,0,0.9,0,0,42.3,0,0,0,0,0,0,0
17266,1317,1/4 White (No Skin),167,3.1,0,0,0,0,0.1,0,0,34.6,0,0,0,0,0,0,0
17267,1317,1/4 Chicken (Dark),298,18.3,0,0,0,0,0.5,0,0,32.9,0,0,0,0,0,0,0
17268,1317,1/4 Dark (No Skin),170,6.7,0,0,0,0,1.1,0,0,26.3,0,0,0,0,0,0,0
17269,1318,Beef Fajita Dinner,859,34,0,0,0,0,93,0,0,46,0,0,0,0,0,0,0
17270,1318,Chicken Thigh Fajita Dinner,850,33,0,0,0,0,91,0,0,48,0,0,0,0,0,0,0
17271,1318,Chicken Breast Fajita Dinner,804,28,0,0,0,0,92,0,0,48,0,0,0,0,0,0,0
17272,1318,Half Order Chicken Thigh Fajita Dinner,"1,900",81,0,0,0,0,204,0,0,92,0,0,0,0,0,0,0
17273,1318,Half Order Chicken Breast Fajita Dinner,"1,827",74,0,0,0,0,205,0,0,88,0,0,0,0,0,0,0
17274,1318,Half Order Beef Fajita Dinner,"1,914",83,0,0,0,0,207,0,0,89,0,0,0,0,0,0,0
17275,1318,Chicken Fajita Burrito,697,25,0,0,0,0,72,0,0,43,0,0,0,0,0,0,0
17276,1318,Steak Fajita Burrito,739,29,0,0,0,0,73,0,0,43,0,0,0,0,0,0,0
17277,1319,Borracho Beans,108,2.5,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0
17278,1319,Refried Beans,171,6,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0
17279,1319,Black Beans,111,1,0,0,0,0,21,0,0,6,0,0,0,0,0,0,0
17280,1319,Spanish Rice,181,5,0,0,0,0,30,0,0,3,0,0,0,0,0,0,0
17281,1319,Calabacita,78.4,5,0,0,0,0,6.4,0,0,1.8,0,0,0,0,0,0,0
17282,1319,Elotes,220,11,0,0,0,0,26.4,0,0,6.5,0,0,0,0,0,0,0
17283,1319,"6"" Flour Tortilla",129,3.3,0,0,0,0,21.7,0,0,3.2,0,0,0,0,0,0,0
17284,1319,"6"" Table Corn Tortilla",70,1,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0
17285,1319,Guacamole,48,4,0,0,0,0,2.3,0,0,0.4,0,0,0,0,0,0,0
17286,1319,Sour Cream,57,4.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
17287,1319,Chips,6,13.5,0,0,0,0,36,0,0,4.5,0,0,0,0,0,0,0
17288,1319,Queso,184,11.7,0,0,0,0,7,0,0,8.9,0,0,0,0,0,0,0
17289,1319,Tortilla Soup,248.5,8.3,0,0,0,0,26,0,0,18,0,0,0,0,0,0,0
17290,1319,Tortilla Soup,371,12.5,0,0,0,0,32,0,0,33,0,0,0,0,0,0,0
17291,1320,Crispy Chicken Taco,165,9,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0
17292,1320,Soft Beef Taco,200,8,0,0,0,0,22,0,0,11,0,0,0,0,0,0,0
17293,1320,Soft Chicken Taco,217,9,0,0,0,0,21,0,0,13,0,0,0,0,0,0,0
17294,1320,Beef Fajita Taco,254,10,0,0,0,0,23,0,0,19,0,0,0,0,0,0,0
17295,1320,Chicken Thigh Fajita Taco,249,9,0,0,0,0,22,0,0,20,0,0,0,0,0,0,0
17296,1320,Chicken Breast Fajita Taco,226,7,0,0,0,0,23,0,0,19,0,0,0,0,0,0,0
17297,1320,Bean and Cheese Taco,295,12,0,0,0,0,35,0,0,12,0,0,0,0,0,0,0
17298,1320,Came GuisadaTaco,202,8,0,0,0,0,20,0,0,14,0,0,0,0,0,0,0
17299,1320,Black Bean Taco,216,5,0,0,0,0,37,0,0,8,0,0,0,0,0,0,0
17300,1320,Fajita Beef Taco Salad,"1,006",71,0,0,0,0,48,0,0,48,0,0,0,0,0,0,0
17301,1321,Bean and Cheese Burrito,545,21,0,0,0,0,65,0,0,22,0,0,0,0,0,0,0
17302,1321,Beef Burrito,472,18,0,0,0,0,80,0,0,25,0,0,0,0,0,0,0
17303,1321,Chicken Burrito,485,20,0,0,0,0,46,0,0,26,0,0,0,0,0,0,0
17304,1321,Burrito Ultimo (chicken),676,33,0,0,0,0,62,0,0,31,0,0,0,0,0,0,0
17305,1321,Burrito Ultimo (beef),663,31,0,0,0,0,64,0,0,30,0,0,0,0,0,0,0
17306,1321,Black Bean Burrito,464,9,0,0,0,0,80,0,0,15,0,0,0,0,0,0,0
17307,1321,Bean and Cheese Burrito,710,27,0,0,0,0,85,0,0,28,0,0,0,0,0,0,0
17308,1321,Black Bean Burrito,560,11,0,0,0,0,95,0,0,16,0,0,0,0,0,0,0
17309,1321,Beef Burrito,653,24,0,0,0,0,76,0,0,30,0,0,0,0,0,0,0
17310,1321,Chicken Burrito,666,26,0,0,0,0,73,0,0,31,0,0,0,0,0,0,0
17311,1321,Grande Chicken Burrito,751,33,0,0,0,0,79,0,0,33,0,0,0,0,0,0,0
17312,1321,Grande Beef Burrito,738,30,0,0,0,0,81,0,0,32,0,0,0,0,0,0,0
17313,1321,Crispy Beef Taco,148,7,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0
17314,1322,Bacon and Egg,246,12,0,0,0,0,22,0,0,13,0,0,0,0,0,0,0
17315,1322,Chorizo and Egg,248,12,0,0,0,0,22,0,0,12,0,0,0,0,0,0,0
17316,1322,Potato and Egg,234,10,0,0,0,0,27,0,0,10,0,0,0,0,0,0,0
17317,1322,Barbacoa,307,15,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0
17318,1323,1/4 Chicken Flameante Dinner (White),649,25,0,0,0,0,51,0,0,55,0,0,0,0,0,0,0
17319,1323,1/4 Chicken Flameante Dinner (Regular),695,33,0,0,0,0,49,0,0,50,0,0,0,0,0,0,0
17320,1323,1/2 Chicken Flameante Dinner (white & regular),"1,338",59,0,0,0,0,98,0,0,104,0,0,0,0,0,0,0
17321,1324,Chicken Quesadilla,"1,246",63,0,0,0,0,90,0,0,73,0,0,0,0,0,0,0
17322,1324,Beef Quesadilla,"1,284",67,0,0,0,0,91,0,0,73,0,0,0,0,0,0,0
17323,1324,Cheese Quesadilla,"1,113",58,0,0,0,0,88,0,0,52,0,0,0,0,0,0,0
17324,1324,Cheese Quesadita,689,35,0,0,0,0,59,0,0,31,0,0,0,0,0,0,0
17325,1324,Chicken Quesadita,711,33,0,0,0,0,60,0,0,39,0,0,0,0,0,0,0
17326,1324,Beef Quesadita,730,35,0,0,0,0,60,0,0,39,0,0,0,0,0,0,0
17327,1325,Soft Chicken Taco Dinner,791,30,0,0,0,0,94,0,0,36,0,0,0,0,0,0,0
17328,1325,Soft Beef Taco Dinner,758,27,0,0,0,0,97,0,0,33,0,0,0,0,0,0,0
17329,1325,Crispy Chicken Taco Dinner,688,29,0,0,0,0,75,0,0,32,0,0,0,0,0,0,0
17330,1325,Crispy Beef Taco Dinner,654,26,0,0,0,0,78,0,0,29,0,0,0,0,0,0,0
17331,1325,Came Guisada Dinner,592,24,0,0,0,0,56,0,0,39,0,0,0,0,0,0,0
17332,1325,Cheese Enchilada Dinner,803,41,0,0,0,0,76,0,0,32,0,0,0,0,0,0,0
17333,1325,Beef Enchilada Dinner,815,38,0,0,0,0,82,0,0,38,0,0,0,0,0,0,0
17334,1325,Sour Cream Chicken Enchilada Dinner,639,23,0,0,0,0,79,0,0,29,0,0,0,0,0,0,0
17335,1325,Mexican Dinner (beef tacos),755,36,0,0,0,0,76,0,0,32,0,0,0,0,0,0,0
17336,1325,Mexican Dinner (chicken tacos),772,37,0,0,0,0,75,0,0,34,0,0,0,0,0,0,0
17337,1325,Super Tex-Mex Dinner (beef tacos),"1,059",54,0,0,0,0,101,0,0,42,0,0,0,0,0,0,0
17338,1325,Super Tex-Mex Dinner (chicken tacos),"1,076",56,0,0,0,0,100,0,0,43,0,0,0,0,0,0,0
17339,1326,Fajita Chicken Taco Salad,965,67,0,0,0,0,47,0,0,48,0,0,0,0,0,0,0
17340,1326,Ground Beef Taco Saiad,"1,108",73,0,0,0,0,72,0,0,44,0,0,0,0,0,0,0
17341,1326,Stewed Chicken Taco Salad,"1,125",76,0,0,0,0,68,0,0,46,0,0,0,0,0,0,0
17342,1326,Fajita Beef Chicken Bowl,"1,466",74,0,0,0,0,142,0,0,59,0,0,0,0,0,0,0
17343,1326,Fajita Chicken Cabana Bowl,"1,425",70,0,0,0,0,142,0,0,58,0,0,0,0,0,0,0
17344,1326,Bean and Cheese Chalupa,236,13,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0
17345,1326,Beef Chalupa,246,11,0,0,0,0,24,0,0,14,0,0,0,0,0,0,0
17346,1326,Chicken Chalupa,254,12,0,0,0,0,23,0,0,14,0,0,0,0,0,0,0
