food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
17557,1354,Taco Bravo,340,14,5,0,25,650,39,8,1,15,0,0,0,0,0,0,0
17558,1354,Crispy Taco,180,10,4,0,25,270,13,3,0,9,0,0,0,0,0,0,0
17559,1354,Softshell Taco,220,10,5,0,25,470,21,4,1,11,0,0,0,0,0,0,0
17560,1354,Chicken Softshell Taco,190,6,3,0,30,760,19,4,0,14,0,0,0,0,0,0,0
17561,1354,Taco Burger w/ Cheese,280,12,5,0,35,600,28,3,3,14,0,0,0,0,0,0,0
17562,1354,Taco Burger w/o Cheese,250,9,3,0,25,560,28,3,3,13,0,0,0,0,0,0,0
17563,1354,Steak Softshell Taco,190,8,8,0,10,300,19,6,1,13,0,0,0,0,0,0,0
17564,1355,Super Burrito,450,20,9,0,40,920,49,10,2,19,0,0,0,0,0,0,0
17565,1355,Meat & Potato Burrito,490,23,8,0,30,"1,190",55,9,1,15,0,0,0,0,0,0,0
17566,1355,Chicken & Potato Burrito,460,19,7,0,35,"1,470",54,8,1,18,0,0,0,0,0,0,0
17567,1355,Crunchy Chicken and Potato Burrito,590,29,8,0,35,"1,420",62,8,1,20,0,0,0,0,0,0,0
17568,1355,Bean Burrito w/ Cheese,380,12,5,0,15,830,53,10,1,15,0,0,0,0,0,0,0
17569,1355,Bean Burrito w/o Cheese,320,7,2,0,0,740,53,10,1,11,0,0,0,0,0,0,0
17570,1355,Beefy Burrito,430,20,9,0,55,870,41,8,1,22,0,0,0,0,0,0,0
17571,1355,Combination Burrito,400,16,7,0,35,850,47,9,1,18,0,0,0,0,0,0,0
17572,1355,Beef Grilled Burrito,590,32,15,0,75,"1,240",49,9,1,27,0,0,0,0,0,0,0
17573,1355,Chicken Grilled Burrito,590,30,13,0,95,"1,790",47,8,1,33,0,0,0,0,0,0,0
17574,1355,Steak Grilled Burrito,600,34,21,0,55,"1,020",46,11,3,31,0,0,0,0,0,0,0
17575,1355,Steak and Potato Burrito,460,22,12,0,15,"1,010",53,10,1,17,0,0,0,0,0,0,0
17576,1356,Chicken Festiva Salad w/o dressing,400,23,10,0,70,830,24,4,2,24,0,0,0,0,0,0,0
17577,1356,Crunchy Chicken Festiva Salad w/o dressing,580,36,12,0,70,780,35,3,2,27,0,0,0,0,0,0,0
17578,1356,Taco Salad w/o dressing,580,32,13,0,60,850,46,4,5,24,0,0,0,0,0,0,0
17579,1356,Chicken Taco Salad w/o dressing,540,27,11,0,70,"1,230",44,4,5,28,0,0,0,0,0,0,0
