food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
17705,1378,Villa Delites - Light Taco,123,5,0,0,24,0,11,0,0,0,0,0,0,0,0,0,0
17706,1378,Villa Delites - Veggie Burrito,338,11,0,0,18,0,41,0,0,0,0,0,0,0,0,0,0
17707,1378,Villa Delites - Chicken Light Taco,158,3.5,0,0,22,0,21,0,0,0,0,0,0,0,0,0,0
17708,1378,Villa Delites - Chicken Burrito Light,336,11,0,0,55,0,43,0,0,0,0,0,0,0,0,0,0
17709,1379,Meat Cup,449.8,32.5,0,0,104.3,842.8,17.3,0.8,0,36.3,0,0,0,0,0,0,0
17710,1379,Combination Cup,363.2,21.1,0,0,60.1,787.1,24.8,3.2,0,23.2,0,0,0,0,0,0,0
17711,1380,Taco Burger,319.5,16.1,0,0,44.2,485,30,1.5,0,18.5,0,0,0,0,0,0,0
17712,1380,Taco Rito,398.1,18.5,0,0,37.2,596.1,42.3,9,0,19.7,0,0,0,0,0,0,0
17713,1381,Bean Burrito with Red Sauce,397.1,13.3,0,0,15.3,955.2,53.9,4.8,0,13.2,0,0,0,0,0,0,0
17714,1381,Bean Burrito with Green Sauce,395.3,12.5,0,0,15.2,807.4,55.3,5.9,0,12.5,0,0,0,0,0,0,0
17715,1381,Bean Burrito No Souce,385.3,12.4,0,0,15.2,761.8,53.2,4.6,0,12.3,0,0,0,0,0,0,0
17716,1381,Combination Burrito with Red Sauce,454.9,20.9,0,0,44.8,992.3,48.9,3.2,0,21.9,0,0,0,0,0,0,0
17717,1381,Combination Burrito with Green Sauce,453,20.1,0,0,44.7,844.6,50.3,4.3,0,21.3,0,0,0,0,0,0,0
17718,1381,Combination Burrito No Sauce,443.1,20,0,0,44.7,798.9,48.1,3,0,21,0,0,0,0,0,0,0
17719,1381,Meat Burrito with Red Sauce,512.6,28.5,0,0,74.3,"1,029.4",43.9,1.6,0,30.7,0,0,0,0,0,0,0
17720,1381,Meat Burrito with Green Sauce,510.7,27.6,0,0,74.2,881.7,45.2,2.7,0,30,0,0,0,0,0,0,0
17721,1381,Meat Burrito No Sauce,500.8,27.6,0,0,74.2,836,43.1,1.4,0,29.8,0,0,0,0,0,0,0
17722,1381,Cheese Burrito with Red Sauce,540.3,33.3,0,0,85.2,"1,158.7",34.6,1.2,0,27.2,0,0,0,0,0,0,0
17723,1381,Cheese Burrito with Green Sauce,538.4,32.5,0,0,85,"1,011",35.9,2.3,0,26.5,0,0,0,0,0,0,0
17724,1381,Cheese Burrito No Sauce,528.5,32.4,0,0,85,965.4,33.8,1,0,26.3,0,0,0,0,0,0,0
17725,1381,Chicken Burrito with Green Sauce,333.8,12.5,0,0,48.6,724.1,35.2,1.4,0,20,0,0,0,0,0,0,0
17726,1381,Chicken Burrito No Sauce,333.8,12.5,0,0,48.6,724.1,35.2,1.4,0,20,0,0,0,0,0,0,0
17727,1381,Guacamole Burrito with Red Sauce,419.3,24.4,0,0,14.3,895.8,40.1,4.1,0,23.8,0,0,0,0,0,0,0
17728,1381,Guacamole Burrito with Green Sauce,417.4,23.6,0,0,14.2,748.1,41.4,5.2,0,23.2,0,0,0,0,0,0,0
17729,1381,Guacamole Burrito No Sauce,407.5,23.5,0,0,14.2,702.5,39.3,3.9,0,22.9,0,0,0,0,0,0,0
17730,1381,Grande,40.1,2.5,0,0,9.5,10.1,3,0.5,0,1.1,0,0,0,0,0,0,0
17731,1382,Bean Chalupa,239.3,10.8,0,0,14.9,357.9,25.4,3.6,0,7.9,0,0,0,0,0,0,0
17732,1382,Combination Chalupa,282.6,16.5,0,0,37.1,385.8,21.6,2.4,0,14.5,0,0,0,0,0,0,0
17733,1382,Meat Chalupa,325.9,22.2,0,0,59.2,413.6,17.8,1.2,0,21,0,0,0,0,0,0,0
17734,1382,Guadalajara,261.8,20.2,0,0,14.2,330.6,13.9,2.9,0,16.7,0,0,0,0,0,0,0
17735,1383,Cheese Nachos,482.4,26.1,0,0,13.7,"1,086.8",55.1,3.4,0,7.7,0,0,0,0,0,0,0
17736,1383,Combination Nachos,679.1,36.6,0,0,44.2,"1,416.5",70.9,5.4,0,20.2,0,0,0,0,0,0,0
17737,1383,Meat Nachos,736.8,44.1,0,0,73.7,"1,453.6",65.9,3.8,0,28.9,0,0,0,0,0,0,0
17738,1383,Bean Nachos,621.3,29,0,0,14.7,"1,379.4",75.9,7,0,11.5,0,0,0,0,0,0,0
17739,1383,Deluxe Nacho,778,44.5,0,0,53.8,"1,695.9",75.6,6.8,0,26.7,0,0,0,0,0,0,0
