food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
18607,1446,Thin Crust Pepperoni Pizza,201,9.7,5.5,0,29.3,458.4,17.2,0.7,1,10.5,0,0,0,0,0,0,0
18608,1446,Thin Crust Pepperoni Pizza,544,29,16,0,86.5,"1,288",40.9,1.6,2.2,27.7,0,0,0,0,0,0,0
18609,1446,Traditional Crust Pepperoni Pizza,251,9.8,5.5,0,29.3,564.9,27.4,1.2,1.6,12.3,0,0,0,0,0,0,0
18610,1446,Traditional Crust Pepperoni Pizza,681,29.5,16,0,86.5,"1,600",68.9,3,4.1,32.7,0,0,0,0,0,0,0
18611,1446,Deep Dish Crust Pepperoni Pizza,261,11.6,6,0,29.3,567.7,26.4,1,1.3,12.1,0,0,0,0,0,0,0
18612,1446,Deep Dish Crust Pepperoni Pizza,841,39.4,18.7,0,86.5,"1,880.8",83.7,3.3,4.5,35.4,0,0,0,0,0,0,0
18613,1446,Thin Crust Pepperoni Pizza,246,15.4,6.3,0,29.3,416.7,16.4,0.4,0.4,10.3,0,0,0,0,0,0,0
18614,1446,Thin Crust Pepperoni Pizza,598,36.6,17.1,0,86.5,"1,204.5",38.9,1,0.9,27.2,0,0,0,0,0,0,0
18615,1446,Traditional Crust Pepperoni Pizza,292,15.6,6.3,0,29.3,502.2,26,0.7,0.6,12,0,0,0,0,0,0,0
18616,1446,Traditional Crust Pepperoni Pizza,721,36.9,17.1,0,86.5,"1,432.5",64.6,1.7,1.5,31.7,0,0,0,0,0,0,0
18617,1446,Deep Dish Crust Pepperoni Pizza,306,17.4,6.8,0,29.3,526,25.5,0.7,0.6,11.9,0,0,0,0,0,0,0
18618,1446,Deep Dish Crust Pepperoni Pizza,881,46.8,19.8,0,86.5,"1,713.3",79.4,2.1,1.9,34.3,0,0,0,0,0,0,0
18619,1446,Thin Crust Pepperoni Pizza,253,15.5,6.3,0,29.3,458.7,17.6,0.8,1,10.6,0,0,0,0,0,0,0
18620,1446,Thin Crust Pepperoni Pizza,613,36.7,17.1,0,86.5,"1,288.5",41.3,1.7,2.2,27.8,0,0,0,0,0,0,0
18621,1446,Traditional Crust Pepperoni Pizza,299,15.6,6.3,0,29.3,544.2,27.2,1,1.3,12.2,0,0,0,0,0,0,0
18622,1446,Traditional Crust Pepperoni Pizza,735,37,17.1,0,86.5,"1,516.5",67,2.4,2.8,32.3,0,0,0,0,0,0,0
18623,1446,Deep Dish Crust Pepperoni Pizza,313,17.4,6.8,0,29.3,568,26.7,1,1.3,12.2,0,0,0,0,0,0,0
18624,1446,Deep Dish Crust Pepperoni Pizza,895,47,19.8,0,86.5,"1,797.3",81.8,2.7,3.2,34.9,0,0,0,0,0,0,0
18625,1446,Thin Crust Pepperoni Pizza,194,9.6,5.5,0,29.3,416.4,16,0.4,0.4,10.2,0,0,0,0,0,0,0
18626,1446,Thin Crust Pepperoni Pizza,530,28.9,16,0,86.5,"1,204",38.5,1,0.9,27.2,0,0,0,0,0,0,0
18627,1446,Traditional Crust Pepperoni Pizza,240,9.7,5.5,0,29.3,501.9,25.6,0.7,0.6,11.9,0,0,0,0,0,0,0
18628,1446,Traditional Crust Pepperoni Pizza,652,29.2,16,0,86.5,"1,432",64.1,1.7,1.5,31.6,0,0,0,0,0,0,0
18629,1446,Deep Dish Crust Pepperoni Pizza,254,11.5,6,0,29.3,525.7,25.2,0.7,0.6,11.8,0,0,0,0,0,0,0
18630,1446,Deep Dish Crust Pepperoni Pizza,812,39.1,18.7,0,86.5,"1,712.8",78.9,2.1,1.9,34.2,0,0,0,0,0,0,0
18631,1446,Thin Crust Pepperoni Pizza,161,6.7,3.5,0,19.3,383.4,17.2,0.7,1,7.5,0,0,0,0,0,0,0
18632,1446,Thin Crust Pepperoni Pizza,444,21.5,11,0,61.5,"1,100.5",40.9,1.6,2.2,20.2,0,0,0,0,0,0,0
18633,1446,Traditional Crust Pepperoni Pizza,207,6.8,3.5,0,19.3,468.9,26.8,1,1.3,9.2,0,0,0,0,0,0,0
18634,1446,Traditional Crust Pepperoni Pizza,581,22,11,0,61.5,"1,412.5",68.9,3,4.1,25.2,0,0,0,0,0,0,0
18635,1446,Deep Dish Crust Pepperoni Pizza,221,8.6,4,0,19.3,492.7,26.4,1,1.3,9.1,0,0,0,0,0,0,0
18636,1446,Deep Dish Crust Pepperoni Pizza,741,31.9,13.7,0,61.5,"1,693.3",83.7,3.3,4.5,27.9,0,0,0,0,0,0,0
18637,1446,Thin Crust Pepperoni Pizza,206,12.4,4.3,0,19.3,341.7,16.4,0.4,0.4,7.3,0,0,0,0,0,0,0
18638,1446,Thin Crust Pepperoni Pizza,498,29.1,12.1,0,61.5,"1,017",38.9,1,0.9,19.7,0,0,0,0,0,0,0
18639,1446,Traditional Crust Pepperoni Pizza,252,12.6,4.3,0,19.3,427.2,26,0.7,0.6,9,0,0,0,0,0,0,0
18640,1446,Traditional Crust Pepperoni Pizza,621,29.4,12.1,0,61.5,"1,245",64.6,1.7,1.5,24.2,0,0,0,0,0,0,0
18641,1446,Deep Dish Crust Pepperoni Pizza,266,14.4,4.8,0,19.3,451,25.5,0.7,0.6,8.9,0,0,0,0,0,0,0
18642,1446,Deep Dish Crust Pepperoni Pizza,781,39.3,14.8,0,61.5,"1,525.8",79.4,2.1,1.9,26.8,0,0,0,0,0,0,0
18643,1446,Thin Crust Pepperoni Pizza,213,12.5,4.3,0,19.3,383.7,17.6,0.8,1,7.6,0,0,0,0,0,0,0
18644,1446,Thin Crust Pepperoni Pizza,513,29.2,12.1,0,61.5,"1,101",41.3,1.7,2.2,20.3,0,0,0,0,0,0,0
18645,1446,Traditional Crust Pepperoni Pizza,259,12.6,4.3,0,19.3,469.2,27.2,1,1.3,9.2,0,0,0,0,0,0,0
18646,1446,Traditional Crust Pepperoni Pizza,635,29.5,12.1,0,61.5,"1,329",67,2.4,2.8,24.8,0,0,0,0,0,0,0
18647,1446,Deep Dish Crust Pepperoni Pizza,273,14.4,4.8,0,19.3,493,26.7,1,1.3,9.2,0,0,0,0,0,0,0
18648,1446,Deep Dish Crust Pepperoni Pizza,795,39.5,14.8,0,61.5,"1,609.8",81.8,2.7,3.2,27.4,0,0,0,0,0,0,0
18649,1446,Thin Crust Pepperoni Pizza,154,6.6,3.5,0,19.3,341.4,16,0.4,0.4,7.2,0,0,0,0,0,0,0
18650,1446,Thin Crust Pepperoni Pizza,430,21.4,11,0,61.5,"1,016.5",38.5,1,0.9,19.7,0,0,0,0,0,0,0
18651,1446,Traditional Crust Pepperoni Pizza,200,6.7,3.5,0,19.3,426.9,25.6,0.7,0.6,8.9,0,0,0,0,0,0,0
18652,1446,Traditional Crust Pepperoni Pizza,552,21.7,11,0,61.5,"1,244.5",64.1,1.7,1.5,24.1,0,0,0,0,0,0,0
18653,1446,Deep Dish Crust Pepperoni Pizza,214,8.5,4,0,19.3,450.7,25.2,0.7,0.6,8.8,0,0,0,0,0,0,0
18654,1446,Deep Dish Crust Pepperoni Pizza,712,31.6,13.7,0,61.5,"1,525.3",78.9,2.1,1.9,26.7,0,0,0,0,0,0,0
18655,1446,Thin Crust Pepperoni Pizza,121,3.7,1.5,0,9.3,308.4,17.2,0.7,1,4.5,0,0,0,0,0,0,0
18656,1446,Thin Crust Pepperoni Pizza,344,14,6,0,36.5,913,40.9,1.6,2.2,12.7,0,0,0,0,0,0,0
18657,1446,Traditional Crust Pepperoni Pizza,167,3.8,1.5,0,9.3,393.9,26.8,1,1.3,6.2,0,0,0,0,0,0,0
18658,1446,Traditional Crust Pepperoni Pizza,481,14.5,6,0,36.5,"1,225",68.9,3,4.1,17.7,0,0,0,0,0,0,0
18659,1446,Deep Dish Crust Pepperoni Pizza,181,5.6,2,0,9.3,417.7,26.4,1,1.3,6.1,0,0,0,0,0,0,0
18660,1446,Deep Dish Crust Pepperoni Pizza,641,24.4,8.7,0,36.5,"1,505.8",83.7,3.3,4.5,20.4,0,0,0,0,0,0,0
18661,1446,Thin Crust Pepperoni Pizza,166,9.4,2.3,0,9.3,266.7,16.4,0.4,0.4,4.3,0,0,0,0,0,0,0
18662,1446,Thin Crust Pepperoni Pizza,398,21.6,7.1,0,36.5,829.5,38.9,1,0.9,12.2,0,0,0,0,0,0,0
18663,1446,Traditional Crust Pepperoni Pizza,212,9.6,2.3,0,9.3,352.2,26,0.7,0.6,6,0,0,0,0,0,0,0
18664,1446,Traditional Crust Pepperoni Pizza,521,21.9,7.1,0,36.5,"1,057.5",64.6,1.7,1.5,16.7,0,0,0,0,0,0,0
18665,1446,Deep Dish Crust Pepperoni Pizza,226,11.4,2.8,0,9.3,376,25.5,0.7,0.6,5.9,0,0,0,0,0,0,0
18666,1446,Deep Dish Crust Pepperoni Pizza,681,31.8,9.8,0,36.5,"1,338.3",79.4,2.1,1.9,19.3,0,0,0,0,0,0,0
18667,1446,Thin Crust Pepperoni Pizza,173,9.5,2.3,0,9.3,308.7,17.6,0.8,1,4.6,0,0,0,0,0,0,0
18668,1446,Thin Crust Pepperoni Pizza,413,21.7,7.1,0,36.5,913.5,41.3,1.7,2.2,12.8,0,0,0,0,0,0,0
18669,1446,Traditional Crust Pepperoni Pizza,219,9.6,2.3,0,9.3,394.2,27.2,1,1.3,6.2,0,0,0,0,0,0,0
