food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
22164,1539,Small Cheese,180,9,4,0,20,260,17,1,0,8,0,0,0,0,0,0,0
22165,1539,Medium Cheese,200,10,5,0,20,300,19,1,0,9,0,0,0,0,0,0,0
22166,1539,Large Cheese,210,10,5,0,20,310,20,1,0,9,0,0,0,0,0,0,0
22167,1539,Small Deluxe Topper,230,13,6,0,30,390,18,1,0,11,0,0,0,0,0,0,0
22168,1539,Medium Deluxe Topper,270,16,8,0,35,460,20,1,0,13,0,0,0,0,0,0,0
22169,1539,Large Deluxe Topper,290,16,8,0,40,490,21,1,0,14,0,0,0,0,0,0,0
22170,1539,Small Meat Topper,250,15,7,0,35,490,17,1,0,12,0,0,0,0,0,0,0
22171,1539,Medium Meat Topper,300,18,8,0,45,580,20,1,0,15,0,0,0,0,0,0,0
22172,1539,Large Meat Topper,310,19,9,0,45,600,21,1,0,16,0,0,0,0,0,0,0
22173,1539,Small Pepperoni Topper,230,14,7,0,30,410,17,1,0,10,0,0,0,0,0,0,0
22174,1539,Medium Pepperoni Topper,280,16,8,0,40,500,20,1,0,13,0,0,0,0,0,0,0
22175,1539,Large Pepperoni Topper,290,17,9,0,40,520,20,1,0,13,0,0,0,0,0,0,0
22176,1539,Small Blanca,220,13,6,0,25,270,15,1,0,9,0,0,0,0,0,0,0
22177,1539,Medium Blanca,260,16,7,0,30,330,17,1,0,11,0,0,0,0,0,0,0
22178,1539,Large Blanca,280,17,8,0,30,350,18,1,0,12,0,0,0,0,0,0,0
22179,1539,Small Veggie Topper,190,9,4,0,20,350,19,1,0,8,0,0,0,0,0,0,0
22180,1539,Medium Veggie Topper,220,11,5,0,20,420,21,2,0,10,0,0,0,0,0,0,0
22181,1539,Large Veggie Topper,230,11,5,0,20,440,22,2,0,10,0,0,0,0,0,0,0
22182,1539,Small Buddy Topper,233,12,5,0,31,543,17,1,0,12,0,0,0,0,0,0,0
22183,1539,Medium Buddy Topper,275,15,7,0,38,647,20,1,0,14,0,0,0,0,0,0,0
22184,1539,Large Buddy Topper,286,15,7,0,39,674,20,1,0,15,0,0,0,0,0,0,0
22185,1539,Small Pelucci Topper,218,11,5,0,27,470,17,1,0,11,0,0,0,0,0,0,0
22186,1539,Medium Pelucci Topper,258,13,6,0,33,562,20,1,0,13,0,0,0,0,0,0,0
22187,1539,Large Pelucci Topper,268,14,6,0,34,587,21,1,0,14,0,0,0,0,0,0,0
22188,1540,Small Cheese,200,7,4,0,20,350,24,1,0,9,0,0,0,0,0,0,0
22189,1540,Medium Cheese,220,8,4.5,0,20,390,25,1,0,10,0,0,0,0,0,0,0
22190,1540,Large Cheese,340,13,7,0,35,610,40,2,0,15,0,0,0,0,0,0,0
22191,1540,Small Deluxe Topper,250,12,6,0,30,480,25,1,0,12,0,0,0,0,0,0,0
22192,1540,Medium Deluxe Topper,290,14,7,0,35,560,26,2,0,14,0,0,0,0,0,0,0
22193,1540,Large Deluxe Topper,450,22,12,0,60,870,41,2,0,22,0,0,0,0,0,0,0
22194,1540,Small Meat Topper,270,14,7,0,35,580,24,1,0,13,0,0,0,0,0,0,0
22195,1540,Medium Meat Topper,310,16,8,0,45,660,25,1,0,15,0,0,0,0,0,0,0
22196,1540,Large Meat Topper,490,26,13,0,70,"1,050",40,2,0,24,0,0,0,0,0,0,0
22197,1540,Small Pepperoni Topper,250,12,7,0,30,500,24,1,0,11,0,0,0,0,0,0,0
22198,1540,Medium Pepperoni Topper,290,15,8,0,40,590,25,1,0,13,0,0,0,0,0,0,0
22199,1540,Large Pepperoni Topper,450,23,13,0,60,920,40,2,0,21,0,0,0,0,0,0,0
22200,1540,Small Blanca,230,11,6,0,25,350,22,1,0,10,0,0,0,0,0,0,0
22201,1540,Medium Blanca,270,15,7,0,30,410,23,1,0,11,0,0,0,0,0,0,0
22202,1540,Large Blanca,430,23,11,0,45,650,36,2,0,18,0,0,0,0,0,0,0
22203,1540,Small Veggie Topper,210,8,4,0,20,440,26,2,0,9,0,0,0,0,0,0,0
22204,1540,Medium Veggie Topper,230,9,4.5,0,20,500,27,2,0,10,0,0,0,0,0,0,0
22205,1540,Large Veggie Topper,370,14,7,0,35,800,43,3,0,16,0,0,0,0,0,0,0
22206,1540,Small Buddy Topper,253,11,5,0,31,629,24,1,0,13,0,0,0,0,0,0,0
22207,1540,Medium Buddy Topper,286,13,6,0,38,729,25,1,0,15,0,0,0,0,0,0,0
22208,1540,Large Buddy Topper,448,21,10,0,59,"1,142",39,2,0,24,0,0,0,0,0,0,0
22209,1540,Small Pelucci Topper,238,10,5,0,27,555,24,1,0,12,0,0,0,0,0,0,0
22210,1540,Medium Pelucci Topper,269,12,6,0,33,645,25,1,0,14,0,0,0,0,0,0,0
22211,1540,Large Pelucci Topper,423,19,9,0,51,"1,011",39,2,0,22,0,0,0,0,0,0,0
22212,1541,Small Cheese,220,13,4,0,15,270,19,1,0,7,0,0,0,0,0,0,0
22213,1541,Medium Cheese,300,16,6,0,20,420,30,1,0,10,0,0,0,0,0,0,0
22214,1541,Large Cheese,480,24,9,0,35,670,49,2,0,17,0,0,0,0,0,0,0
22215,1541,Small Deluxe Topper,260,16,6,0,25,380,20,1,0,9,0,0,0,0,0,0,0
22216,1541,Medium Deluxe Topper,370,21,9,0,35,590,31,2,0,15,0,0,0,0,0,0,0
22217,1541,Large Deluxe Topper,590,33,13,0,60,930,50,3,0,23,0,0,0,0,0,0,0
22218,1541,Small Meat Topper,280,18,6,0,30,470,19,1,0,11,0,0,0,0,0,0,0
22219,1541,Medium Meat Topper,400,23,9,0,45,690,30,1,0,16,0,0,0,0,0,0,0
22220,1541,Large Meat Topper,630,37,15,0,70,"1,100",49,2,0,26,0,0,0,0,0,0,0
22221,1541,Small Pepperoni Topper,260,17,6,0,25,400,19,1,0,9,0,0,0,0,0,0,0
22222,1541,Medium Pepperoni Topper,370,22,9,0,40,620,30,1,0,14,0,0,0,0,0,0,0
22223,1541,Large Pepperoni Topper,590,34,14,0,60,980,49,2,0,22,0,0,0,0,0,0,0
22224,1541,Small Blanca,250,16,5.5,0,15,270,18,1,0,7,0,0,0,0,0,0,0
22225,1541,Medium Blanca,350,22,8,0,30,440,28,1,0,12,0,0,0,0,0,0,0
22226,1541,Large Blanca,570,34,13,0,45,710,45,2,0,20,0,0,0,0,0,0,0
22227,1541,Small Veggie Topper,250,15,5,0,20,380,21,1,0,9,0,0,0,0,0,0,0
22228,1541,Medium Veggie Topper,320,16,6,0,20,530,32,2,0,11,0,0,0,0,0,0,0
22229,1541,Large Veggie Topper,510,25,9,0,35,860,52,3,0,18,0,0,0,0,0,0,0
22230,1541,Small Buddy Topper,204,9,4,0,25,616,19,1,0,10,0,0,0,0,0,0,0
22231,1541,Medium Buddy Topper,312,14,6,0,38,947,29,1,0,16,0,0,0,0,0,0,0
22232,1541,Large Buddy Topper,494,21,10,0,59,"1,501",47,2,0,25,0,0,0,0,0,0,0
22233,1541,Small Pelucci Topper,188,8,4,0,20,534,19,1,0,9,0,0,0,0,0,0,0
22234,1541,Medium Pelucci Topper,295,12,6,0,33,862,29,1.5,0,15,0,0,0,0,0,0,0
22235,1541,Large Pelucci Topper,469,19,9,0,51,"1,371",48,2,0,24,0,0,0,0,0,0,0
22236,1542,Little It'ly – Cheese,307,12,4.5,0,22,601,35,2,0,13,0,0,0,0,0,0,0
22237,1542,Little It'ly – Pepperoni,343,15,6,0,31,721,35,2,0,15,0,0,0,0,0,0,0
22238,1542,Little It'ly – Sausage,359,17,6,0,31,776,36,2,0,15,0,0,0,0,0,0,0
22239,1542,Little It'ly – Pepperoni and Sausage,395,20,8,0,40,896,36,2,0,17,0,0,0,0,0,0,0
22240,1543,Small Cheese,150,9,2.5,0,5,160,13,1,0,4,0,0,0,0,0,0,0
22241,1543,Medium Cheese,230,12,3.5,0,10,260,23,1,0,7,0,0,0,0,0,0,0
22242,1543,Large Cheese,310,17,5,0,15,370,31,1,0,9,0,0,0,0,0,0,0
22243,1543,Small Florentine,150,9,2.5,0,5,200,13,1,0,4,0,0,0,0,0,0,0
22244,1543,Medium Florentine,240,13,3.5,0,10,360,24,1,0,7,0,0,0,0,0,0,0
22245,1543,Large Florentine,330,17,5,0,15,500,33,2,0,10,0,0,0,0,0,0,0
22246,1543,Small Roma,180,12,3.5,0,15,260,13,1,0,5,0,0,0,0,0,0,0
22247,1543,Medium Roma,300,18,6,0,25,480,23,1,0,10,0,0,0,0,0,0,0
22248,1543,Large Roma,400,24,8,0,35,640,31,1,0,13,0,0,0,0,0,0,0
