food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
846,84,Chicken Terayaki Bao,175,6,1.5,0,15,320,24,1,8,7,0,0,0,0,0,0,0
847,84,Thai Curry Chicken Bao,160,5,1.5,0,20,300,22,0,7,7,0,0,0,0,0,0,0
848,84,Spicy Mongolian Beef Bao,170,5,1.5,0,15,300,22,1,6,8,0,0,0,0,0,0,0
849,84,Kung Pao Chicken Bao,160,5,1,0,15,270,22,2,6,7,0,0,0,0,0,0,0
850,84,Bbq Pork Bao,190,6,1.5,0,20,370,26,2,8,8,0,0,0,0,0,0,0
851,84,Green Vegetable Bao,160,6,1,0,0,280,23,4,5,5,0,0,0,0,0,0,0
852,85,Kung Pao Chicken Rice Bowl,570,14,3.5,0,65,"1,070",86,3,4,24,0,0,0,0,0,0,0
853,85,Bbq Pork Rice Bowl,630,17,6,0,65,"1,120",95,2,15,25,0,0,0,0,0,0,0
854,86,Pad Thai Salad,560,28,6,0,50,"1,400",49,10,9,28,0,0,0,0,0,0,0
855,86,8 Vegetable Salad,280,19,3.5,0,0,980,19,9,7,8,0,0,0,0,0,0,0
856,87,Thai Hot & Sour Walkaway Broth,40,0,0,0,0,"1,190",4,1,3,5,0,0,0,0,0,0,0
857,87,Thai Chicken Noodle Soup,190,3.5,1,0,20,"1,360",24,0,2,15,0,0,0,0,0,0,0
858,88,"Fresh Ginger, Ginger Ale",90,0,0,0,0,10,23,2,20,0,0,0,0,0,0,0,0
