food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
22749,1598,Individual Salad,90.6,4.8,2.9,0,13.5,106.7,7,2.3,0,4.7,0,0,0,0,0,0,0
22750,1598,Chef Salad,425.1,19.9,10.6,0,123.3,"1,102.7",16.9,6.3,0,45.4,0,0,0,0,0,0,0
22751,1598,Chicken Caesar Salad,581.8,48,9.4,0,23.6,"1,500.1",22.6,5.5,0,17,0,0,0,0,0,0,0
22752,1598,Southwest Chicken Salad,705.2,47,18.3,0,141.8,"1,063.4",30.5,5.2,0,42.4,0,0,0,0,0,0,0
22753,1599,Monical's Sweet & Tart,130,10,1.5,0,5,250,9,0,0,0,0,0,0,0,0,0,0
22754,1599,1000 Island,130,12,1.5,0,10,240,5,0,0,0,0,0,0,0,0,0,0
22755,1599,Creamy Italian,110,9,1.5,0,0,290,6,0,0,0,0,0,0,0,0,0,0
22756,1599,Creamy Italian Lite,50,0,0,0,0,420,9,0,0,0,0,0,0,0,0,0,0
22757,1599,Ranch,140,15,2.5,0,10,260,0,0,0,0,0,0,0,0,0,0,0
22758,1599,Fat Free Vinaigrette,20,0,0,0,0,390,5,0,0,0,0,0,0,0,0,0,0
22759,1600,Breadsticks (plain),152.2,2.8,0.5,0,0,10,27.4,1,0,3.7,0,0,0,0,0,0,0
22760,1600,Nacho Cheese,148.5,12,6,0,27,837,2.7,0,0,5.4,0,0,0,0,0,0,0
22761,1600,Cheddar Cheese,105,7.5,3,0,7.5,555,6,0,0,3,0,0,0,0,0,0,0
22762,1600,Tomato Sauce,74,4.1,0.7,0,0,420,7.5,1.7,0,1.8,0,0,0,0,0,0,0
22763,1600,HotWings,210,13,3.5,0,55,590,2,1,0,19,0,0,0,0,0,0,0
22764,1600,Plain Mild Cheddar Fries,"1,129",52.8,16.8,0,15,"2,676",147,16.2,0,16.8,0,0,0,0,0,0,0
22765,1600,Plain Mild Cheddar Fries,"1,319.5",66,19.8,0,49,"3,400.6",148.6,17.2,0,26.8,0,0,0,0,0,0,0
22766,1600,Plain Nacho Cheese Fries,"1,216",61.8,22.9,0,54,"3,240",140.4,16.2,0,21.6,0,0,0,0,0,0,0
22767,1600,Plain Nacho Cheese Fries w/ Toppings,"1,406.5",75,25.9,0,88,"3,964",142,17.2,0,31.6,0,0,0,0,0,0,0
22768,1600,Cheddar Nuggets,133.3,6.7,3.3,0,13.3,239.8,9.3,0,0,6.7,0,0,0,0,0,0,0
22769,1600,Pepperollies w/o Marinara,"1,355",30,15,0,72.6,"1,227",109,4.8,0,38,0,0,0,0,0,0,0
22770,1600,Chicken Dippin' Strips,576,37.2,8.4,0,111,926.2,27.6,0,0,32.5,0,0,0,0,0,0,0
22771,1600,Chicken Dippin' Strips,288,18.6,4.2,0,55.5,463.1,13.8,0,0,16.3,0,0,0,0,0,0,0
22772,1601,BBQ,63.8,1.5,0.2,0,0,693.2,10.9,1,0,1.5,0,0,0,0,0,0,0
22773,1601,Honey Mustard,398.7,12.8,0,0,0,530.7,3.4,0,0,0,0,0,0,0,0,0,0
22774,1601,Ranch,151.4,14.1,11.3,0,4.3,40.8,4,0,0,2.8,0,0,0,0,0,0,0
22775,1601,Red Hot Buffalo,34,0.9,0,0,0,551.1,5.2,0.3,0,1.2,0,0,0,0,0,0,0
22776,1602,4 Cheese Lasagna,639,28,16,0,100,"1,483",56,5,0,36,0,0,0,0,0,0,0
22777,1602,Tortellini,400,12,4,0,45,"1,234",58,4,0,16,0,0,0,0,0,0,0
22778,1602,Ravioli,473,18,6,0,98,"1,183",59,4,0,21,0,0,0,0,0,0,0
22779,1602,Spaghetti,450,7,1,0,0,"1,279",80,2,0,15,0,0,0,0,0,0,0
22780,1602,Meatballs,230,18,7,0,45,570,5,0,0,13,0,0,0,0,0,0,0
22781,1602,Supreme (Premium Blend),134,9,6,0,30,240,1,0,0,11,0,0,0,0,0,0,0
22782,1602,Garlic Sticks,408,1,0.4,0,0,331,83,3,0,13,0,0,0,0,0,0,0
22783,1603,"8"" Thin Crust Cheese Pizza",560.1,12.4,7.4,0,41.1,503.9,78.7,3.7,0,31.8,0,0,0,0,0,0,0
22784,1603,"8"" Thin Crust Sausage Pizza",811.4,28.4,16.2,0,101.7,852.9,81,3.8,0,53.6,0,0,0,0,0,0,0
22785,1603,"8"" Thin Crust Pepperoni Pizza",828.2,31.5,17.4,0,96.2,"1,195.6",81.2,3.7,0,52.7,0,0,0,0,0,0,0
22786,1603,"8"" Thin Crust BBQ Chicken Pizza",947,35,20.9,0,160.1,"1,251.2",83,3.8,0,72,0,0,0,0,0,0,0
22787,1603,"8"" Thin Crust Happy Heart Pizza",730.4,21.6,13.2,0,74,800,85.9,5.5,0,47.2,0,0,0,0,0,0,0
22788,1603,"8"" Thin Crust Delight Pizza",878.7,33.2,17.9,0,110.1,"1,071.3",84.3,4.5,0,56.8,0,0,0,0,0,0,0
22789,1603,"8"" Thin Crust Veggie Pizza",929.8,36,20.8,0,114.3,"1,327.7",88,5.7,0,62.5,0,0,0,0,0,0,0
22790,1603,"8"" Thin Crust Italian Special Pizza",864,31.3,16.7,0,101.7,"1,505.5",88.5,6,0,54.9,0,0,0,0,0,0,0
22791,1603,"8"" Thin Crust Deluxe Pizza",920.6,36,18.4,0,110.1,"1,722.7",89.7,6.3,0,57.2,0,0,0,0,0,0,0
22792,1603,"8"" Thin Crust Cheese Free Pizza",403.5,1.2,0.2,0,0,580.8,83.2,6.2,0,15.5,0,0,0,0,0,0,0
22793,1603,"8"" Thin Crust Hawaiian Pizza","1,008.9",33.3,17.6,0,142.3,"2,284.9",105.5,4.8,0,70.3,0,0,0,0,0,0,0
22794,1603,"8"" Pan Crust Cheese Pizza",741,21.4,8.9,0,41.1,629.3,99.2,3.5,0,35.8,0,0,0,0,0,0,0
22795,1603,"8"" Pan Crust Sausage Pizza",992.3,37.4,17.7,0,101.7,978.3,101.5,3.6,0,57.6,0,0,0,0,0,0,0
22796,1603,"8"" Pan Crust Pepperoni Pizza","1,009.1",40.5,18.9,0,96.2,"1,321",101.7,3.5,0,56.7,0,0,0,0,0,0,0
22797,1603,"8"" Pan Crust BBQ Chicken Pizza","1,127.9",44,22.4,0,160.1,"1,376.6",103.5,3.6,0,76,0,0,0,0,0,0,0
22798,1603,"8"" Pan Crust Happy Heart Pizza",911.3,30.6,14.7,0,74,925.4,106.4,5.3,0,51.2,0,0,0,0,0,0,0
22799,1603,"8"" Pan Crust Delight Pizza","1,059.6",42.2,19.4,0,110.1,"1,196.7",104.8,4.3,0,60.8,0,0,0,0,0,0,0
