food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
23041,1632,Cheese,238,6,3.2,0,14,633,36,0.6,0,10,7,9,5,13,0,0,0
23042,1632,BBQ Chicken,285,6,3.2,0,23,854,41,0.2,1,15,1,5,4,12,0,0,0
23043,1632,Buffalo Chicken,256,6,3.2,0,23,"1,090",35,0.2,1,15,1,5,4,12,0,0,0
23044,1632,Chicken Pepper,296,9,4.6,0,30,799,36,0.8,2,18,36,12,13,13,0,0,0
23045,1632,Garlic Chicken,302,9,4.5,0,30,800,38,0.8,2,18,3,10,13,13,0,0,0
23046,1632,Meat Combo,337,14,6.2,0,37,983,36,0.7,0,17,8,10,5,14,0,0,0
23047,1632,PapaRoni,337,15,7,0,36,976,36,0.7,0,16,8,12,6,13,0,0,0
23048,1632,Pepperoni,283,10,4.7,0,24,805,36,0.7,0,13,8,10,5,13,0,0,0
23049,1632,Super Veggie,259,7,3.2,0,14,684,39,1.7,2,11,45,17,6,15,0,0,0
23050,1632,Works,314,12,5.4,0,29,825,38,1.1,1,15,26,10,5,14,0,0,0
23051,1633,Cheese,166,4,2.1,0,9,463,25,0.6,0,7,7,8,3,9,0,0,0
23052,1633,BBQ Chicken,208,4,2.1,0,15,659,32,0.2,1,10,1,3,3,8,0,0,0
23053,1633,Buffalo Chicken,175,4,2.1,0,15,689,24,0.2,1,10,1,3,3,8,0,0,0
23054,1633,Chicken Pepper,208,6,3.1,0,20,564,26,0.8,2,12,35,10,9,9,0,0,0
23055,1633,Garlic Chicken,210,6,3.1,0,20,564,26,0.7,2,12,2,8,9,9,0,0,0
23056,1633,Meat Combo,256,11,4.8,0,33,747,25,0.6,0,14,8,8,3,10,0,0,0
23057,1633,PapaRoni,234,10,4.8,0,24,696,26,0.6,0,11,7,9,4,9,0,0,0
23058,1633,Pepperoni,202,7,3.4,0,18,600,25,0.6,0,9,7,8,3,9,0,0,0
23059,1633,Super Veggie,185,5,2.2,0,9,520,28,1.7,1,8,44,14,5,12,0,0,0
23060,1633,Works,219,8,3.6,0,21,569,27,1,1,11,26,9,4,10,0,0,0
23061,1634,Cheese,365,12,5.6,0,23,884,47,2.2,2,16,1,8,10,25,0,0,0
23062,1634,BBQ Chicken,379,10,4,0,25,"1,081",53,2.1,0,18,1,6,8,23,0,0,0
23063,1634,Buffalo Chicken,350,10,4,0,25,"1,317",47,2.1,0,18,1,6,8,23,0,0,0
23064,1634,Cheeseburger,423,16,7.5,0,39,937,49,2.4,3,20,7,13,13,25,0,0,0
23065,1634,Chicken Pepper,385,12,5.3,0,33,"1,026",48,2.7,2,21,36,12,16,24,0,0,0
23066,1634,Fenway,414,15,6,0,34,944,50,2.9,3,18,38,8,10,27,0,0,0
23067,1634,Garlic Chicken,398,12,5.3,0,33,"1,027",50,2.8,2,21,3,10,17,24,0,0,0
23068,1634,Hawaiian,386,11,4.5,0,29,"1,101",49,2.5,4,20,4,9,9,25,0,0,0
23069,1634,Meat Combo,427,17,6.9,0,42,"1,101",47,2.2,2,20,1,6,9,25,0,0,0
23070,1634,PapaRoni,428,18,7.8,0,38,"1,120",48,2.2,2,19,1,8,10,25,0,0,0
23071,1634,Pepperoni,360,11,5.3,0,27,"1,032",49,2.7,0,16,8,10,9,25,0,0,0
23072,1634,Super Veggie,348,10,4.1,0,16,831,50,3.3,3,14,38,13,10,26,0,0,0
23073,1634,Works,405,15,6.2,0,34,943,49,2.7,3,18,19,7,9,25,0,0,0
23074,1635,Cheese,334,9,4.9,0,21,910,49,1.1,0,15,12,15,7,18,0,0,0
23075,1635,Pepperoni,406,16,7.8,0,37,"1,134",48,0.9,0,19,10,16,8,18,0,0,0
23076,1636,Bacon,59,4,1.7,0,14,228,0,0,0,4,0,0,0,0,0,0,0
23077,1636,Black Olives,13,1,0.2,0,0,99,1,0.4,0,0,0,1,1,2,0,0,0
23078,1636,Broccoli,6,0,0,0,0,5,1,0.6,0,1,31,12,1,1,0,0,0
23079,1636,Capicola,7,0,0.1,0,3,75,0,0,0,1,0,0,0,0,0,0,0
23080,1636,Extra Cheese,35,3,1.6,0,7,100,0,0,0,2,0,3,2,0,0,0,0
23081,1636,Green Pepper,2,0,0,0,0,0,1,0.2,0,0,17,1,0,0,0,0,0
23082,1636,Hamburger,32,2,1.2,0,9,0,0,0,0,3,0,0,0,0,0,0,0
23083,1636,Mushrooms,3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
23084,1636,Onions,5,0,0,0,0,0,1,0.2,1,0,1,0,0,0,0,0,0
23085,1636,Pepperoni,31,3,1.1,0,7,118,0,0,0,2,0,0,0,0,0,0,0
23086,1636,Sausage,49,4,1.6,0,11,104,0,0,0,2,0,0,0,1,0,0,0
23087,1636,Sliced Tomato,1,0,0,0,0,1,0,0.1,0,0,1,1,0,0,0,0,0
23088,1637,Cheese,217,8,3.8,0,15,517,26,0.8,0,9,5,6,6,9,0,0,0
23089,1637,BBQ Chicken,249,9,3.8,0,21,698,30,0.3,0,12,0,4,6,8,0,0,0
23090,1637,Buffalo Chicken,229,9,3.8,0,21,822,26,0.5,0,12,0,4,5,8,0,0,0
23091,1637,Chicken Pepper,256,10,4.7,0,26,629,27,0.9,1,14,24,8,11,9,0,0,0
23092,1637,Garlic Chicken,260,10,4.7,0,26,629,28,0.9,2,14,2,7,11,9,0,0,0
23093,1637,Meat Combo,283,13,5.8,0,31,751,27,0.9,0,13,5,7,6,10,0,0,0
23094,1637,PapaRoni,283,14,6.3,0,30,746,27,0.9,0,13,5,8,7,9,0,0,0
23095,1637,Pepperoni,247,11,4.8,0,22,632,27,0.9,0,10,5,7,6,9,0,0,0
23096,1637,Super Veggie,231,9,3.8,0,15,552,29,1.5,1,10,30,11,7,10,0,0,0
23097,1637,Works,268,12,5.3,0,26,645,28,1.1,1,12,17,7,6,10,0,0,0
23098,1638,BBQ Chicken Tenders(Small),219,7,0.9,0,28,727,24,0.9,0,14,0,0,0,0,0,0,0
23099,1638,Buffalo Chicken Tender(Small),199,7,0.9,0,28,"1,341",20,0.9,0,14,0,0,0,0,0,0,0
23100,1638,Cheese Breadsticks(Small),450,19,8.6,0,33,"1,054",52,0,0,19,0,12,9,18,0,0,0
23101,1638,Chicken Tender(Small),190,7,0.9,0,28,562,18,0.9,0,14,0,0,0,0,0,0,0
23102,1638,Cinnamon Sticks(Small),618,18,2.7,0,0,399,105,3.4,30,12,0,0,2,16,0,0,0
23103,1638,French Fries(Small),663,37,5,0,0,100,76,4,0,8,0,0,0,0,0,0,0
23104,1638,Marinara Dip Sauce(Small),57,1,0.1,0,0,348,13,0.8,12,3,50,33,5,11,0,0,0
23105,1638,Mozzarella Sticks(Small),232,10,6.5,0,32,784,23,0.9,1,15,1,0,1,0,0,0,0
23106,1638,BBQ Chicken Tender(Large),259,9,1.3,0,28,817,28,0.9,0,14,0,0,0,0,0,0,0
23107,1638,Buffalo Chicken Tender(Large),199,7,0.9,0,28,"1,341",20,0.9,0,14,0,0,0,0,0,0,0
23108,1638,Cheese Breadsticks(Large),450,19,8.6,0,33,"1,054",52,0,0,19,0,12,9,18,0,0,0
23109,1638,Cheese Garlic Bread(Large),217,5,1,0,0,651,36,1.1,2,6,0,0,1,12,0,0,0
23110,1638,Chicken Tender(Large),190,7,0.9,0,28,562,18,0.9,0,14,0,0,0,0,0,0,0
23111,1638,French Fries(Large),362,22,3,0,0,50,38,2,0,4,0,0,0,0,0,0,0
23112,1638,Mozzarella Sticks(Large),232,10,6.5,0,32,784,23,0.9,1,15,1,0,1,0,0,0,0
23113,1639,Cheese Slice,334,9,4.9,0,21,910,49,1.1,0,15,12,15,7,18,0,0,0
23114,1639,Chicken Tender Meal,481,26,4.2,0,36,"1,088",44,0.8,0,20,0,0,0,0,0,0,0
23115,1639,Hot Dog Meal,511,29,7.8,0,35,345,49,2,5,14,0,0,0,0,0,0,0
23116,1639,Penne,336,6,0.8,0,1,658,61,1.7,7,10,0,0,2,0,0,0,0
23117,1639,Pepperoni Slice,406,16,7.8,0,37,"1,134",48,0.9,0,19,10,16,8,18,0,0,0
23118,1639,Spaghetti & Meatball,451,10,2.8,0,29,848,63,2.2,7,17,0,0,2,0,0,0,0
23119,1640,Buffalo Chicken Tender,319,15,2.6,0,30,"1,489",32,2.7,3,17,46,73,4,5,0,0,0
23120,1640,Caesar,191,8,3.7,0,12,520,20,5.2,3,10,79,232,26,15,0,0,0
23121,1640,Chicken Bacon Cheddar,481,21,7.2,0,92,"2,083",26,4.8,6,47,62,100,28,12,0,0,0
23122,1640,Chicken Caesar,324,8,3.1,0,84,"1,262",16,4.7,3,47,79,232,25,13,0,0,0
23123,1640,Chicken Tender,282,10,1.4,0,35,717,30,3.9,3,19,46,73,4,5,0,0,0
23124,1640,Garden,176,6,1.6,0,2,370,27,5.1,6,6,62,94,8,12,0,0,0
