food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
23463,1666,"7"" Mini Pepperoni",490,15,8,0,35,"1,010",63,10,4,25,0,10,35,25,0,0,0
23464,1666,"13"" Pepperoni Pizza",260,9,4.5,0,20,600,30,5,2,14,0,8,20,10,0,0,0
23465,1666,"7"" Mini Combo Pizza",620,25,11,0,55,"1,770",67,12,6,34,4,10,40,30,0,0,0
23466,1666,"13"" Combo Pizza",360,20,8,0,40,"1,060",28,5,3,16,2,6,20,15,0,0,0
23467,1666,"7"" Mini Sausage Pizza",540,17,9,0,40,"1,190",68,11,4,29,2,15,40,25,0,0,0
23468,1666,"13"" Sausage pizza",260,9,4.5,0,20,600,30,5,2,14,0,8,20,10,0,0,0
23469,1667,"6"" Turkey Sub",290,7,3.5,0,40,810,38,0,2,17,0,4,8,10,0,0,0
23470,1667,"6"" Ham Sub",310,9,3.5,0,45,"1,250",37,0,3,24,0,4,10,15,0,0,0
23471,1667,"6"" Meatball Sub",520,29,12,0,75,"1,080",43,2,4,23,2,10,15,20,0,0,0
23472,1667,"6"" Italian Sub",500,30,12,0,75,"1,550",37,0,3,22,2,4,8,10,0,0,0
23473,1667,"6"" Cold Cut Combo",400,19,8,0,60,"1,280",38,0,2,19,2,4,8,10,0,0,0
23474,1667,"6"" Club Combo Sub",400,12,4,0,85,"1,780",39,0,2,34,0,4,10,15,0,0,0
23475,1667,"6"" Roast Beef Sub",340,10,4.5,0,55,880,37,0,3,24,0,4,10,15,0,0,0
23476,1667,"6"" BBQ Beef Sub",390,15,6,0,45,830,46,0,7,20,15,10,10,15,0,0,0
23477,1667,"6"" Taco Sub",490,26,11,0,60,950,43,2,3,24,0,10,15,20,0,0,0
23478,1668,"Ham, Egg & Cheese Croissnat",380,22,8,0,165,"1,190",28,1,5,17,2,20,10,10,0,0,0
23479,1668,"Sausage, Egg & Cheese Croissant",520,38,13,0,175,"1,060",28,1,5,16,0,20,15,10,0,0,0
23480,1668,"Ham, Egg & Cheese Biscuit",420,24,8,0,165,"1,710",33,1,3,19,2,8,15,15,0,0,0
23481,1668,"Sausage, Egg & Cheese Biscuit",560,39,13,0,175,"1,580",34,1,4,17,0,8,15,15,0,0,0
