food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
24318,1745,American (Regular Dough),240,13,5,0,25,12,19,1,0,0,0,0,0,0,0,0,0
24319,1745,American (Wheat Dough),230,13,5,0,25,12,18,2,0,0,0,0,0,0,0,0,0
24320,1745,Berkeley Soy Cheese Veggie (Regular Dough),180,8,1.5,0,0,9,19,2,0,0,0,0,0,0,0,0,0
24321,1745,Berkeley Soy Cheese Veggie (Wheat Dough),180,8,1.5,0,0,9,19,2,0,0,0,0,0,0,0,0,0
24322,1745,California (Regular Dough),150,6,2.5,0,10,7,19,1,0,0,0,0,0,0,0,0,0
24323,1745,California (Wheat Dough),150,6,2.5,0,10,8,18,2,0,0,0,0,0,0,0,0,0
24324,1745,Casablanca (Regular Dough),190,9,4,0,15,10,18,1,0,0,0,0,0,0,0,0,0
24325,1745,Casablanca (Wheat Dough),190,9,4,0,15,10,18,1,0,0,0,0,0,0,0,0,0
24326,1745,Greek (Regular Dough),150,6,3,0,10,8,17,1,0,0,0,0,0,0,0,0,0
24327,1745,Greek (Wheat Dough),150,6,3,0,10,8,17,2,0,0,0,0,0,0,0,0,0
24328,1745,Italian (Regular Dough),180,8,3,0,15,10,17,1,0,0,0,0,0,0,0,0,0
24329,1745,Italian (Wheat Dough),180,8,3,0,15,10,17,1,0,0,0,0,0,0,0,0,0
24330,1745,Mediterranean (Regular Dough),160,7,1.5,0,5,5,21,2,0,0,0,0,0,0,0,0,0
24331,1745,Mediterranean (Wheat Dough),160,7,1.5,0,5,5,21,2,0,0,0,0,0,0,0,0,0
24332,1745,Mexican (Regular Dough),180,7,3.5,0,25,10,19,2,0,0,0,0,0,0,0,0,0
24333,1745,Mexican (Wheat Dough),180,7,3.5,0,25,11,19,2,0,0,0,0,0,0,0,0,0
24334,1745,Moroccan (Regular Dough),190,10,3.5,0,15,9,17,1,0,0,0,0,0,0,0,0,0
24335,1745,Moroccan (Wheat Dough),190,10,4,0,15,9,17,1,0,0,0,0,0,0,0,0,0
24336,1745,Napoli (Regular Dough),180,8,3.5,0,15,9,18,1,0,0,0,0,0,0,0,0,0
24337,1745,Napoli (Wheat Dough),180,9,3.5,0,15,9,18,1,0,0,0,0,0,0,0,0,0
24338,1745,Provence (Regular Dough),160,7,2.5,0,10,8,20,2,0,0,0,0,0,0,0,0,0
24339,1745,Santa Fe (Regular Dough),180,7,3,0,15,9,20,2,0,0,0,0,0,0,0,0,0
24340,1745,Thai (Regular Dough),170,6,2.5,0,20,10,19,1,0,0,0,0,0,0,0,0,0
24341,1745,Tuscan Mushroom (Regular Dough),160,7,3.5,0,15,8,18,1,0,0,0,0,0,0,0,0,0
24342,1745,ZBQ (Regular Dough),170,5,2.5,0,20,10,21,1,0,0,0,0,0,0,0,0,0
24343,1745,ZBQ (Wheat Dough),170,5,2.5,0,20,11,21,2,0,0,0,0,0,0,0,0,0
24344,1746,Antipasto,230,17,8,0,35,980,6,2,0,14,0,0,0,0,0,0,0
24345,1746,Arugula,260,20,3.5,0,10,210,14,4,0,10,0,0,0,0,0,0,0
24346,1746,Caesar,100,6,1.5,0,5,100,7,1,0,4,0,0,0,0,0,0,0
24347,1746,California,100,6,1,0,0,160,10,5,0,3,0,0,0,0,0,0,0
24348,1746,Greek,120,6,3,0,10,430,12,4,0,8,0,0,0,0,0,0,0
24349,1746,Pear And Gorgonzola Salad,220,5,1.5,0,50,170,22,4,0,21,0,0,0,0,0,0,0
24350,1746,Spinach Salad,45,2,0,0,0,160,7,3,0,2,0,0,0,0,0,0,0
24351,1746,ZBQ Salad,200,2,0,0,25,910,19,2,0,24,0,0,0,0,0,0,0
24352,1747,Hot Meatball Sub,670,34,14,0,90,"1,650",45,7,0,42,0,0,0,0,0,0,0
24353,1747,Pollo Latino Sandwich,350,11,2,0,45,730,38,6,0,27,0,0,0,0,0,0,0
24354,1747,Supersub,460,23,9,0,65,"1,890",34,4,0,30,0,0,0,0,0,0,0
24355,1747,Turkey Breast Sandwich,400,14,6,0,60,"1,200",35,4,0,34,0,0,0,0,0,0,0
24356,1747,Yuppie Veggie Sandwich,460,24,5,0,15,670,46,8,0,19,0,0,0,0,0,0,0
24357,1748,Classic Calzone,890,49,18,0,95,"2,660",73,4,0,39,0,0,0,0,0,0,0
24358,1748,Veggie Calzone (Regular Dough),590,16,5,0,25,"1,020",89,7,0,22,0,0,0,0,0,0,0
24359,1749,Apple Pie Pizza (Regular Dough),170,5,2.5,0,10,160,30,1,0,3,0,0,0,0,0,0,0
24360,1749,Apple Pie Pizza (Wheat Dough),170,5,2.5,0,10,160,30,1,0,3,0,0,0,0,0,0,0
