menu_id,menu_name,restaurant_id
1809,Bagels,237
1810,Croissants,237
1811,Scones,237
1812,Muffins,237
1813,Cookies,237
1814,Dessert Bars,237
1815,Strudels & Danishes,237
1816,Special Delights,237
1817,Specialty Drinks,237
1818,Bread & Rolls,237
1819,"Yogurt, Candy & Fruit",237
1820,Cream Cheese,237
1821,Oatmeal Bar,237
1822,Cafe Sandwiches,237
1823,Wraps,237
1824,Baked Sandwiches,237
1825,Salads,237
1826,Sandwich Fillings,237
1827,Salad Dressing,237
1828,Breakfast Sandwiches,237
1829,Soups & Stews,237
