menu_id,menu_name,restaurant_id
1845,Bagels - Regular Bagels,240
1846,Bagels - BAB's Choice Bagels,240
1847,Bagels - My Favorite Muffin Bagels,240
1848,Muffins - Fat Free Muffins,240
1849,Muffins - Regular Muffins,240
1850,Cream Cheese - Lite Varieties,240
1851,Cream Cheese - Regular Varieties,240
1852,Sandwiches - Build Your Own Sandwiches,240
1853,Sandwiches - Gourmet Sandwiches,240
1854,Sandwiches - Specialty Sandwiches,240
1855,Sandwiches - Toasted Sandwiches,240
1856,Sandwiches - Overstuffed Sandwiches,240
1857,Sandwiches - Breakfast Sandwiches,240
1858,Sandwiches - Snacks,240
1859,Salads - Gourmet Salads,240
1860,Salads - Prepared with Lite Italian Dressing,240
1861,Soups - Knorr Soups,240
1862,Low Carb Items - Entrees,240
1863,Specialty Drinks (prepared with fat-free milk),240
1864,Specialty Drinks (prepared with 2% milk),240
1865,Other Specialty Drinks,240
1866,Specialty Drinks - Icepresso Drinks,240
