food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
25937,1872,Asiago Parmesan,330,4,1.5,0,5,640,62,4,8,14,0,2,10,20,0,0,0
25938,1872,Blueberry,330,2,0,0,0,530,67,4,14,11,0,0,2,20,0,0,0
25939,1872,Chocolate Chip,310,4.5,1.5,0,0,500,69,4,19,11,0,0,2,20,0,0,0
25940,1872,Cinnamon Raisin,330,2,0,0,0,510,69,4,17,11,0,0,4,20,0,0,0
25941,1872,Cinnamon Sugar,350,2,0,0,0,540,73,6,16,12,0,0,6,20,0,0,0
25942,1872,Cranberry Orange,330,2,0,0,0,510,68,4,17,11,2,0,2,20,0,0,0
25943,1872,Everything,320,2,0,0,0,740,64,4,8,12,0,0,4,20,0,0,0
25944,1872,Fortified,350,4,0,0,0,540,68,6,10,12,0,0,2,20,0,0,0
25945,1872,Garlic,320,2,0,0,0,560,65,4,8,12,0,0,4,25,0,0,0
25946,1872,Honey Grain,330,3,0,0,0,510,65,5,10,13,0,0,4,25,0,0,0
25947,1872,Jalapeño,320,2,0,0,0,560,64,4,8,12,6,8,2,25,0,0,0
25948,1872,Onion,320,2,0,0,0,560,64,4,8,12,2,0,2,20,0,0,0
25949,1872,Plain,320,2,0,0,0,560,64,4,8,12,0,0,2,20,0,0,0
25950,1872,Poppy,320,2.5,0,0,0,560,64,4,8,12,0,0,4,20,0,0,0
25951,1872,Pumpernickel,330,2.5,0,0,0,620,67,5,11,12,0,0,2,20,0,0,0
25952,1872,Rosemary Olive Oil,350,7,0.5,0,0,540,64,4,10,12,0,0,2,20,0,0,0
25953,1872,Salt,320,2,0,0,0,"1,610",64,4,8,12,0,0,2,20,0,0,0
25954,1872,Sesame,360,2.5,0,0,0,660,68,4,11,13,0,0,2,40,0,0,0
25955,1872,Sourdough,340,2,0,0,0,640,68,4,8,13,0,0,2,20,0,0,0
25956,1872,Sun Dried Tomato,320,2,0,0,0,640,64,4,11,12,2,2,4,20,0,0,0
25957,1872,Whole Wheat,390,6,1,0,0,680,73,9,8,16,0,0,2,50,0,0,0
25958,1873,Asiago,360,4.5,1.5,0,5,740,66,4,11,15,0,2,10,20,0,0,0
25959,1873,Everything,320,2,0,0,0,740,64,4,8,12,0,0,4,20,0,0,0
25960,1873,Plain,350,2.5,0,0,0,670,70,4,11,13,0,0,2,20,0,0,0
25961,1873,Sesame,360,2.5,0,0,0,660,68,4,11,13,0,0,2,40,0,0,0
25962,1874,Bacon Scallion,140,12,7,0,40,150,5,0,2,3,0,10,6,0,0,0,0
25963,1874,Garden Veggie,130,11,6,0,35,140,5,1,2,3,8,10,6,0,0,0,0
25964,1874,Garden Veggie Light,90,6,4,0,25,105,3,0,2,5,4,15,8,15,0,0,0
25965,1874,Herb & Garlic Light,90,6,3.5,0,25,120,4,0,2,6,0,4,8,2,0,0,0
25966,1874,Honey Walnut,150,12,6,0,35,120,7,1,3,3,0,10,6,0,0,0,0
25967,1874,Jalapeño,140,13,8,0,45,140,4,0,2,3,0,8,6,0,0,0,0
25968,1874,Olive Pimento,140,13,6,0,45,130,3,0,1,3,0,10,6,0,0,0,0
25969,1874,Onion and Chive,140,13,9,0,35,105,3,0,1,3,6,20,6,0,0,0,0
25970,1874,Plain,130,11,7,0,40,120,6,1,2,3,0,10,6,0,0,0,0
25971,1874,Plain Light,100,6,3,0,25,125,4,1,3,3,0,4,8,0,0,0,0
25972,1874,Smoked Salmon,150,13,6,0,40,150,3,1,2,3,0,10,6,0,0,0,0
25973,1874,Strawberry,140,13,7,0,30,100,4,0,4,3,2,15,2,0,0,0,0
25974,1874,Wildberry,140,12,7,0,35,115,5,0,3,3,0,8,6,0,0,0,0
25975,1875,Wheat,310,8,2,0,0,330,53,4,1,10,2,15,35,20,0,0,0
25976,1876,Balsamic Vinaigrette,110,9,1,0,0,360,8,0,6,0,0,0,0,0,0,0,0
25977,1876,Asian,260,21,2,0,0,190,17,0,15,0,4,0,0,0,0,0,0
25978,1876,Ranch,340,38,6,0,10,320,4,0,2,2,2,10,20,2,0,0,0
25979,1876,Special Caesar,110,9,2,0,30,680,8,0,2,2,0,0,0,0,0,0,0
25980,1877,Caesar,270,17,4.5,0,40,900,22,2,5,9,15,35,20,4,0,0,0
25981,1877,Chicken Caesar,370,20,5,0,85,"1,420",23,2,5,27,15,35,20,6,0,0,0
25982,1877,Mandarin Medley,340,17,5,0,20,660,36,4,27,8,25,40,6,4,0,0,0
25983,1877,Mango Island Chicken,380,23,4,0,50,740,27,3,20,21,50,45,4,8,0,0,0
25984,1877,Sesame Chicken,480,28,3,0,45,780,30,2,18,22,15,35,4,25,0,0,0
25985,1878,Chicken Fajita,530,11,4.5,0,80,"1,040",81,6,16,30,60,25,8,30,0,0,0
25986,1878,Cranberry Gobbler,620,21,6,0,55,"1,430",78,5,17,32,4,20,20,25,0,0,0
25987,1878,Cuban Chicken,680,25,7,0,85,"2,180",74,4,10,44,4,20,25,30,0,0,0
25988,1878,Herby Turkey,560,14,7,0,45,"1,310",78,5,10,30,15,20,10,30,0,0,0
25989,1878,Garden Veggie,400,2.5,0,0,0,620,82,7,14,16,100,25,6,40,0,0,0
25990,1878,Leonardo Da Veggie,480,12,6,0,30,870,74,5,11,21,25,35,20,25,0,0,0
25991,1878,Mango Island Chicken,580,11,4.5,0,65,"1,210",89,6,25,33,30,25,6,25,0,0,0
25992,1878,Radishy Roast Beef,560,18,6,0,60,"1,270",73,5,11,35,8,25,20,35,0,0,0
25993,1878,Roadhouse Chicken,970,40,16,1,175,"1,740",78,4,22,67,6,15,20,30,0,0,0
25994,1878,Santa Fe Turkey,490,9,4,0,50,"1,450",75,5,12,30,35,30,6,25,0,0,0
25995,1878,Smoked Salmon,490,10,4.5,0,45,770,74,5,10,28,10,10,6,25,0,0,0
25996,1878,Supreme Club,470,9,2,0,35,"1,460",72,5,11,28,10,20,4,25,0,0,0
25997,1879,Turkey,510,14,1.5,0,35,"1,290",70,5,9,26,10,20,4,25,0,0,0
25998,1879,Ham,470,5,1,0,30,"1,470",82,5,21,25,10,20,2,25,0,0,0
25999,1879,Chicken Salad,630,26,3.5,0,80,"1,080",73,5,11,28,10,20,4,25,0,0,0
26000,1879,Chicken Breast,660,11,2.5,0,95,780,87,5,26,47,10,25,4,30,0,0,0
26001,1879,Tuna Salad,620,27,3.5,0,35,990,73,5,10,23,10,20,2,25,0,0,0
26002,1879,Hummus,490,11,1,0,0,810,80,9,9,18,10,20,2,30,0,0,0
26003,1880,Chicken Pot Pie Soup,250,19,10,0,80,"1,100",12,2,2,10,6,35,6,6,0,0,0
26004,1880,Chicken Spaeztle Soup,120,5,1.5,0,25,"1,050",12,1,2,9,4,70,2,2,0,0,0
26005,1880,Chicken Wild Rice Soup,260,19,11,0,75,"1,170",16,1,2,9,6,70,4,4,0,0,0
26006,1880,Clam Chowder,300,18,8,0,55,840,23,1,1,10,15,10,15,8,0,0,0
26007,1880,Creamy Tomato Soup,150,9,3.5,0,15,820,16,3,11,5,15,8,4,4,0,0,0
26008,1880,Hearty Beef Chili,300,16,5,1,45,760,20,6,5,19,20,10,6,20,0,0,0
26009,1880,Hearty Mushroom Barley Soup,110,2,0,0,0,790,18,4,3,5,10,35,4,8,0,0,0
26010,1880,Moroccan Stew,140,2.5,0,0,0,330,26,4,8,4,50,80,6,10,0,0,0
26011,1880,Italian Wedding Soup,160,8,3.5,0,20,680,15,2,2,8,8,20,8,8,0,0,0
26012,1880,Minestrone Soup,120,2,0.5,0,0,780,21,5,3,7,10,25,8,8,0,0,0
26013,1880,Sweet Potato Cheddar Soup,200,11,5,0,20,580,20,2,6,6,90,160,15,4,0,0,0
26014,1881,Chocolate Chunk Cookie,570,28,10,5,35,230,72,3,43,6,0,6,2,20,0,0,0
26015,1881,Peanut Butter Cookie,590,34,10,4.5,45,300,59,3,37,12,0,4,4,10,0,0,0
26016,1881,Oatmeal Raisin Cookie,500,22,6,5,35,330,68,3,23,7,0,4,4,15,0,0,0
26017,1881,Triple Chocolate Chunk Cookie,560,28,12,5,35,220,70,3,43,7,0,6,6,20,0,0,0
26018,1881,White Chocolate Macadamia Cookie,590,31,12,4.5,35,220,69,1,44,7,0,6,6,10,0,0,0
26019,1881,Chocolate Chunk Brownies,330,18,6,2.5,55,150,40,2,27,4,0,10,2,10,0,0,0
26020,1881,Lemon Pound Cake,320,13,7,1,75,170,48,1,25,4,0,10,4,8,0,0,0
26021,1881,Luscious Lemon Bars,300,16,9,0.5,95,120,36,0,24,3,0,10,0,6,0,0,0
26022,1881,Marshmallow Chew,270,8,3,1,10,360,48,0,33,2,0,6,0,4,0,0,0
26023,1881,Oreo Dream Bar,470,29,11,1,65,310,49,2,35,5,0,15,8,20,0,0,0
26024,1881,Pecan Chocolate Chunks,310,19,4.5,1.5,40,150,32,1,16,3,0,10,4,8,0,0,0
26025,1881,Raspberry Sammies,280,13,8,0,35,135,38,1,18,3,0,8,0,8,0,0,0
26026,1881,Seven Layer Bar,650,43,21,2.5,15,240,58,4,43,10,0,10,20,25,0,0,0
26027,1881,Toffee Almond Bars,400,19,7,2.5,50,430,53,1,34,4,0,10,4,10,0,0,0
26028,1882,Denver,460,18,6,0,205,"1,150",74,5,11,30,40,10,25,25,0,0,0
26029,1882,Egg & cheese,420,18,6,0,195,"1,090",71,4,9,23,0,10,15,20,0,0,0
26030,1882,"Egg, cheese & bacon",460,23,8,0,210,980,65,4,9,28,0,10,25,20,0,0,0
26031,1882,"Egg, cheese & ham",460,18,6,0,210,"1,270",73,4,11,31,2,10,25,25,0,0,0
26032,1882,"Egg, cheese & sausage",640,38,13,0,235,"1,130",72,5,10,32,0,10,25,25,0,0,0
26033,1883,Blueberry Muffin,450,19,4,0,65,290,64,3,29,8,4,4,10,10,0,0,0
26034,1883,Morning Glory Muffin,500,24,6,0,40,390,67,4,33,8,4,40,6,15,0,0,0
26035,1884,Raspberries and Cream,210,10,6,0,40,60,27,0,26,3,0,6,10,0,0,0,0
