food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
26090,1896,Philly CheeseSteak,600,24,10,0,90,"1,180",60,3,7,37,10,6,20,20,0,0,0
26091,1896,Philly Steak Deluxe,602,24,10,0,90,"1,182",60,3,7,37,20,8,20,25,0,0,0
26092,1896,BBQ Cheddar Steak,730,28,12,0,100,"1,720",83,3,22,38,10,10,25,25,0,0,0
26093,1896,Bacon 3cheese Steak,740,37,16,0,125,"1,480",57,2,5,45,6,8,30,25,0,0,0
26094,1896,Steak Sicilian,720,36,14,0,120,"1,700",58,2,6,42,15,8,25,25,0,0,0
26095,1896,Philly Chicken,570,20,7,0,30,"1,070",59,3,7,38,25,8,20,20,0,0,0
26096,1896,Chicken Buffalo,680,31,9,0,30,"2,220",62,3,8,38,25,10,25,15,0,0,0
26097,1896,Chicken Teriyaki,520,13,7,0,30,"1,300",61,3,8,39,10,6,25,15,0,0,0
26098,1896,Chicken Cordon Bleu,650,24,9,0,80,"1,570",61,2,9,47,6,6,20,20,0,0,0
26099,1896,Chicken Bacon Club,640,27,10,0,44,"1,370",57,2,6,42,10,8,25,15,0,0,0
26100,1896,Turkey Cheddar Melt,590,22,9,0,90,"1,930",59,2,9,39,8,6,20,20,0,0,0
26101,1896,Ultimate Club,660,32,12,0,105,"2,100",54,2,5,39,6,6,20,20,0,0,0
26102,1896,Italian Deli,620,29,13,0,100,"2,090",56,2,6,35,15,6,20,15,0,0,0
26103,1896,Philly Ham & Swiss,600,25,10,0,100,"1,850",58,3,7,36,25,8,25,20,0,0,0
26104,1896,Philly Veggie,600,28,10,0,40,"1,030",65,4,11,22,40,10,30,15,0,0,0
26105,1897,Grilled Chicken,270,12,5,0,20,"1,110",14,5,5,27,50,10,20,15,0,0,0
26106,1897,Chicken Teriyaki,290,12,5,0,20,"2,070",17,5,8,29,40,10,20,15,0,0,0
26107,1897,Grilled Steak,310,16,7,0,80,"1,230",15,5,5,26,40,10,20,20,0,0,0
26108,1897,Fresh Garden,155,9.2,3,0,14,863,13,5,5,6,15,20,19,6,0,0,0
26109,1898,Hot Fries,680,53,10,9,0,420,46,4,0,5,15,0,2,4,0,0,0
26110,1898,Cheddar & Bacon,"1,130",91,20,13,40,"1,610",60,4,2,18,20,2,10,6,0,0,0
26111,1898,Ranch & Bacon,"1,210",102,20,13,45,"1,170",56,4,1,17,15,0,4,6,0,0,0
26112,1898,Cheddar Cheese,"1,030",84,14,13,0,"1,110",60,4,2,7,20,2,10,6,0,0,0
26113,1898,Cheddar Ranch & Bacon,"1,310",110,22,13,45,"1,770",61,4,3,19,20,2,10,6,0,0,0
26114,1899,Original,130,0,0,0,0,0,32,0,31,0,40,0,0,0,0,0,0
26115,1899,Kiwi or Strawberry,170,0,0,0,0,0,42,0,41,0,40,0,0,0,0,0,0
