food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
26177,1908,Chicken Mole Rojo Rustica,586,22,0,0,87,"1,902",66,8,0,35,0,0,0,0,0,0,0
26178,1908,Shrimp Salad Sandwich,471,17,0,0,112,"1,631",55,4,0,25,0,0,0,0,0,0,0
26179,1908,Green Market,555,17,0,0,16,"1,116",74,7,0,23,0,0,0,0,0,0,0
26180,1908,Smoked Ham & Brie,639,25,0,0,90,"2,251",69,3,0,33,0,0,0,0,0,0,0
26181,1908,Turkey Rustica,619,27,0,0,101,"1,673",60,4,0,37,0,0,0,0,0,0,0
26182,1908,Polpette Rustica,553,23,0,0,38,"1,651",60,5,0,27,0,0,0,0,0,0,0
26183,1908,Grilled Chicken TBM,791,43,0,0,95,"1,123",60,6,0,48,0,0,0,0,0,0,0
26184,1908,"TBM (Tomato, Basil & Mozzarella)",729,42,0,0,21,"1,004",61,6,0,26,0,0,0,0,0,0,0
26185,1908,Così Club,702,35,0,0,81,"1,775",59,4,0,37,0,0,0,0,0,0,0
26186,1908,Tuna Cheddar,956,55,0,0,109,"1,857",55,4,0,60,0,0,0,0,0,0,0
26187,1908,Buffalo Blue,649,30,0,0,130,"1,742",57,5,0,44,0,0,0,0,0,0,0
26188,1908,Roasted Turkey & Brie,772,36,0,0,111,"1,660",71,3,0,41,0,0,0,0,0,0,0
26189,1908,Tuscan Pesto Chicken,571,22,0,0,108,"1,192",58,6,0,43,0,0,0,0,0,0,0
26190,1908,Turkey Light,476,9,0,0,51,"1,299",73,4,0,30,0,0,0,0,0,0,0
26191,1908,Tandoori Chicken,633,26,0,0,67,"1,637",58,4,0,40,0,0,0,0,0,0,0
26192,1908,Italiano,834,47,0,0,107,"2,682",58,4,0,43,0,0,0,0,0,0,0
26193,1908,Sesame Ginger Chicken,508,11,0,0,81,"1,374",70,6,0,38,0,0,0,0,0,0,0
26194,1908,Wasabi Roast Beef,626,28,0,0,78,"2,374",64,5,0,31,0,0,0,0,0,0,0
