food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
26391,1931,"7 "" BLT",591,38,9,0,33,116,47,1,0,19,0,0,0,0,0,0,0
26392,1931,"7 "" Cheese Steak",503,19,9,0,67,"1,209",49,1,0,31,0,0,0,0,0,0,0
26393,1931,"7 "" Chicken Breast",569,27,4,0,67,"1,248",50,1,0,35,0,0,0,0,0,0,0
26394,1931,"7 "" Chicken Cheddar Deluxe",669,39,10,0,77,"1,693",51,1,0,34,0,0,0,0,0,0,0
26395,1931,"7 "" Club",657,35,8,0,88,"2,032",51,1,0,38,0,0,0,0,0,0,0
26396,1931,"7 "" Double Cheese Steak",747,36,18,0,134,"1,704",49,1,0,52,0,0,0,0,0,0,0
26397,1931,"7 "" Garden Veggie",390,12,6,0,28,832,51,1,0,20,0,0,0,0,0,0,0
26398,1931,"7 "" Gyro",710,41,18,0,58,"1,692",61,2,0,32,0,0,0,0,0,0,0
26399,1931,"7 "" Ham & Provolone",612,34,8,0,65,"1,596",50,1,0,28,0,0,0,0,0,0,0
26400,1931,"7 "" Hot Veggie",472,17,9,0,42,"1,192",55,2,0,24,0,0,0,0,0,0,0
26401,1931,"7 "" Italian Special",817,51,16,0,97,"2,115",50,1,0,36,0,0,0,0,0,0,0
26402,1931,"7 "" Meatball & Provolone",723,38,18,0,94,"1,706",54,2,0,40,0,0,0,0,0,0,0
26403,1931,"7 "" Pepperoni Melt",730,45,14,0,95,"2,009",50,1,0,32,0,0,0,0,0,0,0
26404,1931,"7 "" Philly Cheese Steak",531,19,9,0,67,"1,237",55,2,0,32,0,0,0,0,0,0,0
26405,1931,"7 "" Pizza Sub",709,39,19,0,102,"2,019",55,2,0,33,0,0,0,0,0,0,0
26406,1931,"7 "" Roast Beef",607,30,6,0,51,973,50,1,0,35,0,0,0,0,0,0,0
26407,1931,"7 "" Seafood with Crab",642,38,6,0,28,"1,438",60,1,0,20,0,0,0,0,0,0,0
26408,1931,"7 "" Spicy Chicken Sedona",530,18,4,0,75,"1,649",54,3,0,37,0,0,0,0,0,0,0
26409,1931,"7 "" Three Cheese",685,44,15,0,64,"1,104",50,1,0,26,0,0,0,0,0,0,0
26410,1931,"7 "" Tuna",666,40,6,0,59,"1,128",49,1,0,32,0,0,0,0,0,0,0
26411,1931,"7 "" Turkey Breast",537,28,4,0,48,"1,604",50,1,0,26,0,0,0,0,0,0,0
26412,1932,"4"" Mini Chicken Breast (Better Bunch)",185,1,0,0,28,544,25,1,0,18,0,0,0,0,0,0,0
