food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
26695,1951,MonteCarlo,362,3,1,0,24,"2,307",65,0,0,21,0,0,0,0,0,0,0
26696,1951,Ham,362,3,1,0,24,"2,552",65,0,0,20,0,0,0,0,0,0,0
26697,1951,Pastrami,375,4,1,0,36,"2,320",63,0,0,23,0,0,0,0,0,0,0
26698,1951,American Coldcut,355,3,0,0,23,"2,128",64,0,0,20,0,0,0,0,0,0,0
26699,1951,Vegetarian,300,1,0,0,0,"1,479",64,0,0,9,0,0,0,0,0,0,0
26700,1951,Turkey,362,3,0,0,24,"2,061",65,0,0,21,0,0,0,0,0,0,0
26701,1951,Roast Beef,362,2,0,0,30,"1,989",63,0,0,21,0,0,0,0,0,0,0
26702,1952,American Coldcut,421,16,5,0,49,"1,344",42,0,0,26,0,0,0,0,0,0,0
26703,1952,BronxBomber,445,18,6,0,58,"1,072",42,0,0,28,0,0,0,0,0,0,0
26704,1952,ItalianSpecial,473,37,12,0,72,"2,007",43,0,0,27,0,0,0,0,0,0,0
26705,1952,LouisvilleGrinder,457,20,7,0,64,964,42,0,0,29,0,0,0,0,0,0,0
26706,1952,MonteCarlo,431,17,6,0,55,"1,248",42,0,0,28,0,0,0,0,0,0,0
26707,1952,NewYorker,437,16,7,0,61,984,44,0,0,29,0,0,0,0,0,0,0
26708,1952,PacificSub,440,17,6,0,49,"1,159",43,0,0,28,0,0,0,0,0,0,0
26709,1952,Vegetarian,253,6,3,0,10,468,41,0,0,9,0,0,0,0,0,0,0
26710,1952,Turkey Ole,360,11,5,0,44,"1,106",44,0,0,23,0,0,0,0,0,0,0
26711,1953,ChickenMelt,405,11,4,0,54,665,42,0,0,31,0,0,0,0,0,0,0
26712,1953,DooleyOriginal,548,41,14,0,82,"2,162",46,0,0,27,0,0,0,0,0,0,0
26713,1953,Ham & SwissMelt,385,13,4,0,39,"1,485",43,0,0,22,0,0,0,0,0,0,0
26714,1953,Reuben,459,20,5,0,56,915,42,0,0,25,0,0,0,0,0,0,0
26715,1953,Roast BeefMelt,378,10,4,0,50,"1,184",44,0,0,27,0,0,0,0,0,0,0
26716,1953,Tuna Melt,330,8,3,0,34,764,42,0,0,20,0,0,0,0,0,0,0
26717,1953,Turkey SwissMelt,385,13,3,0,39,993,43,0,0,23,0,0,0,0,0,0,0
26718,1954,American Coldcut,486,15,5,0,49,"1,357",60,0,0,27,0,0,0,0,0,0,0
26719,1954,BronxBomber,510,17,5,0,58,"1,085",60,0,0,29,0,0,0,0,0,0,0
26720,1954,ItalianSpecial,538,36,12,0,72,"2,020",61,0,0,28,0,0,0,0,0,0,0
26721,1954,LouisvilleGrinder,522,19,7,0,64,977,60,0,0,30,0,0,0,0,0,0,0
26722,1954,MonteCarlo,496,16,6,0,55,"1,261",60,0,0,29,0,0,0,0,0,0,0
26723,1954,NewYorker,502,15,6,0,61,997,62,0,0,30,0,0,0,0,0,0,0
