menu_id,menu_name,restaurant_id
1951,"7"" Sandwiches under 4 grams of Fat",249
1952,Deli Sandwiches on Plain Croissants - Cold Sandwiches,249
1953,Deli Sandwiches on Plain Croissants - Melted Sandwiches,249
1954,Deli Sandwiches on Bagels - Cold Sandwiches,249
1955,Deli Sandwiches on Bagels - Melted Sandwiches,249
1956,Deli Sandwiches on White Subs - Cold Sandwiches,249
1957,Deli Sandwiches on White Subs - Melted Sandwiches,249
1958,Assorted Bagels and Breads,249
1959,Standard Sandwich Toppings,249
1960,Baked Goods,249
