food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
1338,111,Golden Fried Butterfly Shrimp (after 4pm),377,23.8,3.6,0,63.2,459.1,28.6,0.8,0,7.5,2,2,3,15,0,0,0
1339,111,Baked Fish with Lemon Herb Bread Crumbs,477,27.1,5.3,0,100,930.7,25.3,1.3,1.8,31.7,1,24,16,16,0,0,0
1340,111,Baked Salmon Vera Cruz,294,18.7,3.1,0,58.8,988.9,8.1,1.7,4.3,24,71,24,4,8,0,0,0
1341,111,Beef Enchiladas (AM PM),316,20.8,9.3,0,59.6,621.2,18.5,2.3,1.6,14.3,18,11,13,11,0,0,0
1342,111,Blackened Tilapia with Chipotle Tartar Sauce,159,7,1.6,0,55,"1,263.1",2.8,1.2,0,21.6,1,23,2,10,0,0,0
1343,111,Carved Maple Cinnamon Glazed Ham (AM),130,7,3.5,0,45,"1,030",2,0,2,14,0,0,0,0,0,0,0
1344,111,Carved Roast Beef (AM PM),362,16,6,0,140.9,415,0.7,0,0,50.1,0,0,2,25,0,0,0
1345,111,Carved Turkey (AM PM),60,1.5,0,0,25,450,1,0,0,11,0,0,0,4,0,0,0
1346,111,Cheese Enchiladas,379,23.8,11.1,0,57.2,854.1,24.9,1.2,2.8,16.7,31,18,33,7,0,0,0
1347,111,Chicken Enchiladas,301,17.3,9.2,0,62,688.4,18.2,2.1,1.1,18.4,22,11,35,6,0,0,0
1348,111,Chicken Fried Steak,467,26.9,7.5,0,55.9,"1,319.2",32.3,1,2.5,22,0,0,4,21,0,0,0
1349,111,Chicken Pot Pie,407,29.4,8.4,0,46.1,910,24.3,1.7,3,12.2,6,25,4,11,0,0,0
1350,111,Chopped Beef with Natural Gravy,341,26.2,9.9,0,90.5,722.5,1.9,0.4,0.3,23,0,0,3,15,0,0,0
1351,111,Coconut Chicken with Honey Mustard,952,68,25.8,0,133.1,819.7,41.5,5.2,11,45.5,1,0,4,17,0,0,0
1352,111,Fried Fish with Tartar Sauce,403,21.1,3.2,0,33.6,891,38,1.9,0.9,15.6,0,6,2,8,0,0,0
1353,111,Furr's Famous Fried Chicken,724,27.8,7,0,228.2,"2,280.5",48.7,2,0.5,68.3,0,0,10,59,0,0,0
