food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
27435,2030,Abbot's Habit,880,45,14,0,125,"1,380",75,5,0,40,0,0,0,0,0,0,0
27436,2030,Chicken Pesto,680,21,9,0,120,"1,080",68,5,0,53,0,0,0,0,0,0,0
27437,2030,Del Monte Special,860,69,16,0,55,670,49,15,0,20,0,0,0,0,0,0,0
27438,2030,Erik Berger,880,45,14,0,125,"2,900",71,4,0,45,0,0,0,0,0,0,0
27439,2030,Erik's Rueben,750,40,12,0,100,"1,720",59,7,0,38,0,0,0,0,0,0,0
27440,2030,John Muir,430,20,3,0,0,580,46,12,0,11,0,0,0,0,0,0,0
27441,2030,Marrakech Express,640,39,12,0,100,"1,650",36,2,0,33,0,0,0,0,0,0,0
27442,2030,Natural High,900,76,28,0,125,890,27,8,0,33,0,0,0,0,0,0,0
27443,2030,Pilgrim's Progress,650,45,7,0,60,940,41,10,0,25,0,0,0,0,0,0,0
27444,2030,Pot Belly,840,45,13,0,135,"2,430",57,4,0,52,0,0,0,0,0,0,0
27445,2030,R.E.O. Speedwagon,810,44,13,0,125,"2,310",56,4,0,46,0,0,0,0,0,0,0
27446,2030,Raging Bull,850,45,14,0,125,"1,530",69,5,0,37,0,0,0,0,0,0,0
27447,2030,Sea Dog,950,54,15,0,100,"1,550",76,5,0,36,0,0,0,0,0,0,0
27448,2030,Sweet LIberty,520,22,8,0,75,"1,140",49,6,0,34,0,0,0,0,0,0,0
27449,2030,Turkey Walnut Pesto,860,62,14,0,95,"1,220",41,10,0,34,0,0,0,0,0,0,0
27450,2031,Tomato Sour Pillow,240,1.5,0,0,0,500,47,2,0,8,0,0,0,0,0,0,0
27451,2031,Sour Dough,210,1,0,0,0,490,46,2,0,8,0,0,0,0,0,0,0
27452,2031,Bread Bowl,455,2,0,0,0,960,90,4,0,15,0,0,0,0,0,0,0
27453,2031,9-Grain Wheat Bread,216,3,1,0,0,480,47,3,0,7,0,0,0,0,0,0,0
27454,2031,"5"" Onion/Pepper Roll",350,4,1.5,0,0,680,66,3,0,10,0,0,0,0,0,0,0
27455,2031,"6"" Sweet French Roll",320,2,0,0,0,670,66,3,0,10,0,0,0,0,0,0,0
27456,2031,Corn Rye Bread,250,2.5,0.5,0,0,0,50,4,0,8,0,0,0,0,0,0,0
27457,2031,White Pita Bread,100,0,0,0,0,170,20,2,0,4,0,0,0,0,0,0,0
27458,2031,Wheat Pita Bread,90,0,0,0,0,150,19,2,0,4,0,0,0,0,0,0,0
27459,2031,California Turkey Club,930,59,14,0,100,"1,900",65,9,0,39,0,0,0,0,0,0,0
27460,2031,Erik's Kickin' Club,830,45,12,0,125,"2,530",57,4,0,50,0,0,0,0,0,0,0
27461,2031,Southerwestern Avocado Club,"1,070",66,16,0,60,"1,940",89,10,0,33,0,0,0,0,0,0,0
27462,2031,Low-Fat Turkey Sandwich,470,6,0.5,0,35,"1,110",81,5,0,25,0,0,0,0,0,0,0
27463,2031,Tuscan Club,760,44,11,0,100,"1,550",54,3,0,38,0,0,0,0,0,0,0
27464,2032,Annie Ankle Biter,370,23,4.5,0,0,375,34,5,0,13,0,0,0,0,0,0,0
27465,2032,Charlie Cheesepocket,170,11,7,0,35,280,8,0,0,11,0,0,0,0,0,0,0
27466,2032,Tommy Turkey,240,15,2.5,0,30,470,16,2,0,11,0,0,0,0,0,0,0
27467,2033,Caesar Salad,630,55,18,0,65,"1,110",14,2,0,21,0,0,0,0,0,0,0
27468,2033,Chicken Caesar Salad,750,56,20,0,150,"1,130",14,2,0,48,0,0,0,0,0,0,0
27469,2033,Chicken Salad,300,23,4,0,75,420,2,1,0,20,0,0,0,0,0,0,0
27470,2033,Chinese Chicken Salad,780,58,19,0,140,"1,170",14,2,0,49,0,0,0,0,0,0,0
27471,2033,Fruit Salad,60,0,0,0,0,10,15,1,0,1,0,0,0,0,0,0,0
27472,2033,House Salad,160,7,0,0,5,210,21,3,0,5,0,0,0,0,0,0,0
27473,2033,Leaf Erikson w/o Dressing,520,30,20,0,80,"1,150",33,7,0,32,0,0,0,0,0,0,0
27474,2033,Macaroni Salad,290,13,2,0,10,450,38,2,0,6,0,0,0,0,0,0,0
27475,2033,Pasta Salad,300,17,2.5,0,5,490,29,2,0,7,0,0,0,0,0,0,0
27476,2033,Potato Salad,230,12,2,0,115,480,26,2,0,6,0,0,0,0,0,0,0
27477,2033,Tuna Salad,230,16,2.5,0,45,430,3,0,0,17,0,0,0,0,0,0,0
27478,2034,Fat Free Dressing,20,0,0,0,0,230,5,0,0,0,0,0,0,0,0,0,0
27479,2034,Blue Cheese Salad Dressing,100,9,3,0,15,200,2,0,0,2,0,0,0,0,0,0,0
27480,2034,Caeser Salad Dressing,150,15,3,0,15,230,1,0,0,1,0,0,0,0,0,0,0
27481,2034,Erik's Secret Goo,220,24,4,0,25,130,0,0,0,0,0,0,0,0,0,0,0
