food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
27504,2038,Grilled Chicken,253,2.3,0.6,0,0,728,38.6,6.5,0,22.7,0,0,0,0,0,0,0
27505,2038,Grilled Chicken,366,3.2,0.7,0,0,"1,005",58.4,9.7,0,30.9,0,0,0,0,0,0,0
27506,2038,Extreme Club,320,9.2,3.2,0.1,0,"1,056",38.8,6,0,23.4,0,0,0,0,0,0,0
27507,2038,Extreme Club,454,11.6,4,0.1,0,"1,528",58.6,9,0,33.5,0,0,0,0,0,0,0
27508,2038,Market Fresh Veggie,176,1,0.2,0,0,282,37.9,5.8,0,7.3,0,0,0,0,0,0,0
27509,2038,Market Fresh Veggie,268,1.5,0.3,0,0,431,57.4,8.8,0,11.1,0,0,0,0,0,0,0
27510,2038,"Turkey, Ham & Swiss",313,9,4.1,0.2,0,"1,163",38.4,6,0,23.5,0,0,0,0,0,0,0
27511,2038,"Turkey, Ham & Swiss",498,15.7,7.4,0.4,0,"1,871",58.3,9,0,37.1,0,0,0,0,0,0,0
27512,2038,Tuna-Tuna-Tuna (mixed with light mayo),261,5.9,0.6,0,0,548,39.1,5.8,0,16.2,0,0,0,0,0,0,0
27513,2038,Tuna-Tuna-Tuna (mixed with light mayo),438,11.3,1.1,0,0,964,59.8,8.8,0,28.9,0,0,0,0,0,0,0
27514,2038,Gyro,301,11.7,4.5,0.6,0,629,40.9,6.2,0,13.7,0,0,0,0,0,0,0
27515,2038,Gyro,475,19.4,7.4,1.1,0,"1,009",62.4,9.5,0,21.8,0,0,0,0,0,0,0
27516,2038,Falafel Fanatic,366,11,1.7,0,0,"1,018",57.9,10.8,0,12.9,0,0,0,0,0,0,0
27517,2038,Falafel Fanatic,522,14.8,2.3,0,0,"1,412",84.1,15.4,0,18.5,0,0,0,0,0,0,0
27518,2038,Sizzlin' Sirloin,266,3.7,1.3,0.1,0,849,39,6.3,0,22.7,0,0,0,0,0,0,0
27519,2038,Sizzlin' Sirloin,383,4.9,1.7,0.1,0,"1,161",58.9,9.4,0,30.9,0,0,0,0,0,0,0
27520,2038,Philly Chese Steak,302,9.2,4.3,0.1,0,700,39,5.7,0,19.2,0,0,0,0,0,0,0
27521,2038,Philly Chese Steak,522,18,8.4,0.3,0,"1,268",60.3,8.6,0,35,0,0,0,0,0,0,0
27522,2039,Double Philly Cheese Steak,432,17.5,8.4,0.3,0,"1,116",41.2,5.5,0,31.2,0,0,0,0,0,0,0
27523,2039,Double Philly Cheese Steak,781,34.5,16.6,0.6,0,"2,101",64.4,8.4,0,58.9,0,0,0,0,0,0,0
27524,2039,Greek Chicken Colossus,400,16.9,4.6,0,0,998,42.6,7.2,0,24.1,0,0,0,0,0,0,0
27525,2039,Greek Chicken Colossus,627,29.1,7.9,0.1,0,"1,578",64.1,10.5,0,34.4,0,0,0,0,0,0,0
27526,2039,Big Country Chicken & Steak,459,6.2,2.1,0,0,"1,840",59.3,10.3,0,46.1,0,0,0,0,0,0,0
27527,2039,Ranchero Chicken,365,13.8,2.3,0,0,868,41.6,7.5,0,22.7,0,0,0,0,0,0,0
27528,2039,Ranchero Chicken,591,26.2,4.2,0,0,"1,285",64.4,11.7,0,30.9,0,0,0,0,0,0,0
27529,2039,Chicken Caesar,334,10.5,3.2,0.6,0,"1,130",43.5,6.3,0,27.9,0,0,0,0,0,0,0
27530,2039,Chicken Caesar,480,14.5,4.4,0.9,0,"1,641",67.1,9.3,0,37.4,0,0,0,0,0,0,0
27531,2040,Extreme Pepperoni,574,24.9,12.9,0.4,0,"1,606",61.6,7.9,0,32.9,0,0,0,0,0,0,0
27532,2040,Classic Veggie,477,15.7,8.9,0.4,0,"1,116",63.4,8.5,0,27,0,0,0,0,0,0,0
27533,2040,Hawaiian,541,18.4,9.9,0.4,0,"1,660",66.4,7.4,0,32.6,0,0,0,0,0,0,0
27534,2040,Canadian Eh!,595,26.3,13.2,0.4,0,"1,571",61.7,7.8,0,34.5,0,0,0,0,0,0,0
27535,2040,Grilled Chicken,575,17.3,9.4,0.4,0,"1,690",64.3,9.5,0,46.8,0,0,0,0,0,0,0
27536,2041,Grilled Chicken,158,3.4,0.6,0,0,649,11.9,5.7,0,22.9,0,0,0,0,0,0,0
27537,2041,Fresh Veggie,85,5.5,3.4,0.2,0,112,5.3,2,0,4.9,0,0,0,0,0,0,0
27538,2041,Fresh Veggie,176,11,6.7,0.4,0,229,11.8,4.6,0,10.2,0,0,0,0,0,0,0
27539,2041,Traditional Greek,124,10.6,2.8,0,0,333,5.6,1.7,0,3.7,0,0,0,0,0,0,0
27540,2041,Traditional Greek,257,21.3,5.7,0,0,670,13.1,4.3,0,8,0,0,0,0,0,0,0
27541,2041,Grilled Chicken Caesar,256,13.4,4.2,0.9,0,"1,224",19.3,3.8,0,28.8,0,0,0,0,0,0,0
27542,2041,Classic Caesar,76,5.6,1.8,0.3,0,303,7.3,1.2,0,4,0,0,0,0,0,0,0
27543,2041,Classic Caesar,159,11.8,3.7,0.9,0,649,18.4,2.9,0,9,0,0,0,0,0,0,0
27544,2042,Chicken Pita,241,2.2,0.5,0,0,727,36.1,5.9,0,22.2,0,0,0,0,0,0,0
27545,2042,Ham & Cheese Pita,283,8.9,4.5,0.2,0,937,36.2,5.2,0,17.3,0,0,0,0,0,0,0
27546,2042,"6"" Pepperoni Flat Baked Pita",314,12.3,6.4,0.2,0,823,37.5,4.9,0,17.5,0,0,0,0,0,0,0
27547,2042,"6"" Cheese Flat Baked Pita",381,18.2,11.1,0.6,0,806,36.4,4.7,0,21.2,0,0,0,0,0,0,0
27548,2042,Chichen Nuggets & Dip,190,9,1.5,0.1,0,590,18,0,0,9,0,0,0,0,0,0,0
27549,2043,Pita Bread (1 piece),152,0.8,0.1,0,0,275,32.3,4.3,0,6.1,0,0,0,0,0,0,0
27550,2043,Pita Bread (1 piece),233,1.2,0.2,0,0,421,49.6,6.6,0,9.3,0,0,0,0,0,0,0
27551,2043,Standard Pita Vegetable Mix,24,0.2,0.1,0,0,6,5.6,1.5,0,1.2,0,0,0,0,0,0,0
27552,2043,Standard Pita Vegetable Mix,35,0.3,0.1,0,0,9,7.9,2.2,0,1.8,0,0,0,0,0,0,0
27553,2043,Standard Flat Baked Pita Vegetable Mix,19,0.2,0,0,0,5,4.1,1.1,0,1.3,0,0,0,0,0,0,0
27554,2043,Standard Salad Vegetable Mix,27,0.8,0.1,0,0,36,4.9,2.1,0,1.3,0,0,0,0,0,0,0
27555,2043,Standard Salad Vegetable Mix,61,1.7,0.1,0,0,75,11,4.8,0,3.1,0,0,0,0,0,0,0
