food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
1438,116,Asian Pork Roast,510,34,10,0,275,"1,500",10,4,9,42,0,0,0,0,0,0,0
1439,116,Awesome Pot Roast,206,11.6,5.2,0,92.5,229,1.1,0.1,0.8,24.2,0,0,0,0,0,0,0
1440,116,Barbecue Chicken,480,22,8,0,200,"1,080",20,2,19,50,0,0,0,0,0,0,0
1441,116,Barbeque Pork,170,8,2.5,0,75,105,5,1,4,18,0,0,0,0,0,0,0
1442,116,Barbeque Pork Spareribs,230,16,6,0,70,550,3,1,3,19,0,0,0,0,0,0,0
1443,116,Bourbon Street Chicken,210,11,3.5,0,115,410,5,1,5,23,0,0,0,0,0,0,0
1444,116,Broccoli & Rice,220,5,0,0,0,520,36,0,0,6,0,0,0,0,0,0,0
1445,116,Brown Gravy,100,4,1,0,2,"1,320",16,0,8,0,0,0,0,0,0,0,0
1446,116,Buttered Noodles,163,4,0,0,0,7,24,0,0,4,0,0,0,0,0,0,0
1447,116,Chicken & Pastry Noodles,94,4.1,1.1,0,20.6,490,8.7,0.6,0.5,5.5,0,0,0,0,0,0,0
1448,116,"Chicken Breast Fillet, Marinated",120,1.5,0,0,60,520,2,0,0,24,0,0,0,0,0,0,0
1449,116,Chicken Tenders,190,9,2,0,70,580,7,1,1,22,0,0,0,0,0,0,0
1450,116,Country Fried Steak,152,6.6,2.6,0,27.5,508,11.7,0.4,0,10.8,0,0,0,0,0,0,0
1451,116,Creamy Chicken & Pasta,210,6,2.5,0,40,980,25,2,8,14,0,0,0,0,0,0,0
1452,116,Fresh Fried Chicken,250,19,9,0,60,520,2,0,0,16,0,0,0,0,0,0,0
1453,116,Grilled Pork Chop or Loin Slices,119,4,0,0,0,153,0,0,0,19,0,0,0,0,0,0,0
1454,116,Grilled Pork Chops,200,13,4.5,0,65,400,0,0,0,20,0,0,0,0,0,0,0
1455,116,Ham,80,2,1,0,30,560,1,0,1,10,0,0,0,0,0,0,0
1456,116,Macaroni & Beef,260,11,5,0,30,"1,260",26,3,11,13,0,0,0,0,0,0,0
1457,116,Macaroni & Cheese,400,18,8,0,30,"1,010",42,2,7,17,0,0,0,0,0,0,0
1458,116,Mashed Potatoes (Scratch),120,6,1.5,0,0,260,14,1,1,2,0,0,0,0,0,0,0
1459,116,Meatloaf,190,10,4,0,90,520,10,3,2,16,0,0,0,0,0,0,0
1460,116,Pizza,230,8,3.5,0,20,530,28,2,5,10,0,0,0,0,0,0,0
1461,116,Pork Roast,220,17,5,0,70,270,0,1,0,17,0,0,0,0,0,0,0
1462,116,Pork Steaks,250,14,4.5,0,130,"1,120",0,0,0,31,0,0,0,0,0,0,0
1463,116,Potato Casserole,280,9,4,0,20,870,40,1,6,9,0,0,0,0,0,0,0
1464,116,Poultry Gravy,104,3.3,1.2,0,3.4,"1,366",16,0.2,6,2.6,0,0,0,0,0,0,0
1465,116,Roast Beef,180,10,3.5,0,65,135,1,0,1,23,0,0,0,0,0,0,0
1466,116,Roasted Herb Pork Chop,334,17,0,0,0,"1,619",6,0,0,34,0,0,0,0,0,0,0
1467,116,Rotisserie Chicken,320,15,4.5,0,185,"1,100",1,1,1,44,0,0,0,0,0,0,0
1468,116,Sirloin Steak,219,13,0,0,0,983,0,0,0,24,0,0,0,0,0,0,0
1469,116,Spaghetti Pasta,210,1,0,0,0,0,42,2,2,7,0,0,0,0,0,0,0
1470,116,Spaghetti Sauce,110,0,0,0,0,510,25,2,6,2,0,0,0,0,0,0,0
1471,116,Steakburgers,859,55,0,0,0,"1,754",0,0,0,55,0,0,0,0,0,0,0
1472,116,Tamales,240,16,6,0,20,600,18,3,1,6,0,0,0,0,0,0,0
1473,116,Tortillas,325,7,0,0,0,478,56,0,0,9,0,0,0,0,0,0,0
1474,116,Turkey Breast,70,3,1,0,30,340,1,0,0,10,0,0,0,0,0,0,0
1475,116,White Rice,178,5,0,0,0,289,27,0,0,2,0,0,0,0,0,0,0
