food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
27814,2067,Apple Cinnamon Oat Bran,307,1.3,0,0,0,396,65.8,3.8,0,8.1,0,0,0,0,0,0,0
27815,2067,Apple Cinnamon,353,2.5,0,0,0,439,75,3,0,7.8,0,0,0,0,0,0,0
27816,2067,Banana Nut,324,3.4,0,0,0,421,64.7,2.9,0,8.7,0,0,0,0,0,0,0
27817,2067,Blueberry,305,0.7,0,0,0,380,67.3,2.9,0,7.4,0,0,0,0,0,0,0
27818,2067,Carrot Pineapple,303,0.7,0,0,0,391,66.6,3,0,7.6,0,0,0,0,0,0,0
27819,2067,Carrot Raisin,337,0.8,0,0,0,462,74,3.4,0,8.5,0,0,0,0,0,0,0
27820,2067,Cheddar & Jalapeno,331,4,0,0,9.6,617,63.5,2.8,0,10.3,0,0,0,0,0,0,0
27821,2067,Cheddar Herb,345,4.5,0,0,10,538,65,2.8,0,11.2,0,0,0,0,0,0,0
27822,2067,Cheddar Swiss,344,4.4,0,0,11,488,65,2.7,0,11,0,0,0,0,0,0,0
27823,2067,Chocolate Banana,375,2.4,0,0,0,489,79,3.4,0,9.2,0,0,0,0,0,0,0
27824,2067,Chocolate Chip,383,5.1,0,0,0,401,76,3.4,0,8.3,0,0,0,0,0,0,0
27825,2067,Cinnamon,385,5.5,0,0,0,398,76,2.6,0,8,0,0,0,0,0,0,0
27826,2067,Cinnamon Raisin,339,0.8,0,0,0,429,74.6,3.2,0,8.6,0,0,0,0,0,0,0
27827,2067,Cranberry,371,0.9,0,0,0,438,82,3,0,8.8,0,0,0,0,0,0,0
27828,2067,Cranberry Nut,340,4.2,0,0,0,380,67.4,3.1,0,8.2,0,0,0,0,0,0,0
27829,2067,Dill,327,0.9,0,0,0,512,70.5,3,0,9.2,0,0,0,0,0,0,0
27830,2067,Egg,331,1.5,0,0,9.3,462,70,3.2,0,9.4,0,0,0,0,0,0,0
27831,2067,Everything,339,1.6,0,0,0,640,71.6,3.1,0,9.6,0,0,0,0,0,0,0
27832,2067,Flax and Honey,355,8.4,0,0,0,535,58,8.6,0,12,0,0,0,0,0,0,0
27833,2067,Flax and Sour,341,5.5,0,0,0,326,62,7,0,11,0,0,0,0,0,0,0
27834,2067,Garlic,343,0.9,0,0,0,472,74,3,0,9.8,0,0,0,0,0,0,0
27835,2067,Honey Raisin Multigrain,345,3.7,0,0,0,423,68,4.9,0,9.9,0,0,0,0,0,0,0
27836,2067,Hot Cross,352,0.8,0,0,0,157,72.6,3.1,0,8.3,0,0,0,0,0,0,0
27837,2067,Maple,379,5.6,0,0,0,411,74,2.5,0,8.2,0,0,0,0,0,0,0
27838,2067,Marble,323,0.8,0,0,0,469,70.2,2.9,0,9,0,0,0,0,0,0,0
27839,2067,Muesli,374,6,0,0,0,430,69,6.5,0,11,0,0,0,0,0,0,0
27840,2067,Multi Grain,340,4.8,0,0,0,637,65,4.8,0,11,0,0,0,0,0,0,0
27841,2067,Nutmeg,380,6.4,0,0,0,397,72,4.1,0,8.5,0,0,0,0,0,0,0
27842,2067,Onion,334,0.9,0,0,0,471,72.3,3.1,0,9.3,0,0,0,0,0,0,0
27843,2067,Pesto,344,3.2,0,0,2,886,66,2.2,0,12,0,0,0,0,0,0,0
27844,2067,Plain,326,0.9,0,0,0,471,70.4,2.9,0,9.1,0,0,0,0,0,0,0
27845,2067,Poppy Seed,349,2.9,0,0,0,472,71.1,3.1,0,9.8,0,0,0,0,0,0,0
27846,2067,Pumpernickel,318,1.6,0,0,0,458,69.5,3.5,0,10,0,0,0,0,0,0,0
27847,2067,Salt,326,0.9,0,0,0,"3,668",70.4,2.9,0,9.1,0,0,0,0,0,0,0
27848,2067,Sesame Seed,355,3.5,0,0,0,472,70.8,3.2,0,10.2,0,0,0,0,0,0,0
27849,2067,Sour Dough,323,1,0,0,0,380,69,3,0,9.5,0,0,0,0,0,0,0
27850,2067,Spinach,290,0.9,0,0,0,"1,550",62,3.4,0,8.4,0,0,0,0,0,0,0
27851,2067,Sun Dried Tomato,319,2,0,0,0,682,66,3.3,0,9.4,0,0,0,0,0,0,0
27852,2067,Whole Wheat,322,1,0,0,0,455,69,4.6,0,9.4,0,0,0,0,0,0,0
27853,2068,Garlic Cheese Stick,382,7.1,0,0,17,670,65.3,2.8,0,14.2,0,0,0,0,0,0,0
27854,2068,Bagel Dog (on a Plain Bagel),459,22.6,0,0,50,"1,322",42.9,1.4,0,18.8,0,0,0,0,0,0,0
27855,2069,Tomazzo,417,5.5,0,0,7.6,781,78.4,4.5,0,13.8,0,0,0,0,0,0,0
27856,2069,Hot Tomazzo,423,5.7,0,0,7.6,988,79.1,4.9,0,13.9,0,0,0,0,0,0,0
27857,2069,Cheddar & Onion,446,9.9,0,0,28.6,641,73.2,3.4,0,16.2,0,0,0,0,0,0,0
27858,2069,Cheddar & Salsa,457,13,0,0,38.2,"1,050",67.2,2.8,0,17.7,0,0,0,0,0,0,0
27859,2069,Bacon & Cheddar,469,11.8,0,0,40,987,70.7,2.9,0,20.8,0,0,0,0,0,0,0
