food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
27950,2079,Glazed,190,11,0,0,47,860,4,0,0,17,0,0,0,0,0,0,0
27951,2079,All Glaze and Visible Signs of Fat Removed,159,3,0,0,47,855,4,0,0,17,0,0,0,0,0,0,0
27952,2080,Glazed,120,4,0,0,42,860,4,0,0,17,0,0,0,0,0,0,0
27953,2080,All Glaze and Visible Signs of Fat Removed,89,1,0,0,42,855,4,0,0,17,0,0,0,0,0,0,0
27954,2081,Glazed Boneless Smoked Turkey Breast,60,0,0,0,30,540,3,0,0,12,0,0,0,0,0,0,0
27955,2081,Whole Smoked Turkey,146,8,0,0,56,565,1,0,0,18,0,0,0,0,0,0,0
27956,2081,Whole Roasted Turkey,160,10,0,0,60,280,0,0,0,17,0,0,0,0,0,0,0
27957,2082,Paradise Club,860,51,19,0,115,"1,770",65,2,36,29,0,0,0,0,0,0,0
27958,2082,The Smokehouse,760,46,13,0,95,"2,130",53,3,10,35,0,0,0,0,0,0,0
27959,2082,Turkey Ranch Wrangler,730,41,10,0,110,"1,800",56,3,4,36,0,0,0,0,0,0,0
27960,2082,Zesty Roast Beef,590,30,12,0,100,"1,580",53,3,9,36,0,0,0,0,0,0,0
27961,2082,The Turkey Bistro,730,47,11,0,80,"1,300",50,3,5,29,0,0,0,0,0,0,0
27962,2083,The Heavenly Original,810,46,17,0,110,"1,680",63,2,36,29,0,0,0,0,0,0,0
27963,2083,The Turkey Classic,790,36,8,0,80,"1,480",86,6,38,31,0,0,0,0,0,0,0
27964,2083,The Divine Chicken Salad,790,62,19,0,100,"1,350",36,2,8,22,0,0,0,0,0,0,0
27965,2083,Perfect Turkey Salad,670,37,8,0,60,"1,290",59,6,7,28,0,0,0,0,0,0,0
27966,2083,Dillectable Tuna,830,50,9,0.5,55,"1,290",67,6,10,27,0,0,0,0,0,0,0
27967,2083,Heavenly's Famous Ham Salad,620,13,2,0.5,45,"1,640",94,6,35,27,0,0,0,0,0,0,0
27968,2083,Veggie Heaven,610,37,16,0,70,890,48,3,6,23,0,0,0,0,0,0,0
27969,2083,Swiss Philly,640,39,11,0,100,"1,660",44,3,7,34,0,0,0,0,0,0,0
27970,2083,The Classic Roast Beef,650,39,10,0,105,"2,040",52,4,3,35,0,0,0,0,0,0,0
27971,2084,Heavenly Seven Bean Soup,150,2,0,0,5,"1,500",24,5,6,9,0,0,0,0,0,0,0
27972,2084,Chef Salad,170,6,3.5,0,50,850,10,3,3,20,0,0,0,0,0,0,0
27973,2084,Taste of Italy Salad,490,35,16,0,120,"1,870",14,4,4,31,0,0,0,0,0,0,0
27974,2084,Chicken Salad,260,17,2.5,0,35,790,14,3,5,14,0,0,0,0,0,0,0
27975,2084,Tuna Salad,360,29,4,0,40,550,6,3,2,18,0,0,0,0,0,0,0
27976,2084,Ham Salad,300,8,1,0,45,"1,070",35,3,28,18,0,0,0,0,0,0,0
27977,2084,Turkey Salad,330,26,3.5,0,35,800,15,3,2,12,0,0,0,0,0,0,0
27978,2084,Garden Delight,35,0,0,0,0,35,6,3,3,3,0,0,0,0,0,0,0
27979,2084,Chicken Salad,210,15,2,0,30,670,7,0,2,10,0,0,0,0,0,0,0
27980,2084,Tuna Salad,290,25,3.5,0,35,450,0,0,0,14,0,0,0,0,0,0,0
27981,2084,Ham Salad,240,6,1,0,40,920,26,0,23,14,0,0,0,0,0,0,0
27982,2084,Turkey Salad,270,22,3,0,30,680,8,0,0,8,0,0,0,0,0,0,0
27983,2085,Chocolate Chip,270,12,8,0,35,95,40,1,25,3,0,0,0,0,0,0,0
27984,2085,Heath Bar Crunch,280,14,9,0,40,160,37,1,24,2,0,0,0,0,0,0,0
27985,2085,Oatmeal Raisin Nut,260,12,6,0,30,100,35,2,20,3,0,0,0,0,0,0,0
27986,2085,Peanut Butter,290,18,8,0,35,170,29,2,19,7,0,0,0,0,0,0,0
27987,2085,White Chocolate Macadamia Nut,290,15,8,0,40,120,35,1,21,3,0,0,0,0,0,0,0
27988,2085,Fudge Brownie,430,23,5,0,0,210,50,2,30,5,0,0,0,0,0,0,0
27989,2086,French Batard,210,0.5,0,0,0,470,46,1,1,7,0,0,0,0,0,0,0
27990,2086,Multigrain Batard,250,3.5,0,0,0,460,46,5,5,10,0,0,0,0,0,0,0
27991,2086,Croissant,230,12,7,0,30,250,27,1,5,5,0,0,0,0,0,0,0
27992,2086,Focaccia,220,4,1,0,0,480,40,2,2,7,0,0,0,0,0,0,0
27993,2086,Sliced Wheat,170,3,0,0,0,300,32,32,4,5,0,0,0,0,0,0,0
27994,2087,That Mustard,25,0,0,0,0,35,5,0,5,0,0,0,0,0,0,0,0
27995,2088,Spinach Dip,130,14,3.5,0,10,110,2,0,0,1,0,0,0,0,0,0,0
27996,2088,Tomato & Cucumber Salad,60,4.5,0.5,0,0,550,5,1,3,1,0,0,0,0,0,0,0
