food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
27997,2089,Club Sandwich,340,5,1.5,0,50,"1,640",47,4,6,27,25,8,15,30,0,0,0
27998,2089,Turkey,290,3,0,0,0,0,57,0,0,18,0,0,0,0,0,0,0
27999,2089,Roast Beef,300,4.5,0,0,0,0,46,0,0,21,0,0,0,0,0,0,0
28000,2089,Club,340,4.9,0,0,0,0,46,0,0,27,0,0,0,0,0,0,0
28001,2089,Vegetarian,240,2.5,0,0,0,0,45,0,0,9,0,0,0,0,0,0,0
28002,2089,Smokey Turkey,320,3,0,0,0,0,46,0,0,26,0,0,0,0,0,0,0
28003,2089,BBQ Chicken,360,4.5,0,0,0,0,59,0,0,21,0,0,0,0,0,0,0
28004,2090,Vanilla Base Yogurt,80,0,0,0,0,60,18,0,16,3,0,2,10,0,0,0,0
28005,2090,Chocolate Base Yogurt,80,0,0,0,0,50,17,1,16,3,0,2,10,0,0,0,0
28006,2090,Vanilla (No Sugar Added) Base Yogurt,100,0,0,0,5,80,22,0,6,4,0,6,10,0,0,0,0
28007,2091,Strawberry Kist,420,0.5,0,0,0,0,98,0,0,9,0,0,0,0,0,0,0
28008,2091,Berry Blast,310,0,0,0,0,0,70,0,0,9,0,0,0,0,0,0,0
28009,2091,Fruit Safari,370,3.5,0,0,0,0,84,0,0,3,0,0,0,0,0,0,0
28010,2091,Jungle Mist,430,4,0,0,0,0,101,0,0,3,0,0,0,0,0,0,0
28011,2091,Ragin Raspberry,370,3.5,0,0,0,0,84,0,0,4,0,0,0,0,0,0,0
28012,2091,Pure Passion,430,4,0,0,0,0,99,0,0,4,0,0,0,0,0,0,0
28013,2091,Peach Treat,430,0,0,0,0,0,105,0,0,8,0,0,0,0,0,0,0
28014,2091,Pina Collision,450,4.5,0,0,0,0,105,0,0,3,0,0,0,0,0,0,0
