food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
28550,2134,Chocolate Chip Cookie,160,7,2.5,0,10,75,22,1,14,2,0,0,0,4,0,0,0
28551,2134,Macadamia Nut Cookie,170,9,3,0,10,125,22,1,13,2,0,4,0,4,0,0,0
28552,2134,Sugar Cookie,170,7,2,0,20,125,24,0,10,2,0,0,0,4,0,0,0
28553,2134,Vanilla Cone,100,4.5,3,0,25,5,12,0,8,2,0,4,4,0,0,0,0
28554,2134,Dipped Cone,130,7,3,0,25,10,14,0,8,2,0,4,4,2,0,0,0
28555,2134,Vanilla Cone,300,15,10,0,80,10,35,0,28,7,4,15,15,2,0,0,0
28556,2134,Dipped Cone,410,25,10,0,80,10,41,0,28,7,4,15,15,2,0,0,0
28557,2134,Vanilla Shake,340,9,6,0,45,200,52,0,46,9,0,20,30,0,0,0,0
28558,2134,Chocolate Shake,440,10,6,0,45,220,76,1,67,10,0,20,30,4,0,0,0
28559,2134,Strawberry Shake,400,9,6,0,45,220,68,0,62,9,6,20,30,4,0,0,0
28560,2134,Lemon Freeze,410,9,6,0,0,0,70,0,56,9,2,20,30,0,0,0,0
28561,2134,Orange Freeze,440,9,6,0,0,0,76,0,59,9,2,20,30,0,0,0,0
28562,2134,Chocolate Chip Concrete,550,35,14,0,115,0,51,0,38,9,4,20,25,0,0,0,0
28563,2134,Chocolate Chip Concrete,930,62,21,0,175,0,83,0,60,15,8,30,35,0,0,0,0
28564,2134,Chocolate Concrete,480,21,14,0,115,20,67,1,59,10,4,20,25,4,0,0,0
28565,2134,Chocolate Concrete,800,32,22,0,175,40,114,2,101,16,8,30,35,6,0,0,0
28566,2134,Chocolate Sundae,400,11,7,0,55,40,69,2,61,6,2,10,10,6,0,0,0
28567,2134,Hot Fudge Sundae,340,14,8,0,55,150,48,1,37,6,2,10,15,4,0,0,0
28568,2134,Strawberry Sundae,410,10,7,0,55,30,79,0,63,5,15,10,10,0,0,0,0
28569,2135,Roast Beef,310,13,4,0,50,340,22,1,4,30,0,6,4,20,0,0,0
28570,2135,Roast Beef no Butter,270,8,3,0,50,270,22,1,4,30,0,0,4,20,0,0,0
28571,2135,Roast Beef on Wheat,250,10,2.5,0,45,520,22,3,2,26,0,6,4,15,0,0,0
28572,2135,Roast Beef,350,16,5,0,55,530,25,1,5,31,0,15,4,30,0,0,0
28573,2135,Roast Beef,360,17,7,0,65,360,22,1,4,34,0,8,15,20,0,0,0
28574,2135,Roast Beef,360,19,4.5,0,70,360,24,1,5,38,0,6,4,20,0,0,0
28575,2135,Roast Beef,420,19,6,0,70,630,27,1,5,31,0,15,4,20,0,0,0
28576,2135,Roast Beef,400,18,7,0,80,580,25,1,5,42,0,8,15,25,0,0,0
28577,2135,Turkey Sandwich,310,10,3,0,60,135,22,1,4,31,0,6,6,15,0,0,0
28578,2135,Turkey no Butter,270,6,2,0,70,65,22,1,4,31,0,0,6,15,0,0,0
28579,2135,Turkey on Wheat,350,14,3.5,0,60,400,30,4,3,27,0,6,8,15,0,0,0
28580,2135,Ham Sandwich,320,14,4,0,45,850,24,1,6,24,0,6,6,15,0,0,0
28581,2135,Ham no Butter,280,9,3,0,45,780,24,1,6,24,0,0,6,15,0,0,0
28582,2135,Ham on Wheat,310,11,3,0,40,"1,110",32,4,4,22,0,6,8,15,0,0,0
28583,2135,BBQ Beef,320,8,3,0,40,530,40,1,22,25,0,0,4,15,0,0,0
28584,2135,BBQ Pork,360,14,5,0,65,860,33,1,4,25,6,4,6,15,0,0,0
28585,2135,Hot Dog,370,24,8,0,30,"1,000",28,1,6,11,0,6,8,15,0,0,0
28586,2135,Chili Dog,400,25,9,0,40,"1,150",30,3,6,13,2,8,8,15,0,0,0
28587,2135,Cheese Sandwich,300,16,8,0,30,510,22,1,4,14,0,10,25,8,0,0,0
28588,2135,Kid's Choice Meal Beef Sandwich,160,5,1.5,0,25,440,16,1,4,14,0,2,2,8,0,0,0
28589,2135,Kid's Choice Meal Turkey,160,4.5,1,0,30,240,16,1,4,13,0,2,4,8,0,0,0
28590,2135,Kid's Choice Meal Ham,160,5,1.5,0,20,570,17,1,4,10,0,2,4,6,0,0,0
28591,2135,Turkey Deli Sandwich,520,15,6,0,90,460,55,3,7,42,10,25,25,8,0,0,0
28592,2135,Ham Deli Sandwich,560,15,8,0,80,"1,280",58,3,4,36,10,25,20,8,0,0,0
28593,2135,Turkey Club,550,17,7,0,95,550,55,3,7,44,10,25,25,8,0,0,0
28594,2136,French Fries,300,15,2.5,0,0,200,38,3,0,4,20,0,2,4,0,0,0
28595,2136,French Fries,390,22,4,0,0,610,43,3,1,5,20,0,2,4,0,0,0
28596,2136,French Fries,430,21,4,0,0,280,55,5,0,6,30,0,2,6,0,0,0
28597,2136,French Fries,610,36,7,0,0,"1,100",64,5,2,7,30,0,2,6,0,0,0
28598,2136,Baked Potato,340,5,1,0,0,100,67,7,3,8,50,6,4,20,0,0,0
28599,2136,Baked Potato,600,32,19,0,80,380,69,7,4,9,50,25,10,20,0,0,0
28600,2136,Baked Potato,480,15,3,0,0,680,79,10,6,12,210,70,10,25,0,0,0
28601,2136,Baked Potato,630,23,6,0,30,"2,040",80,10,7,28,210,70,10,30,0,0,0
28602,2136,Baked Potato,510,18,4.5,0,10,790,78,8,5,12,50,10,6,25,0,0,0
28603,2136,Side Salad,35,0.5,0,0,0,45,7,4,2,3,90,100,10,10,0,0,0
28604,2136,Cobb Salad,390,22,8,0,180,770,13,3,5,33,60,60,20,15,0,0,0
28605,2136,Chef Salad,330,16,7,0,180,700,13,3,4,32,70,60,25,20,0,0,0
28606,2136,Caesar Salad,150,8,3.5,0,15,450,8,2,1,10,45,60,30,10,0,0,0
28607,2136,Beef Caesar Salad,270,12,4.5,0,65,480,8,2,1,31,45,60,30,20,0,0,0
28608,2136,Chicken Caesar Salad,240,10,4,0,60,500,8,2,1,28,45,60,30,15,0,0,0
28609,2136,Cole Slaw,380,32,5,0,20,540,24,4,14,2,160,70,8,4,0,0,0
28610,2136,Potato Salad,260,10,1.5,0,15,840,30,3,18,3,10,6,0,8,0,0,0
28611,2136,Veggie Sticks,30,0,0,0,0,60,7,2,3,1,35,140,4,4,0,0,0
28612,2136,Veggie Dip,110,10,2,0,0,490,6,0,0,0,0,0,0,0,0,0,0
28613,2136,Broccoli Soup,110,7,3,0,5,870,10,1,2,2,4,6,2,2,0,0,0
28614,2136,Chicken 'N Dumpling,190,6,2.5,0,55,"1,330",21,1,3,13,0,25,8,8,0,0,0
28615,2136,Vegetable Beef Soup,130,1.5,0.5,0,20,"1,330",16,2,4,12,8,40,4,6,0,0,0
28616,2136,Chili,350,12,5,0,50,"1,280",39,11,4,21,10,25,10,25,0,0,0
28617,2137,Au Jus,5,0,0,0,0,170,1,0,0,0,0,0,0,0,0,0,0
28618,2137,Ranch Dressing,290,30,4.5,0,15,540,3,0,2,0,0,0,0,0,0,0,0
28619,2137,Lite Ranch Dressing,110,10,2,0,0,490,6,0,0,0,0,0,0,0,0,0,0
28620,2137,Fat Free Italian Dressing,25,0,0,0,0,540,5,0,3,0,0,0,0,0,0,0,0
28621,2137,Golden Italian,140,14,2,0,0,580,4,0,3,0,0,0,0,0,0,0,0
28622,2137,Catalina Dressing,160,10,1.5,0,0,690,16,0,15,0,0,0,0,0,0,0,0
28623,2137,Blue Cheese,180,19,3.5,0,5,440,2,0,1,0,0,0,2,0,0,0,0
28624,2137,Creamy Caesar,180,17,3,0,10,460,5,0,3,1,0,0,2,0,0,0,0
28625,2137,Horseradish Sauce,30,3,2,0,5,10,1,0,0,0,0,2,2,0,0,0,0
28626,2137,BBQ Sauce,35,0,0,0,0,410,9,0,7,0,2,2,0,0,0,0,0
28627,2137,Ketchup,5,0,0,0,0,70,2,0,1,0,2,2,0,0,0,0,0
28628,2137,Swiss Cheese,50,4,2.5,0,15,35,0,0,0,4,0,2,15,0,0,0,0
28629,2137,Cheddar Cheese,30,2.5,0.5,0,0,140,2,0,0,0,0,0,0,0,0,0,0
28630,2137,Cheddar Cheese Cup,90,8,1.5,0,0,410,5,0,1,1,0,0,0,0,0,0,0
