food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
28920,2169,Grilled Hawaiian Chicken,232,2,0.7,0,27,990,35,0.8,3.4,16,0,0,0,0,0,0,0
28921,2169,Grilled Chicken Caesar,224,2.9,1,0,29,661,31,0.7,1.9,16,0,0,0,0,0,0,0
28922,2169,Grilled Chicken & Broccoli,235,2.4,0.6,0,27,576,35,1.3,2.5,16,0,0,0,0,0,0,0
28923,2169,Ultra Supreme,223,2.3,0.8,0,26,895,34,0.8,3.2,16,0,0,0,0,0,0,0
28924,2169,Grilled Raspberry Chicken,214,2,0.5,0,23,944,35,0.9,3.6,14,0,0,0,0,0,0,0
28925,2169,Ultra Grilled Chicken,229,2.5,0.7,0,27,656,34,1.7,3.4,15,0,0,0,0,0,0,0
28926,2169,Ultra Combo (Chicken/Turkey),221,1.7,0.4,0,28,642,34,1.7,3.2,16,0,0,0,0,0,0,0
28927,2169,Ultra Turkey,214,0.8,0.1,0,30,658,34,1.7,2.9,16,0,0,0,0,0,0,0
28928,2169,Cranberry Turkey,275,0.9,0.1,0,30,658,50,2.3,13,16,0,0,0,0,0,0,0
28929,2170,Grilled Hawaiian Chicken,375,3.7,1,0,41,"1,784",57,1.2,4.8,25,0,0,0,0,0,0,0
28930,2170,Grilled Chicken Caesar,353,4,1.3,0,42,986,50,1,2.7,24,0,0,0,0,0,0,0
28931,2170,Grilled Chicken & Broccoli,373,3.7,1,0,41,878,57,1.9,3.5,24,0,0,0,0,0,0,0
28932,2170,Ultra Supreme,350,3.4,1.1,0,37,"1,314",56,1.1,4.5,23,0,0,0,0,0,0,0
28933,2170,Grilled Raspberry Chicken,342,3,0.7,0,34,"1,426",56,1.4,5,22,0,0,0,0,0,0,0
28934,2170,Ultra Grilled Chicken,367,3.7,1,0,41,"1,080",56,2.3,4.7,23,0,0,0,0,0,0,0
28935,2170,Ultra Combo (Chicken/Turkey),354,2.5,0.6,0,43,"1,058",56,2.3,4.3,24,0,0,0,0,0,0,0
28936,2170,Ultra Turkey,343,1.3,0.2,0,45,"1,099",56,2.3,3.9,25,0,0,0,0,0,0,0
28937,2170,Cranberry Turkey,424,1.3,0.2,0,45,"1,099",77,3.2,17,25,0,0,0,0,0,0,0
28938,2171,Grilled Hawaiian Chicken,546,5.8,1.6,0,68,"2,704",80,1.7,7,39,0,0,0,0,0,0,0
28939,2171,Grilled Chicken Caesar,514,6.5,2.1,0,70,"1,489",70,1.4,4,37,0,0,0,0,0,0,0
28940,2171,Grilled Chicken & Broccoli,541,6,1.6,0,68,"1,332",79,2.6,5,38,0,0,0,0,0,0,0
28941,2171,Ultra Supreme,510,5.3,1.9,0,63,"2,067",77,1.6,6.9,37,0,0,0,0,0,0,0
28942,2171,Grilled Raspberry Chicken,495,4.7,1.2,0,57,"2,229",78,2,8,33,0,0,0,0,0,0,0
28943,2171,Ultra Grilled Chicken,553,5.8,1.6,0,68,"1,626",78,3.3,7.2,36,0,0,0,0,0,0,0
28944,2171,Ultra Combo (Chicken/Turkey),514,3.8,1,0,71,"1,590",77,3.3,6.5,38,0,0,0,0,0,0,0
28945,2171,Ultra Turkey,495,1.8,0.2,0,75,"1,578",77,3.3,5.8,39,0,0,0,0,0,0,0
28946,2171,Cranberry Turkey,597,1.8,0.3,0,75,"1,557",104,4.2,23,39,0,0,0,0,0,0,0
