food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
29123,2187,Cinnamon Swirl,70,0,0,0,0,100,15,1,3,2,0,0,0,0,0,0,0
29124,2187,Grandma's White,60,0,0,0,0,115,14,0,1,2,0,0,0,0,0,0,0
29125,2187,Honey Whole Wheat,70,0,0,0,0,80,14,2,2,3,0,0,0,0,0,0,0
29126,2188,Almond Bear Claw,80,2,0,0,5,85,14,1,2,2,0,0,0,0,0,0,0
29127,2188,Apple Raisin Challah,70,0,0,0,10,75,14,2,1,2,0,0,0,0,0,0,0
29128,2188,Apple Raisin Cinnamon Swirl,70,0,0,0,0,90,15,1,3,1,0,0,0,0,0,0,0
29129,2188,Apricot Almond,70,1,0,0,0,90,13,1,2,2,0,0,0,0,0,0,0
29130,2188,Bavarian Rye,65,0,0,0,0,85,13,1,0,2,0,0,0,0,0,0,0
29131,2188,Blueberry Cheese Danish,60,1,0,0,5,75,12,1,3,2,0,0,0,0,0,0,0
29132,2188,Blueberry Cheesecake,70,1,0,0,0,95,14,1,4,2,0,0,0,0,0,0,0
29133,2188,Blueberry Cobbler,80,1,0,0,5,75,16,1,5,2,0,0,0,0,0,0,0
29134,2188,Blueberry Pancake,70,1,0,0,5,75,15,1,5,2,0,0,0,0,0,0,0
29135,2188,Blueberry White Chocolate,70,1,0,0,0,95,14,1,4,2,0,0,0,0,0,0,0
29136,2188,Caramel Apple,80,1,0,0,0,115,16,1,4,2,0,0,0,0,0,0,0
29137,2188,Cheese Danish,80,2,0,0,10,85,13,1,4,2,0,0,0,0,0,0,0
29138,2188,Cherry Apple Strudel,70,1,0,0,5,90,10,1,3,2,0,0,0,0,0,0,0
29139,2188,Cherry Cheesecake,70,1,0,0,0,90,14,1,4,2,0,0,0,0,0,0,0
29140,2188,Cherry Chocolate,70,1,0,0,0,85,14,1,2,2,0,0,0,0,0,0,0
29141,2188,Chocolate Bobka,70,2,0,0,0,85,14,1,4,2,0,0,0,0,0,0,0
29142,2188,Cinnamon Crunch,80,2,0,0,0,100,15,1,5,2,0,0,0,0,0,0,0
29143,2188,Cinnamon Raisin Walnut,70,1,0,0,0,70,14,2,1,3,0,0,0,0,0,0,0
29144,2188,Country Italian,60,0,0,0,0,140,13,0,0,2,0,0,0,0,0,0,0
29145,2188,Cranberry Orange,70,0,0,0,0,70,15,2,3,2,0,0,0,0,0,0,0
29146,2188,Cranberry Pecan Cornbread,80,2,0,0,0,95,14,1,4,1,0,0,0,0,0,0,0
29147,2188,Dakota,70,0,0,0,0,150,14,2,1,3,0,0,0,0,0,0,0
