food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
29182,2189,Breakfast Potatoes,139,7.9,4.6,0,19.7,280.5,16,2.2,0,2.8,0,0,68.4,0,0,0,0
29183,2189,Potato and Egg,272,12.3,5.2,0,201.9,540.9,29.8,2.5,0,10.7,0,0,128.9,0,0,0,0
29184,2189,Egg and Ham,217,8.9,2.6,0,232.9,706.6,19.8,1.1,0,13.6,0,0,77.3,0,0,0,0
29185,2189,Egg and Bacon,309,16.8,5.4,0,258.1,885.2,18.8,1.1,0,20,0,0,79.5,0,0,0,0
29186,2189,Egg and Sausage,349,23,2.9,0,252.1,624.4,18.8,1.1,0,15.6,0,0,75.3,0,0,0,0
29187,2189,"Potato, Egg, and Ham",300,13.2,5.5,0,212.8,873.2,30.8,2.5,0,14.7,0,0,131,0,0,0,0
29188,2189,"Potato, Egg, and Bacon",392,21.1,8.4,0,237.9,"1,051.8",29.9,2.5,0,21.1,0,0,133.1,0,0,0,0
29189,2189,"Potato, Egg, and Sausage",432,27.3,5.8,0,231.9,790.9,29.8,2.5,0,16.7,0,0,128.9,0,0,0,0
29190,2190,Croissant,376,22.8,11.8,0,242,865.1,27.5,1.5,0,14.8,0,0,64.4,0,0,0,0
29191,2190,Croissant,405,23.7,12.1,0,252.8,"1,197.4",28.5,1.5,0,18.8,0,0,66.5,0,0,0,0
29192,2190,Croissant,497,31.5,14.9,0,278,"1,375.9",27.5,1.5,0,25.2,0,0,68.6,0,0,0,0
29193,2190,Croissant,536,37.8,12.4,0,272,"1,115.1",27.5,1.5,0,20.8,0,0,64.4,0,0,0,0
29194,2190,English Muffin,301,12.7,5.6,0,214.6,"1,025.3",27.4,1.5,0,18.3,0,0,139.9,0,0,0,0
29195,2190,English Muffin,393,20.6,8.4,0,239.8,"1,203.8",26.4,1.5,0,24.7,0,0,142.1,0,0,0,0
29196,2190,English Muffin,432,26.8,5.8,0,233.8,943,26.4,1.5,0,20.3,0,0,137.9,0,0,0,0
29197,2190,Bagel,369,12.8,5.6,0,214.6,"1,152.4",40.3,1.6,0,21.6,0,0,97.9,0,0,0,0
29198,2190,Bagel,460,20.7,8.4,0,239.8,"1,331",39.3,1.6,0,27.9,0,0,100.1,0,0,0,0
29199,2190,Bagel,500,26.9,5.9,0,233.8,"1,070.1",39.3,1.6,0,23.6,0,0,95.9,0,0,0,0
29200,2190,Bagel,290,10.6,6.8,0,28.3,473.6,38.9,1.6,0,9.3,0,0,71.4,0,0,0,0
29201,2190,Breakfast Sandwich,293,12.7,5.4,0,214.6,"1,013.3",26.4,4,0,20.1,0,0,245.4,0,0,0,0
29202,2190,Breakfast Sandwich,385,20.6,8.3,0,239.8,"1,191.8",25.4,4,0,26.5,0,0,247.6,0,0,0,0
29203,2190,Breakfast Sandwich,425,26.8,5.7,0,233.8,931,25.4,4,0,22.1,0,0,243.4,0,0,0,0
29204,2190,Toast,251,3.3,0.8,0,0.3,282.2,50.6,2.4,0,5.2,0,0,30.6,0,0,0,0
29205,2190,Toast,266,12.7,7.5,0,28.6,368.8,31.5,2.1,0,7,0,0,47.2,0,0,0,0
29206,2190,Toast,257,3.3,0.8,0,0.3,275.4,53.9,2.2,0,5.2,0,0,30,0,0,0,0
29207,2190,Yogurt,170,1.5,1,0,10,80,33,0,0,5,0,0,200,0,0,0,0
29208,2191,The Muffaletta,"1,317",51.8,17.6,0,103.2,"4,266",149.2,6.3,0,47.5,0,0,313.9,0,0,0,0
29209,2191,Turkey Muffaletta,"1,098",35.1,9.2,0,87.3,"3,459.9",149.2,6.3,0,45.4,0,0,308,0,0,0,0
29210,2192,Reuben,502,21.4,7.9,0,74.2,"1,583.3",47.6,5,0,35.6,0,0,298.9,0,0,0,0
29211,2192,Club Supreme,612,29.6,9.4,0,115.4,"2,319.5",47.7,6.8,0,43.3,0,0,454.1,0,0,0,0
29212,2192,Turkey Supreme,547,25.3,7.1,0,93.1,"1,484.2",48.8,8.6,0,37,0,0,588.1,0,0,0,0
