food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
29426,2218,Bacon Spinach,770,35,13,0,440,"1,530",71,3,4,36,10,70,45,15,0,0,0
29427,2219,Plain,710,34,17,0,450,"1,740",81,2,7,25,0,30,10,35,0,0,0
29428,2219,Cheese,790,39,21,0.5,470,"1,920",81,2,8,32,0,35,30,30,0,0,0
29429,2219,Tomato & Cheese,800,39,21,0.5,470,"1,930",83,3,9,33,15,40,30,30,0,0,0
29430,2219,"Spinach, Mushroom & Swiss",840,43,23,0.5,480,"1,900",82,3,7,35,4,45,45,30,0,0,0
29431,2219,Turkey Sausage & Cheese,900,46,25,0.5,505,"2,290",82,3,8,44,4,40,35,35,0,0,0
29432,2219,Nova Lox & Chive,800,39,20,0,465,"2,110",81,3,8,32,2,35,20,30,0,0,0
29433,2220,Garden Veggie,60,5,3.5,0,15,105,2,0,1,1,0,4,0,0,0,0,0
29434,2220,Garlic Herb,60,5,3.5,0,15,100,3,0,0,1,0,4,0,0,0,0,0
29435,2220,Honey Almond,70,5,3,0,15,40,5,0,4,1,0,2,0,0,0,0,0
29436,2220,Jalapeno Salsa,60,5,3,0,15,95,3,0,1,1,0,4,0,0,0,0,0
29437,2220,Maple Raisin Walnut,60,5,3.5,0,15,45,4,0,3,1,0,2,0,0,0,0,0
29438,2220,Onion & Chive,70,6,4,0,20,55,3,0,1,4,0,0,0,0,0,0,0
29439,2220,Strawberry,70,5,3.5,0,15,50,5,0,4,1,0,2,0,0,0,0,0
29440,2220,Sun-Dried Tomato Basil,60,5,3.5,0,15,50,2,0,1,1,0,2,0,0,0,0,0
29441,2221,Blueberry,360,1,0,0,0,660,79,3,7,12,0,0,2,25,0,0,0
29442,2221,Chocolate Chip,400,4.5,2.5,0,0,620,80,3,12,12,0,0,2,20,0,0,0
29443,2221,Cinnamon Raisin,360,1,0,0,0,610,80,2,13,11,0,0,4,20,0,0,0
29444,2221,Cinnamon Sugar,520,21,4.5,0.5,0,910,78,2,5,12,0,20,2,20,0,0,0
29445,2221,Everything,360,2,0,0,0,850,77,2,5,12,0,0,2,20,0,0,0
29446,2221,Garlic,360,1,0,0,0,700,78,2,5,12,2,0,2,20,0,0,0
29447,2221,Good Egg,360,1.5,0,0,20,700,76,2,4,12,0,0,2,20,0,0,0
29448,2221,Poppy Dip'd,370,0.5,0,0,0,700,78,2,5,13,0,0,8,20,0,0,0
29449,2221,Pumpernickel,350,1,0,0,0,620,76,3,2,12,0,0,4,20,0,0,0
29450,2221,Salt,350,1,0,0,0,"2,090",77,2,5,12,0,0,2,20,0,0,0
29451,2221,Sesame,370,3,0,0,0,700,77,2,5,13,0,0,2,20,0,0,0
29452,2221,Sun Dried Tomato,360,1.5,0,0,0,750,77,3,6,12,0,0,4,20,0,0,0
29453,2221,Super Onion,360,1.5,0,0,0,660,77,3,4,12,0,0,6,20,0,0,0
29454,2221,Whole Wheat,330,1,0,0,0,620,73,4,6,12,0,0,2,20,0,0,0
29455,2221,Whole Wheat Sesame,350,3,0,0,0,620,74,4,6,13,0,0,2,20,0,0,0
