food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
29497,2231,Three Cheese Balls,560,36,16,0,80,"1,000",40,0,0,24,0,0,0,0,0,0,0
29498,2231,Three Cheese Balls,"1,120",72,32,0,160,"2,000",80,0,0,48,0,0,0,0,0,0,0
29499,2231,Snackers,470,24,15,0,155,290,53,2,0,6,0,0,0,0,0,0,0
29500,2231,Snacker Basket,"1,380",74,22,0,60,"1,480",144,4,0,38,0,0,0,0,0,0,0
29501,2231,Pizza Snackers,240,11,2,0,0,200,31,2,0,9,0,0,0,0,0,0,0
29502,2231,Pizza Snacker Basket,"1,120",53,10,0,5,910,140,6,0,29,0,0,0,0,0,0,0
29503,2232,Peasant Soup,110,5,2,0,20,590,10,1,0,7,0,0,0,0,0,0,0
29504,2232,Peasant Soup,230,10,4,0,45,"1,180",19,3,0,15,0,0,0,0,0,0,0
29505,2232,Broccoli Soup,190,13,8,0,37,752,14,0,0,5,0,0,0,0,0,0,0
29506,2232,Broccoli Soup,380,26,17,0,74,"1,505",28,0,0,9,0,0,0,0,0,0,0
29507,2233,Spinach Pie - 12 oz. filling,330,16,6,0,40,690,34,2,0,13,0,0,0,0,0,0,0
29508,2233,Retail Spinach Pie,250,13,4.5,0,30,530,25,1,0,10,0,0,0,0,0,0,0
29509,2234,Olga Small Olga Salad,300,29,6,0,15,410,6,2,0,4,0,0,0,0,0,0,0
29510,2234,Olga Medium Olga Salad,520,50,11,0,25,690,11,4,0,7,0,0,0,0,0,0,0
29511,2234,Side Caesar Salad,350,28,7,0,10,910,15,3,0,8,0,0,0,0,0,0,0
29512,2234,Olga Entrée Olga Salad,"1,000",96,21,0,50,"1,330",21,8,0,14,0,0,0,0,0,0,0
29513,2234,Grilled Chicken Caesar Entrée,800,54,13,0,100,"1,840",30,5,0,49,0,0,0,0,0,0,0
29514,2234,Mandarin Chicken Entrée Salad,"1,050",58,11,0,75,"1,740",102,8,0,30,0,0,0,0,0,0,0
29515,2234,CBC Entrée Salad,750,46,14,0,125,"1,410",30,8,0,54,0,0,0,0,0,0,0
29516,2235,Original Olga,600,28,9,0,85,550,58,2,0,31,0,0,0,0,0,0,0
29517,2235,Original Olga on JAFF Bread,550,22,8,0,85,550,60,3,0,31,0,0,0,0,0,0,0
29518,2235,Low Carb Original Olga,480,26,9,0,85,750,21,3,0,44,0,0,0,0,0,0,0
29519,2235,Original Extra Meat Olga,760,39,13,0,135,510,58,2,0,44,0,0,0,0,0,0,0
29520,2235,Original Extra Meat Olga on JAFF Bread,710,33,13,0,135,510,60,3,0,44,0,0,0,0,0,0,0
29521,2235,Low Carb Original Extra Meat Olga,640,38,13,0,135,880,21,3,0,57,0,0,0,0,0,0,0
29522,2235,Original Olga Open Face Olga (with os),930,51,18,0,185,580,59,2,0,58,0,0,0,0,0,0,0
29523,2235,Original Olga Open Face Olga (with os) JAFF,880,45,17,0,185,580,61,3,0,58,0,0,0,0,0,0,0
29524,2235,Low Carb Original Open Face Olga (with os),810,49,18,0,185,780,22,3,0,71,0,0,0,0,0,0,0
29525,2235,Original Super Cheese Olga,850,47,21,0,145,850,59,2,0,47,0,0,0,0,0,0,0
29526,2235,Original Super Cheese Olga on JAFF Bread,800,41,20,0,145,850,61,3,0,47,0,0,0,0,0,0,0
29527,2235,Low Carb Original Super Cheese Olga,730,45,21,0,145,"1,130",22,3,0,60,0,0,0,0,0,0,0
29528,2235,Steak & Cheese Olga,780,35,12,0,130,"1,220",69,4,0,48,0,0,0,0,0,0,0
29529,2235,Steak & Cheese Olga on JAFF Bread,730,29,11,0,130,"1,220",71,5,0,49,0,0,0,0,0,0,0
29530,2235,Low Carb Steak & Cheese Olga,660,33,12,0,130,"1,430",32,5,0,61,0,0,0,0,0,0,0
29531,2235,Beef & Burnt Onion Olga,810,37,13,0,150,"1,120",60,3,0,61,0,0,0,0,0,0,0
29532,2235,Beef & Burnt Onion Olga on JAFF Bread,760,30,12,0,150,"1,120",62,4,0,61,0,0,0,0,0,0,0
29533,2235,Low Carb Beef & Burnt Onion Olga,690,34,12,0,150,"1,330",23,4,0,74,0,0,0,0,0,0,0
29534,2235,Roast Beef & Swiss Olga,890,47,14,0,160,630,57,2,0,60,0,0,0,0,0,0,0
29535,2235,Roast Beef & Swiss Olga on JAFF Bread,840,41,13,0,160,630,59,3,0,60,0,0,0,0,0,0,0
29536,2235,Low Carb Roast Beef & Swiss Olga,770,45,14,0,160,830,20,3,0,73,0,0,0,0,0,0,0
29537,2235,Burger Olga,870,54,14,0,135,630,55,2,0,40,0,0,0,0,0,0,0
29538,2235,Burger Olga on JAFF Bread,820,48,13,0,135,630,57,3,0,40,0,0,0,0,0,0,0
29539,2235,Low Carb Burger Olga,750,52,14,0,135,830,18,3,0,53,0,0,0,0,0,0,0
29540,2235,Bleu Cheese Burger Olga,920,54,22,0,165,"1,300",56,2,0,52,0,0,0,0,0,0,0
29541,2235,Bleu Cheese Burger Olga on JAFF Bread,870,48,22,0,165,"1,300",58,3,0,52,0,0,0,0,0,0,0
29542,2235,Low Carb Bleu Cheese Burger Olga,800,52,22,0,165,"1,510",19,3,0,65,0,0,0,0,0,0,0
29543,2235,Chicken Fajita Olga,660,21,7,0,125,"1,590",72,5,0,45,0,0,0,0,0,0,0
29544,2235,Chicken Fajita Olga on JAFF Bread,610,15,7,0,125,"1,590",74,6,0,46,0,0,0,0,0,0,0
29545,2235,Low Carb Chicken Fajita Olga,540,19,7,0,125,"1,790",35,6,0,59,0,0,0,0,0,0,0
29546,2235,Thai Chicken Olga,700,21,5,0,80,600,80,5,0,46,0,0,0,0,0,0,0
29547,2235,Thai Chicken Olga on JAFF Bread,650,15,4,0,80,600,82,6,0,46,0,0,0,0,0,0,0
29548,2235,Low Carb Thai Chicken Olga,580,20,4.5,0,80,810,43,6,0,59,0,0,0,0,0,0,0
29549,2235,Fried Chicken Olga,920,54,10,0,95,"1,120",76,2,0,32,0,0,0,0,0,0,0
29550,2235,Fried Chicken Olga on JAFF Bread,870,47,9,0,95,"1,120",78,3,0,32,0,0,0,0,0,0,0
29551,2235,Low Carb Fried Chicken Olga,800,52,10,0,95,"1,220",39,4,0,45,0,0,0,0,0,0,0
29552,2235,Grilled Chicken Olga,850,52,8,0,105,650,56,2,0,41,0,0,0,0,0,0,0
29553,2235,Grilled Chicken Olga on JAFF Bread,800,46,7,0,105,650,58,3,0,41,0,0,0,0,0,0,0
29554,2235,Low Carb Grilled Chicken Olga,730,50,8,0,105,860,19,4,0,54,0,0,0,0,0,0,0
29555,2235,Asian Chicken Olga (with os),520,11,1.5,0,80,970,62,4,0,42,0,0,0,0,0,0,0
29556,2235,Asian Chicken Olga on JAFF Bread (with os),470,4.5,1,0,80,970,64,5,0,43,0,0,0,0,0,0,0
29557,2235,Low Carb Asian Chicken Olga,400,9,1.5,0,80,"1,180",25,5,0,56,0,0,0,0,0,0,0
