food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
2139,150,Biscuits,180,7,2,0,0,450,24,1,0,3,0,0,0,0,0,0,0
2140,150,Breadsticks,140,4.5,1,0,0,260,21,1,0,4,0,0,0,0,0,0,0
2141,150,Buns for Hot Dog ,120,2,0.5,0,0,240,22,1,0,4,0,0,0,0,0,0,0
2142,150,"Buns, Sandwich",120,2,0.5,0,0,240,22,1,0,4,0,0,0,0,0,0,0
2143,150,Cinnamon Bread,45,0.5,0,0,0,30,10,0,0,1,0,0,0,0,0,0,0
2144,150,Cinnamon Sugared Donut Holes,50,3,0.5,0,0,75,5,0,0,1,0,0,0,0,0,0,0
2145,150,"Dinner Rolls, Wheat",110,3,0.5,0,0,160,18,1,0,4,0,0,0,0,0,0,0
2146,150,"Dinner Rolls, White",120,3.5,1,0,0,200,20,1,0,3,0,0,0,0,0,0,0
2147,150,English Muffin,60,0.5,0,0,0,130,13,1,0,2,0,0,0,0,0,0,0
2148,150,Flour Tortilla,120,3,0.5,0,0,240,20,1,0,4,0,0,0,0,0,0,0
2149,150,French Toast,170,8,1.5,0,100,190,24,1,0,5,0,0,0,0,0,0,0
2150,150,Glazed Donuts,130,7,1.5,0,0,40,16,0,0,2,0,0,0,0,0,0,0
2151,150,Pancakes,120,3.5,1,0,0,280,19,1,0,2,0,0,0,0,0,0,0
2152,150,Taco Shells,50,2.5,0.5,0,0,0,7,0,0,1,0,0,0,0,0,0,0
2153,150,Waffles,120,3,0.5,0,0,440,19,1,0,3,0,0,0,0,0,0,0
2154,151,"Bacon Bits, real",25,1.5,0.5,0,5,220,0,0,0,3,0,0,0,0,0,0,0
2155,151,"Black Olives, sliced",15,1.5,0,0,0,130,1,1,0,0,0,0,0,0,0,0,0
2156,151,Blueberry Syrup,250,0,0,0,0,80,63,0,0,0,0,0,0,0,0,0,0
2157,151,Brown Sugar,35,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0
2158,151,Butter,35,4,2.5,0,10,30,0,0,0,0,0,0,0,0,0,0,0
2159,151,"Cheese, Shredded Cheddar",40,3.5,2,0,10,60,0,0,0,3,0,0,0,0,0,0,0
2160,151,"Cheese, Grated Parmesan",30,2,1,0,5,110,0,0,0,3,0,0,0,0,0,0,0
2161,151,Cherry Peppers,4,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0
2162,151,Cocktail Sauce,30,0,0,0,0,330,8,0,0,0,0,0,0,0,0,0,0
2163,151,Coffee Creamers,15,1,1,0,5,10,0,0,0,0,0,0,0,0,0,0,0
2164,151,Cranberry Sauce,45,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0
2165,151,Creamy Cheese Sauce,50,1.5,1,0,0,630,9,0,0,1,0,0,0,0,0,0,0
2166,151,Crushed Red Pepper,10,0.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2167,151,Diced Onions,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
