food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
29924,2258,The Planet Sub (Yello Sub),596.3,21.8,11,0,71.7,"1,604",62.9,3.5,8.8,30.8,0,0,0,0,0,0,0
29925,2258,Green Turkey,579.6,23.5,10.7,0,65,"1,336.2",63.5,4.5,7.7,26,0,0,0,0,0,0,0
29926,2258,Mega Roast Beef,665.5,20.5,10.5,0,70,"1,639.7",85.2,2.7,23.1,32.8,0,0,0,0,0,0,0
29927,2258,Planet BBQ,518.6,8.1,2.5,0,43.3,"1,739",85.9,2.1,25.4,24,0,0,0,0,0,0,0
29928,2258,Torpedo,640.2,28.5,11.8,0,87,"1,560.3",59.1,3.5,6.6,31.6,0,0,0,0,0,0,0
29929,2258,Creamy Club,579.1,24.2,12.3,0,72.5,"1,361.7",60,3.1,6.6,27.4,0,0,0,0,0,0,0
29930,2258,Beefeater,544.6,18.5,9.5,0,65,"1,339",62.6,3.5,8.1,28.7,0,0,0,0,0,0,0
29931,2258,Cheese Steak,535.2,16.5,5.5,0,50.5,"1,309.9",64.5,3.1,9.6,28.5,0,0,0,0,0,0,0
29932,2258,Tijuana Taxi,479.6,12.5,5.5,0,50,"1,884",63.1,3.5,8.1,30.7,0,0,0,0,0,0,0
29933,2258,Reuben,576,20.5,8.1,0,81.3,"1,459.6",62.5,3.4,7.6,28.7,0,0,0,0,0,0,0
29934,2258,Meatball Grinder,768.4,36.7,17.8,0,102.3,"1,145.3",64.9,6.6,9,37.7,0,0,0,0,0,0,0
29935,2258,Italian,665.9,30.8,11.8,0,68.8,"1,279.8",65.3,4.4,7.6,23.7,0,0,0,0,0,0,0
29936,2258,Planet Combo,443.1,13.2,5.3,0,30,541.9,61.7,4.1,7,17.5,0,0,0,0,0,0,0
29937,2258,Pesto Bello,675.4,30.6,12.5,0,50.1,778.1,70.3,5.4,9.2,25,0,0,0,0,0,0,0
29938,2258,Chicken Club,644.3,24.1,11.5,0,119.2,776.8,64.3,4,7.3,38.6,0,0,0,0,0,0,0
29939,2258,Chicken Parmesan,574.7,16.8,7,0,111.2,681.4,64.4,3.1,8.3,37.4,0,0,0,0,0,0,0
29940,2258,Chicken BBQ,657.3,17.1,7.5,0,104.2,"1,096.8",86.8,4,22.3,34.6,0,0,0,0,0,0,0
29941,2258,Smoky Southwest Chicken,583.9,18.1,7.5,0,110.2,788,65.9,4,8.2,35.6,0,0,0,0,0,0,0
